SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 18-Dec-2019, 31.90, 32.00, 32.20, 31.75, 31.75, 31.90, 31.95, 13814, 4.41, 112, 7995, 57.88
21STCENMGM, EQ, 18-Dec-2019, 13.55, 13.55, 13.55, 13.30, 13.30, 13.30, 13.40, 5, 0.00, 3, 3, 60.00
3IINFOTECH, EQ, 18-Dec-2019, 2.05, 2.05, 2.05, 2.00, 2.05, 2.00, 2.03, 597570, 12.11, 474, 405803, 67.91
3MINDIA, EQ, 18-Dec-2019, 20967.30, 20997.10, 21150.00, 20750.00, 20899.90, 20844.85, 20897.01, 930, 194.34, 405, 635, 68.28
3PLAND, EQ, 18-Dec-2019, 5.75, 5.65, 5.65, 5.65, 5.65, 5.65, 5.65, 3021, 0.17, 2, 3021, 100.00
5PAISA, EQ, 18-Dec-2019, 180.65, 180.10, 181.00, 177.05, 181.00, 178.80, 178.62, 889, 1.59, 114, 595, 66.93
63MOONS, EQ, 18-Dec-2019, 102.10, 102.35, 107.50, 101.55, 104.00, 103.85, 104.69, 194287, 203.41, 6107, 56315, 28.99
824GS2027, GS, 18-Dec-2019, 100.01, 104.30, 104.30, 104.30, 104.30, 104.30, 104.30, 100, 0.10, 2, 100, 100.00
A2ZINFRA, EQ, 18-Dec-2019, 8.05, 8.05, 8.10, 7.15, 7.70, 7.65, 7.58, 442840, 33.56, 800, 210650, 47.57
AAKASH, SM, 18-Dec-2019, 73.20, 73.70, 76.75, 69.55, 75.40, 75.40, 73.50, 40000, 29.40, 20, 24000, 60.00
AARON, SM, 18-Dec-2019, 48.95, 49.45, 49.45, 46.95, 46.95, 46.95, 47.80, 9900, 4.73, 3, 9900, 100.00
AARTIDRUGS, EQ, 18-Dec-2019, 495.20, 498.00, 505.90, 495.35, 505.90, 503.60, 502.43, 9257, 46.51, 1064, 7648, 82.62
AARTIIND, EQ, 18-Dec-2019, 768.70, 774.00, 778.65, 761.00, 769.05, 768.30, 769.77, 58145, 447.58, 4890, 30259, 52.04
AARVEEDEN, EQ, 18-Dec-2019, 11.45, 11.70, 11.70, 11.15, 11.55, 11.30, 11.31, 3020, 0.34, 81, 2255, 74.67
AAVAS, EQ, 18-Dec-2019, 1898.45, 1898.45, 1898.45, 1870.00, 1870.00, 1876.50, 1881.03, 21140, 397.65, 5550, 11871, 56.15
ABAN, EQ, 18-Dec-2019, 26.65, 26.65, 26.75, 25.70, 25.85, 26.05, 26.18, 26978, 7.06, 552, 16953, 62.84
ABB, EQ, 18-Dec-2019, 1474.40, 1467.55, 1474.90, 1442.25, 1454.00, 1451.45, 1453.84, 120958, 1758.54, 3822, 91310, 75.49
ABBOTINDIA, EQ, 18-Dec-2019, 13381.80, 13370.00, 13410.00, 13115.25, 13168.00, 13190.90, 13251.49, 5450, 722.21, 2279, 2771, 50.84
ABCAPITAL, EQ, 18-Dec-2019, 98.90, 98.95, 99.90, 96.80, 97.60, 97.55, 98.27, 1145998, 1126.16, 12094, 530070, 46.25
ABFRL, EQ, 18-Dec-2019, 234.00, 235.25, 239.90, 233.30, 239.00, 239.15, 237.50, 557471, 1324.02, 11132, 267747, 48.03
ABSLBANETF, EQ, 18-Dec-2019, 319.52, 319.52, 320.12, 319.52, 320.12, 320.12, 319.90, 25, 0.08, 2, 25, 100.00
ABSLFTSGRN, MF, 18-Dec-2019, 10.01, 10.20, 10.20, 10.20, 10.20, 10.20, 10.20, 1000, 0.10, 1, 1000, 100.00
ABSLRIF6RG, MF, 18-Dec-2019, 6.71, 6.90, 6.90, 6.90, 6.90, 6.90, 6.90, 10000, 0.69, 1, 10000, 100.00
ACC, EQ, 18-Dec-2019, 1462.30, 1462.10, 1470.40, 1438.75, 1450.00, 1450.40, 1455.83, 481280, 7006.62, 17728, 40505, 8.42
ACCELYA, EQ, 18-Dec-2019, 985.95, 985.95, 990.50, 956.35, 964.05, 965.60, 971.62, 7341, 71.33, 447, 4551, 61.99
ACCURACY, SM, 18-Dec-2019, 24.20, 25.35, 25.40, 24.10, 25.40, 25.40, 24.71, 17600, 4.35, 11, 11200, 63.64
ACE, EQ, 18-Dec-2019, 73.00, 73.80, 73.95, 71.10, 72.00, 72.20, 72.33, 92700, 67.05, 1780, 22271, 24.02
ACEINTEG, SM, 18-Dec-2019, 13.00, 13.65, 13.65, 13.65, 13.65, 13.65, 13.65, 3000, 0.41, 1, 3000, 100.00
ADANIENT, EQ, 18-Dec-2019, 211.20, 211.80, 212.45, 205.60, 207.80, 208.15, 208.15, 2542320, 5291.91, 15181, 451342, 17.75
ADANIGAS, EQ, 18-Dec-2019, 150.65, 151.00, 151.90, 150.50, 150.90, 150.75, 151.04, 380427, 574.58, 3651, 179001, 47.05
ADANIGREEN, EQ, 18-Dec-2019, 135.55, 136.30, 137.30, 134.00, 135.00, 135.10, 135.63, 690735, 936.83, 6652, 286813, 41.52
ADANIPORTS, EQ, 18-Dec-2019, 371.25, 372.10, 375.80, 369.10, 374.40, 374.50, 372.88, 3960881, 14769.14, 40006, 1803666, 45.54
ADANIPOWER, EQ, 18-Dec-2019, 61.85, 62.00, 62.25, 60.25, 61.20, 61.25, 61.17, 5425898, 3319.27, 13145, 1055685, 19.46
ADANITRANS, EQ, 18-Dec-2019, 334.05, 334.95, 336.30, 332.05, 333.25, 333.65, 333.72, 132743, 442.99, 2293, 73735, 55.55
ADFFOODS, EQ, 18-Dec-2019, 303.45, 302.35, 304.55, 300.00, 302.75, 301.95, 302.18, 9739, 29.43, 344, 4528, 46.49
ADHUNIKIND, EQ, 18-Dec-2019, 39.55, 37.60, 37.60, 37.60, 37.60, 37.60, 37.60, 5380, 2.02, 57, 5380, 100.00
ADLABS, BE, 18-Dec-2019, 3.50, 3.65, 3.65, 3.50, 3.60, 3.60, 3.60, 59114, 2.13, 151, -, -
ADORWELD, EQ, 18-Dec-2019, 289.90, 290.15, 291.90, 288.50, 289.25, 290.45, 290.33, 1908, 5.54, 93, 1455, 76.26
ADROITINFO, BE, 18-Dec-2019, 7.45, 7.45, 7.80, 7.45, 7.80, 7.80, 7.79, 48, 0.00, 3, -, -
ADSL, BE, 18-Dec-2019, 23.35, 23.05, 23.85, 22.75, 23.00, 23.00, 23.09, 40913, 9.45, 233, -, -
ADVANIHOTR, EQ, 18-Dec-2019, 54.40, 54.40, 55.05, 52.55, 52.55, 52.85, 53.07, 8824, 4.68, 110, 7748, 87.81
ADVENZYMES, EQ, 18-Dec-2019, 165.75, 166.00, 166.50, 163.35, 165.00, 164.70, 164.80, 97896, 161.33, 1654, 29233, 29.86
AEGISCHEM, EQ, 18-Dec-2019, 184.05, 183.35, 186.00, 178.50, 179.50, 179.35, 182.24, 183071, 333.63, 3425, 119800, 65.44
AFFLE, EQ, 18-Dec-2019, 1461.65, 1467.00, 1467.00, 1410.00, 1434.80, 1425.75, 1435.36, 65858, 945.30, 5132, 19603, 29.77
AGARIND, EQ, 18-Dec-2019, 79.80, 78.00, 80.90, 78.00, 80.85, 79.65, 79.72, 3944, 3.14, 82, 2874, 72.87
AGCNET, EQ, 18-Dec-2019, 130.10, 127.10, 130.50, 127.00, 130.00, 130.25, 129.19, 3161, 4.08, 45, 2387, 75.51
AGRITECH, EQ, 18-Dec-2019, 45.80, 45.70, 47.00, 44.30, 45.25, 45.20, 45.23, 10080, 4.56, 315, 7271, 72.13
AGROPHOS, EQ, 18-Dec-2019, 147.10, 147.60, 148.60, 147.60, 148.35, 148.35, 148.19, 1105807, 1638.73, 5236, 275019, 24.87
AHIMSA, SM, 18-Dec-2019, 31.80, 31.55, 31.55, 31.55, 31.55, 31.55, 31.55, 12000, 3.79, 1, 12000, 100.00
AHLADA, SM, 18-Dec-2019, 44.40, 41.60, 41.60, 41.50, 41.50, 41.50, 41.55, 3000, 1.25, 3, 3000, 100.00
AHLEAST, EQ, 18-Dec-2019, 170.85, 171.00, 174.40, 170.25, 170.25, 170.30, 171.08, 103, 0.18, 16, 49, 47.57
AHLUCONT, EQ, 18-Dec-2019, 286.00, 287.15, 287.15, 281.00, 285.00, 285.00, 284.76, 8793, 25.04, 890, 7830, 89.05
AHLWEST, EQ, 18-Dec-2019, 329.65, 321.00, 359.05, 321.00, 345.00, 343.90, 343.47, 14453, 49.64, 613, 4688, 32.44
AIAENG, EQ, 18-Dec-2019, 1634.00, 1635.15, 1640.70, 1613.60, 1620.00, 1620.40, 1622.14, 12050, 195.47, 1427, 8632, 71.63
AIONJSW, EQ, 18-Dec-2019, 9.50, 9.50, 9.90, 9.25, 9.55, 9.65, 9.58, 21418, 2.05, 115, 9882, 46.14
AIRAN, EQ, 18-Dec-2019, 14.20, 14.90, 14.90, 13.55, 14.75, 14.70, 14.56, 18984, 2.76, 96, 15610, 82.23
AIROLAM, SM, 18-Dec-2019, 27.10, 26.60, 26.60, 26.60, 26.60, 26.60, 26.60, 3000, 0.80, 1, 3000, 100.00
AISL, SM, 18-Dec-2019, 23.75, 22.60, 22.60, 22.60, 22.60, 22.60, 22.60, 1200, 0.27, 1, 1200, 100.00
AJANTPHARM, EQ, 18-Dec-2019, 977.30, 980.50, 999.00, 962.60, 968.00, 969.50, 980.95, 79440, 779.27, 5528, 34569, 43.52
AJMERA, EQ, 18-Dec-2019, 116.75, 117.00, 117.30, 115.10, 116.20, 116.25, 116.32, 16602, 19.31, 592, 8901, 53.61
AKASH, EQ, 18-Dec-2019, 65.15, 64.90, 64.90, 62.10, 62.10, 62.10, 63.50, 200, 0.13, 3, 100, 50.00
AKG, SM, 18-Dec-2019, 31.75, 31.75, 32.00, 31.75, 32.00, 32.00, 31.83, 12000, 3.82, 3, 12000, 100.00
AKSHARCHEM, EQ, 18-Dec-2019, 185.80, 184.10, 189.00, 184.00, 187.75, 187.45, 186.32, 1901, 3.54, 57, 1713, 90.11
AKSHOPTFBR, EQ, 18-Dec-2019, 6.65, 6.40, 6.80, 6.40, 6.60, 6.55, 6.65, 160260, 10.66, 399, 86332, 53.87
AKZOINDIA, EQ, 18-Dec-2019, 1962.50, 1960.00, 1960.00, 1940.00, 1949.15, 1945.20, 1948.80, 52297, 1019.16, 496, 47135, 90.13
ALANKIT, EQ, 18-Dec-2019, 11.60, 11.60, 11.85, 11.40, 11.60, 11.50, 11.59, 20025, 2.32, 101, 13028, 65.06
ALBERTDAVD, EQ, 18-Dec-2019, 395.75, 397.00, 399.20, 391.65, 392.40, 393.70, 394.74, 3967, 15.66, 254, 2410, 60.75
ALBK, EQ, 18-Dec-2019, 19.15, 19.10, 19.15, 18.75, 18.80, 18.80, 18.91, 1409955, 266.56, 5110, 631516, 44.79
ALCHEM, BE, 18-Dec-2019, 0.75, 0.70, 0.80, 0.70, 0.70, 0.75, 0.73, 18319, 0.13, 36, -, -
ALEMBICLTD, EQ, 18-Dec-2019, 51.20, 51.60, 57.45, 51.30, 55.05, 55.45, 55.25, 1224025, 676.30, 9147, 371170, 30.32
ALICON, EQ, 18-Dec-2019, 360.75, 360.00, 366.05, 356.25, 358.00, 359.75, 359.15, 2154, 7.74, 98, 2036, 94.52
ALKALI, EQ, 18-Dec-2019, 38.85, 40.95, 40.95, 39.20, 40.00, 39.90, 40.04, 3017, 1.21, 76, 2343, 77.66
ALKEM, EQ, 18-Dec-2019, 2066.30, 2072.10, 2099.90, 2065.00, 2096.55, 2095.40, 2081.49, 19953, 415.32, 2923, 12229, 61.29
ALKYLAMINE, EQ, 18-Dec-2019, 1055.45, 1057.95, 1079.00, 1052.45, 1060.10, 1060.90, 1066.06, 6368, 67.89, 710, 3287, 51.62
ALLCARGO, EQ, 18-Dec-2019, 92.95, 93.45, 95.70, 92.50, 93.25, 93.05, 93.56, 377906, 353.56, 7349, 254181, 67.26
ALLSEC, EQ, 18-Dec-2019, 286.90, 283.00, 289.75, 275.00, 289.75, 285.45, 281.60, 2579, 7.26, 267, 1337, 51.84
ALMONDZ, EQ, 18-Dec-2019, 10.15, 10.15, 10.15, 9.50, 10.00, 9.90, 9.90, 2754, 0.27, 20, 1553, 56.39
ALOKTEXT, BE, 18-Dec-2019, 2.95, 3.05, 3.05, 3.05, 3.05, 3.05, 3.05, 320443, 9.77, 218, -, -
ALPA, EQ, 18-Dec-2019, 15.15, 15.05, 18.15, 14.75, 16.15, 16.30, 17.26, 236781, 40.87, 1532, 65919, 27.84
