SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BIHARCAUST,EQ,01-01-1996,43.85,45.6,45.7,45.6,-,45.7,45.68,500,"22,840.00",-,-,-
BIHARCAUST,EQ,02-01-1996,45.70,45.7,44.75,44.0,-,44.0,44.21,350,"15,475.00",-,-,-
BIHARCAUST,EQ,03-01-1996,44.00,44.05,44.05,44.0,-,44.0,44.02,600,"26,410.00",-,-,-
BIHARCAUST,EQ,04-01-1996,44.00,44.0,43.65,43.55,-,43.65,43.58,300,"13,075.00",-,-,-
BIHARCAUST,EQ,05-01-1996,43.65,43.65,43.3,43.0,-,43.0,43.18,"1,000","43,175.00",-,-,-
BIHARCAUST,EQ,09-01-1996,43.00,43.0,43.0,42.5,-,43.0,42.52,"2,850","1,21,175.00",-,-,-
BIHARCAUST,EQ,10-01-1996,43.00,42.05,42.05,42.0,-,42.05,42.01,350,"14,705.00",-,-,-
BIHARCAUST,EQ,12-01-1996,42.05,42.0,42.0,42.0,-,42.0,42.0,100,"4,200.00",-,-,-
BIHARCAUST,EQ,23-01-1996,42.00,39.1,39.1,39.1,-,39.1,39.1,100,"3,910.00",-,-,-
BIHARCAUST,EQ,24-01-1996,39.10,39.1,39.1,39.0,-,39.0,39.02,500,"19,510.00",-,-,-
BIHARCAUST,EQ,30-01-1996,39.00,39.3,39.3,39.3,-,39.3,39.3,200,"7,860.00",-,-,-
BIHARCAUST,EQ,31-01-1996,39.30,39.3,42.0,39.0,-,42.0,39.43,350,"13,800.00",-,-,-
BIHARCAUST,EQ,01-02-1996,42.00,39.0,42.0,39.0,-,42.0,41.5,300,"12,450.00",-,-,-
BIHARCAUST,EQ,02-02-1996,42.00,42.0,43.0,39.0,-,43.0,41.79,"1,350","56,415.00",-,-,-
BIHARCAUST,EQ,05-02-1996,43.00,43.0,44.75,43.0,-,44.75,44.11,"1,700","74,985.00",-,-,-
BIHARCAUST,EQ,06-02-1996,44.75,45.0,45.0,45.0,-,45.0,45.0,600,"27,000.00",-,-,-
BIHARCAUST,EQ,07-02-1996,45.00,43.0,44.0,43.0,-,44.0,43.75,900,"39,375.00",-,-,-
BIHARCAUST,EQ,08-02-1996,44.00,45.0,45.0,45.0,-,45.0,45.0,600,"27,000.00",-,-,-
BIHARCAUST,EQ,09-02-1996,45.00,45.0,45.5,44.6,-,45.5,45.02,900,"40,520.00",-,-,-
