SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
AICHAMP,EQ,2007-02-14,10.0,75.0,268.2,75.0,257.7,233.65,227.31,"23,49,166","53,39,84,742.10",-,"1,09,615",4.67
AICHAMP,EQ,2007-02-15,233.65,235.0,280.4,235.0,280.4,280.4,264.7,"6,66,936","17,65,36,196.55",-,"1,17,869",17.67
AICHAMP,EQ,2007-02-19,280.4,286.0,336.5,265.0,336.5,331.95,311.64,"8,89,037","27,70,61,587.30",-,"65,803",7.40
AICHAMP,EQ,2007-02-20,331.95,340.0,398.35,340.0,398.35,386.8,372.21,"14,34,992","53,41,14,343.45",-,"1,17,597",8.19
AICHAMP,EQ,2007-02-21,386.8,414.0,425.5,395.5,425.5,425.5,418.11,"7,15,381","29,91,06,187.30",-,"66,666",9.32
AICHAMP,EQ,2007-02-22,425.5,434.0,458.0,411.0,412.0,432.15,442.43,"10,97,697","48,56,53,350.55",-,"1,37,510",12.53
AICHAMP,EQ,2007-02-23,432.15,410.0,410.0,388.95,388.95,388.95,390.44,"21,428","83,66,306.55",-,"17,255",80.53
AICHAMP,EQ,2007-02-26,388.95,350.05,350.05,350.05,350.05,350.05,350.05,"1,614","5,64,980.70",-,"1,614",100.00
AICHAMP,EQ,2007-02-27,350.05,315.05,315.05,315.05,315.05,315.05,315.05,449,"1,41,457.45",-,449,100.00
AICHAMP,EQ,2007-02-28,315.05,283.55,283.55,283.55,283.55,283.55,283.55,81,"22,967.55",-,81,100.00
AICHAMP,EQ,2007-03-01,283.55,269.4,269.4,269.4,269.4,269.4,269.4,479,"1,29,042.60",-,479,100.00
AICHAMP,EQ,2007-03-02,269.4,255.95,255.95,255.95,255.95,255.95,255.95,"15,274","39,09,380.30",-,"12,152",79.56
AICHAMP,EQ,2007-03-05,255.95,243.15,243.15,243.15,243.15,243.15,243.15,50,"12,157.50",-,50,100.00
AICHAMP,EQ,2007-03-06,243.15,231.0,231.0,231.0,231.0,231.0,231.0,220,"50,820.00",-,220,100.00
