SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
AMAR,EQ,2005-09-16,28.0,56.0,64.7,47.0,56.25,56.2,55.7,"5,21,21,654","2,90,29,66,132.85",-,"49,47,518",9.49
AMAR,EQ,2005-09-19,56.2,56.0,60.65,55.0,59.7,59.3,59.05,"1,05,06,239","62,03,58,742.55",-,"14,26,144",13.57
AMAR,EQ,2005-09-20,59.3,59.3,67.4,58.2,64.1,64.0,64.21,"2,01,94,415","1,29,66,61,888.15",-,"15,98,429",7.92
AMAR,EQ,2005-09-21,64.0,65.0,65.2,57.6,61.3,61.75,61.86,"88,40,089","54,68,21,131.20",-,"11,35,699",12.85
AMAR,EQ,2005-09-22,61.75,61.0,61.3,49.4,50.25,49.9,56.39,"54,71,220","30,84,95,886.40",-,"9,57,612",17.5
AMAR,EQ,2005-09-23,49.9,51.0,56.2,50.55,54.5,54.2,53.95,"53,07,148","28,63,28,674.90",-,"4,72,438",8.9
AMAR,EQ,2005-09-26,54.2,55.05,59.8,54.5,58.25,58.35,58.47,"58,16,711","34,01,29,177.25",-,"6,71,242",11.54
AMAR,EQ,2005-09-27,58.35,58.7,61.25,57.5,57.8,58.2,59.35,"46,38,121","27,52,86,454.45",-,"5,09,947",10.99
AMAR,EQ,2005-09-28,58.2,58.3,59.5,58.2,58.6,58.45,58.65,"15,43,958","9,05,59,653.30",-,"2,65,208",17.18
AMAR,EQ,2005-09-29,58.45,58.6,66.0,58.25,61.1,60.95,63.43,"1,48,49,337","94,18,50,589.95",-,"9,68,134",6.52
AMAR,EQ,2005-09-30,60.95,60.65,61.5,55.25,56.8,56.65,57.34,"40,05,575","22,96,70,099.00",-,"5,25,145",13.11
AMAR,EQ,2005-10-03,56.65,57.4,59.2,56.75,57.4,57.4,57.91,"19,32,119","11,18,92,605.45",-,"2,75,750",14.27
AMAR,EQ,2005-10-04,57.4,58.0,58.85,57.25,57.5,57.5,57.96,"12,28,091","7,11,79,695.20",-,"1,97,926",16.12
AMAR,EQ,2005-10-05,57.5,57.95,57.95,55.6,56.1,56.05,56.8,"6,81,736","3,87,19,446.95",-,"1,43,783",21.09
AMAR,EQ,2005-10-06,56.05,55.4,56.4,54.2,54.5,54.55,55.34,"5,43,434","3,00,75,927.80",-,"1,23,219",22.67
AMAR,EQ,2005-10-07,54.55,54.9,55.9,53.3,53.6,53.8,54.58,"7,61,577","4,15,67,076.20",-,"2,92,191",38.37
AMAR,EQ,2005-10-10,53.8,54.25,57.0,53.2,53.65,54.05,55.2,"10,26,467","5,66,57,404.85",-,"1,14,579",11.16
AMAR,EQ,2005-10-11,54.05,54.35,54.9,52.55,52.8,52.8,53.7,"3,88,104","2,08,42,747.95",-,"64,887",16.72
AMAR,EQ,2005-10-13,52.8,53.0,54.45,52.1,52.95,52.9,53.29,"6,10,721","3,25,45,009.80",-,"87,830",14.38
AMAR,EQ,2005-10-14,52.9,53.4,53.5,50.1,50.7,50.55,51.75,"3,28,741","1,70,13,082.15",-,"1,21,550",36.97
AMAR,EQ,2005-10-17,50.55,51.8,52.0,50.4,50.7,50.95,51.02,"5,71,626","2,91,63,726.50",-,"1,68,016",29.39
AMAR,EQ,2005-10-18,50.95,51.75,53.0,49.9,50.35,50.55,51.76,"7,03,484","3,64,15,534.05",-,"92,419",13.14
AMAR,EQ,2005-10-19,50.55,51.0,51.0,45.3,47.3,46.65,48.29,"3,49,248","1,68,66,337.65",-,"92,449",26.47
AMAR,EQ,2005-10-20,46.65,48.0,49.2,42.15,43.5,43.1,44.75,"8,19,214","3,66,55,968.50",-,"3,80,670",46.47
AMAR,EQ,2005-10-21,43.1,43.25,44.1,40.8,44.0,43.4,42.17,"4,95,791","2,09,06,229.95",-,"99,223",20.01
AMAR,EQ,2005-10-24,43.4,50.05,50.05,42.7,43.35,43.4,43.53,"3,16,771","1,37,87,676.80",-,"66,394",20.96
AMAR,EQ,2005-10-25,43.4,43.6,44.8,43.5,43.95,44.05,44.19,"3,07,143","1,35,73,628.25",-,"53,585",17.45
AMAR,EQ,2005-10-26,44.05,44.0,51.0,43.5,47.75,47.75,48.91,"33,81,364","16,53,76,790.70",-,"2,23,379",6.61
AMAR,EQ,2005-10-27,47.75,48.2,48.2,44.7,45.5,45.1,46.4,"5,90,472","2,73,99,782.15",-,"1,57,824",26.73
AMAR,EQ,2005-10-28,45.1,44.0,45.3,43.1,43.95,43.65,44.15,"2,71,556","1,19,89,422.85",-,"83,129",30.61
AMAR,EQ,2005-10-31,43.65,43.9,44.65,43.25,44.2,44.3,43.94,"1,78,724","78,52,981.45",-,"43,098",24.11
AMAR,EQ,2005-11-01,44.3,44.9,45.95,44.7,45.45,45.2,45.32,"1,05,154","47,65,313.30",-,"35,299",33.57
AMAR,EQ,2005-11-02,45.2,44.3,44.9,43.7,44.1,44.1,44.05,"1,71,917","75,72,611.15",-,"99,099",57.64
AMAR,EQ,2005-11-07,44.1,44.5,50.0,44.15,49.4,49.25,48.9,"10,44,824","5,10,88,338.90",-,"2,90,170",27.77
AMAR,EQ,2005-11-08,49.25,45.0,52.2,44.2,50.3,50.15,50.49,"8,67,882","4,38,20,065.10",-,"1,12,599",12.97
AMAR,EQ,2005-11-09,50.15,49.5,51.8,49.15,49.15,49.9,50.29,"4,26,523","2,14,51,645.80",-,"81,273",19.05
AMAR,EQ,2005-11-10,49.9,50.2,50.35,49.15,49.85,49.85,49.74,"2,40,927","1,19,83,095.15",-,"67,892",28.18
AMAR,EQ,2005-11-11,49.85,50.2,51.0,49.85,50.35,50.3,50.36,"1,99,301","1,00,36,602.95",-,"63,163",31.69
AMAR,EQ,2005-11-14,50.3,51.0,55.2,50.5,53.5,53.9,53.81,"15,98,252","8,60,09,490.80",-,"2,35,749",14.75
AMAR,EQ,2005-11-16,53.9,54.0,54.65,52.75,54.0,54.05,54.05,"10,39,683","5,61,96,151.35",-,"2,30,651",22.18
AMAR,EQ,2005-11-17,54.05,54.45,55.0,52.75,53.15,53.2,53.98,"4,43,794","2,39,56,176.60",-,"99,089",22.33
AMAR,EQ,2005-11-18,53.2,53.75,54.2,43.5,52.6,52.55,52.98,"5,89,840","3,12,47,035.55",-,"3,87,982",65.78
AMAR,EQ,2005-11-21,52.55,53.2,54.0,52.0,52.2,52.15,52.82,"1,99,234","1,05,24,405.30",-,"55,923",28.07
