SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BHAGYAPROP,BE,2017-07-20,24.35,29.2,29.2,27.75,27.75,27.75,27.81,"2,761","76,777.25",13,-,-
BHAGYAPROP,BE,2017-07-21,27.75,26.4,26.4,26.4,26.4,26.4,26.4,"1,150","30,360.00",4,-,-
BHAGYAPROP,BE,2017-07-24,26.4,25.1,25.1,25.1,25.1,25.1,25.1,400,"10,040.00",2,-,-
BHAGYAPROP,BE,2017-07-25,25.1,23.85,23.85,23.85,23.85,23.85,23.85,"1,543","36,800.55",5,-,-
BHAGYAPROP,BE,2017-07-26,23.85,22.7,25.0,22.7,23.25,23.25,23.16,"43,751","10,13,326.30",94,-,-
BHAGYAPROP,BE,2017-07-27,23.25,22.2,24.25,22.2,22.6,22.55,22.82,"9,089","2,07,392.75",32,-,-
BHAGYAPROP,BE,2017-07-28,22.55,21.75,23.45,21.75,22.5,22.55,22.57,"3,787","85,472.70",22,-,-
BHAGYAPROP,BE,2017-07-31,22.55,22.15,22.75,21.45,22.5,22.5,22.08,"4,613","1,01,847.30",30,-,-
BHAGYAPROP,BE,2017-08-01,22.5,21.5,22.5,21.5,22.4,21.6,21.53,"17,627","3,79,582.65",31,-,-
BHAGYAPROP,BE,2017-08-02,21.6,20.7,21.55,20.55,21.45,20.7,20.78,"22,905","4,76,029.55",47,-,-
BHAGYAPROP,BE,2017-08-03,20.7,21.45,21.45,20.25,20.9,20.9,20.34,"3,567","72,550.25",21,-,-
BHAGYAPROP,BE,2017-08-04,20.9,20.35,21.5,20.3,20.55,20.55,20.52,"4,795","98,380.90",17,-,-
BHAGYAPROP,BE,2017-08-07,20.55,20.25,20.5,19.7,20.5,20.5,20.22,"18,138","3,66,794.85",15,-,-
BHAGYAPROP,BE,2017-08-08,20.5,19.7,21.5,19.5,20.0,19.9,19.97,"10,600","2,11,676.75",19,-,-
BHAGYAPROP,BE,2017-08-09,19.9,20.0,20.0,19.0,19.25,19.25,19.24,"12,005","2,31,012.50",16,-,-
BHAGYAPROP,BE,2017-08-10,19.25,18.5,18.5,18.5,18.5,18.5,18.5,"9,223","1,70,625.50",371,-,-
BHAGYAPROP,BE,2017-08-11,18.5,18.0,19.4,17.6,19.25,18.45,18.05,920,"16,605.30",11,-,-
BHAGYAPROP,BE,2017-08-14,18.45,17.6,19.35,17.55,18.4,18.4,18.24,"27,535","5,02,187.00",13,-,-
BHAGYAPROP,BE,2017-08-16,18.4,17.65,19.2,17.65,19.2,19.2,17.86,"30,031","5,36,374.65",15,-,-
BHAGYAPROP,BE,2017-08-17,19.2,18.35,18.6,18.35,18.5,18.5,18.46,"1,275","23,532.50",6,-,-
BHAGYAPROP,BE,2017-08-18,18.5,18.55,18.9,18.4,18.9,18.55,18.54,"5,388","99,897.20",10,-,-
BHAGYAPROP,BE,2017-08-21,18.55,18.25,18.35,18.25,18.25,18.25,18.3,"1,160","21,232.45",6,-,-
BHAGYAPROP,BE,2017-08-22,18.25,18.25,18.5,18.25,18.5,18.5,18.37,"3,571","65,588.50",5,-,-
BHAGYAPROP,EQ,2017-08-23,18.5,18.25,18.8,18.25,18.8,18.8,18.56,477,"8,851.45",5,477,100.00
BHAGYAPROP,EQ,2017-08-24,18.8,18.55,19.0,18.55,19.0,19.0,18.85,750,"14,137.50",3,750,100.00
BHAGYAPROP,EQ,2017-08-28,19.0,18.5,19.0,18.3,18.3,18.3,18.48,"1,647","30,430.10",9,"1,647",100.00
BHAGYAPROP,EQ,2017-08-30,18.3,18.3,19.2,17.4,18.05,18.85,17.76,"28,757","5,10,820.45",25,"27,050",94.06
BHAGYAPROP,EQ,2017-08-31,18.85,18.0,19.0,17.95,19.0,19.0,17.97,"2,415","43,408.50",12,"2,410",99.79
BHAGYAPROP,EQ,2017-09-01,19.0,18.05,19.0,18.05,19.0,19.0,18.55,"1,187","22,020.35",10,"1,186",99.92
BHAGYAPROP,EQ,2017-09-04,19.0,18.2,19.2,18.2,18.5,18.5,18.42,"2,370","43,654.20",8,"2,370",100.00
BHAGYAPROP,EQ,2017-09-05,18.5,19.4,19.4,18.5,18.6,18.6,18.79,"2,344","44,044.40",19,"2,314",98.72
BHAGYAPROP,EQ,2017-09-06,18.6,19.5,19.5,18.25,19.25,19.25,18.65,464,"8,653.00",5,414,89.22
BHAGYAPROP,EQ,2017-09-07,19.25,18.35,20.0,18.35,20.0,19.8,19.45,"2,051","39,896.80",14,"2,051",100.00
BHAGYAPROP,EQ,2017-09-08,19.8,18.85,20.6,18.85,20.0,20.0,20.03,"2,310","46,261.00",7,"2,310",100.00
BHAGYAPROP,EQ,2017-09-11,20.0,19.05,19.6,19.0,19.0,19.0,19.27,"4,559","87,844.75",21,"4,559",100.00
BHAGYAPROP,EQ,2017-09-12,19.0,18.15,19.8,18.1,18.1,18.1,18.23,"4,110","74,943.50",20,"4,060",98.78
BHAGYAPROP,EQ,2017-09-13,18.1,18.1,18.25,18.1,18.1,18.1,18.14,"7,650","1,38,795.00",17,"7,650",100.00
BHAGYAPROP,EQ,2017-09-14,18.1,18.25,18.25,18.1,18.15,18.15,18.13,"4,090","74,135.85",12,"4,090",100.00
BHAGYAPROP,EQ,2017-09-15,18.15,18.15,18.15,18.1,18.1,18.1,18.12,500,"9,060.00",2,500,100.00
BHAGYAPROP,EQ,2017-09-18,18.1,18.25,18.5,18.1,18.1,18.1,18.33,"1,490","27,312.50",12,"1,490",100.00
BHAGYAPROP,EQ,2017-09-19,18.1,18.1,19.0,18.1,19.0,19.0,18.78,"4,801","90,169.10",13,"4,801",100.00
