SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BLUEBLENDS,EQ,1996-01-02,30.00,30.00,30.0,30.0,-,30.0,30.0,300,"9,000.00",-,-,-
BLUEBLENDS,EQ,1996-01-09,30.00,29.50,29.5,29.5,-,29.5,29.5,500,"14,750.00",-,-,-
BLUEBLENDS,EQ,1996-01-22,29.50,26.65,26.65,26.65,-,26.65,26.65,500,"13,325.00",-,-,-
BLUEBLENDS,EQ,1996-02-01,26.65,26.75,26.75,26.75,-,26.75,26.75,50,"1,337.50",-,-,-
BLUEBLENDS,EQ,1996-02-06,26.75,27.50,27.5,27.5,-,27.5,27.5,100,"2,750.00",-,-,-
BLUEBLENDS,EQ,1996-02-07,27.50,26.25,26.25,26.25,-,26.25,26.25,200,"5,250.00",-,-,-
BLUEBLENDS,EQ,1996-02-12,26.25,27.00,27.0,26.0,-,26.0,26.5,"1,000","26,500.00",-,-,-
BLUEBLENDS,EQ,1996-02-14,26.00,26.00,26.0,26.0,-,26.0,26.0,"1,850","48,100.00",-,-,-
BLUEBLENDS,EQ,1996-02-15,26.00,27.00,27.0,27.0,-,27.0,27.0,400,"10,800.00",-,-,-
BLUEBLENDS,EQ,1996-02-16,27.00,27.50,27.5,25.0,-,25.0,26.79,700,"18,750.00",-,-,-
BLUEBLENDS,EQ,1996-02-20,25.00,24.00,24.0,24.0,-,24.0,24.0,400,"9,600.00",-,-,-
BLUEBLENDS,EQ,1996-02-22,24.00,24.00,24.0,24.0,-,24.0,24.0,500,"12,000.00",-,-,-
BLUEBLENDS,EQ,1996-02-23,24.00,24.00,24.0,24.0,-,24.0,24.0,100,"2,400.00",-,-,-
BLUEBLENDS,EQ,1996-02-27,24.00,24.00,24.0,24.0,-,24.0,24.0,"1,300","31,200.00",-,-,-
BLUEBLENDS,EQ,1996-02-28,24.00,25.00,25.0,24.95,-,24.95,25.0,"1,100","27,495.00",-,-,-
BLUEBLENDS,EQ,1996-02-29,24.95,25.00,25.0,25.0,-,25.0,25.0,100,"2,500.00",-,-,-
BLUEBLENDS,EQ,1996-03-01,25.00,24.95,25.0,24.95,-,25.0,24.97,700,"17,480.00",-,-,-
BLUEBLENDS,EQ,1996-03-27,25.00,22.50,22.5,22.5,-,22.5,22.5,50,"1,125.00",-,-,-
BLUEBLENDS,EQ,1996-03-28,22.50,22.50,22.5,20.25,-,20.25,21.75,150,"3,262.50",-,-,-
BLUEBLENDS,EQ,1996-03-29,20.25,20.25,19.0,18.2,-,18.5,18.6,350,"6,510.00",-,-,-
BLUEBLENDS,EQ,1996-04-01,18.50,16.65,16.65,16.65,-,16.65,16.65,50,832.50,-,-,-
BLUEBLENDS,EQ,1996-04-02,16.65,17.00,17.0,17.0,-,17.0,17.0,200,"3,400.00",-,-,-
BLUEBLENDS,EQ,1996-04-09,17.00,17.00,17.0,17.0,-,17.0,17.0,200,"3,400.00",-,-,-
BLUEBLENDS,EQ,1996-04-10,17.00,18.00,18.65,18.0,-,18.65,18.33,200,"3,665.00",-,-,-
BLUEBLENDS,EQ,1996-04-15,18.65,17.40,17.4,17.4,-,17.4,17.4,200,"3,480.00",-,-,-
BLUEBLENDS,EQ,1996-04-16,17.40,17.25,17.25,17.25,-,17.25,17.25,100,"1,725.00",-,-,-
BLUEBLENDS,EQ,1996-04-17,17.25,17.50,17.5,17.5,-,17.5,17.5,100,"1,750.00",-,-,-
BLUEBLENDS,EQ,1996-04-18,17.50,17.50,18.1,17.5,-,18.1,17.63,"1,900","33,490.00",-,-,-
BLUEBLENDS,EQ,1996-04-19,18.10,18.20,18.2,18.2,-,18.2,18.2,300,"5,460.00",-,-,-
BLUEBLENDS,EQ,1996-04-22,18.20,19.50,19.5,19.0,-,19.0,19.42,600,"11,650.00",-,-,-
BLUEBLENDS,EQ,1996-04-23,19.00,20.50,20.5,20.2,-,20.3,20.33,"1,300","26,435.00",-,-,-
BLUEBLENDS,EQ,1996-04-26,20.30,20.00,20.0,20.0,-,20.0,20.0,100,"2,000.00",-,-,-
BLUEBLENDS,EQ,1996-06-06,20.00,20.00,20.0,18.5,-,18.5,19.25,200,"3,850.00",-,-,-
BLUEBLENDS,EQ,1996-06-07,18.50,18.50,18.5,18.5,-,18.5,18.5,50,925.00,-,-,-
BLUEBLENDS,EQ,1996-06-10,18.50,18.50,18.5,18.5,-,18.5,18.5,50,925.00,-,-,-
BLUEBLENDS,EQ,1996-06-20,18.50,16.65,16.65,16.65,-,16.65,16.65,50,832.50,-,-,-
BLUEBLENDS,EQ,1996-06-21,16.65,15.00,15.0,15.0,-,15.0,15.0,350,"5,250.00",-,-,-
BLUEBLENDS,EQ,1996-06-24,15.00,15.00,15.0,14.6,-,14.6,14.8,200,"2,960.00",-,-,-
BLUEBLENDS,EQ,1996-06-25,14.60,14.00,14.0,14.0,-,14.0,14.0,450,"6,300.00",-,-,-
BLUEBLENDS,EQ,1996-06-26,14.00,14.00,14.0,13.5,-,13.55,13.78,550,"7,577.50",-,-,-
BLUEBLENDS,EQ,1996-06-27,13.55,14.00,14.0,14.0,-,14.0,14.0,50,700.00,-,-,-
BLUEBLENDS,EQ,1996-06-28,14.00,13.65,13.65,13.65,-,13.65,13.65,350,"4,777.50",-,-,-
BLUEBLENDS,EQ,1996-07-01,13.65,13.50,13.5,13.5,-,13.5,13.5,50,675.00,-,-,-
BLUEBLENDS,EQ,1996-07-04,13.50,14.50,14.5,14.5,-,14.5,14.5,100,"1,450.00",-,-,-
BLUEBLENDS,EQ,1996-07-05,14.50,14.75,15.0,14.75,-,15.0,14.93,700,"10,450.00",-,-,-
BLUEBLENDS,EQ,1996-07-08,-,14.95,16.0,14.95,-,16.0,15.39,250,"3,847.50",-,-,-
BLUEBLENDS,EQ,1996-07-09,16.00,15.00,15.25,14.5,-,15.25,15.1,650,"9,812.50",-,-,-
BLUEBLENDS,EQ,1996-07-23,15.25,15.50,15.5,15.5,-,15.5,15.5,100,"1,550.00",-,-,-
BLUEBLENDS,EQ,1996-07-29,15.50,16.75,17.0,16.75,-,17.0,16.88,400,"6,750.00",-,-,-
BLUEBLENDS,EQ,1996-08-06,17.00,15.50,15.5,15.5,-,15.5,15.5,50,775.00,-,-,-
BLUEBLENDS,EQ,1996-08-07,15.50,16.90,16.9,16.9,-,16.9,16.9,300,"5,070.00",-,-,-
BLUEBLENDS,EQ,1996-08-13,16.90,16.90,16.9,16.9,-,16.9,16.9,50,845.00,-,-,-
BLUEBLENDS,EQ,1996-08-14,16.90,16.00,16.0,16.0,-,16.0,16.0,200,"3,200.00",-,-,-
BLUEBLENDS,EQ,1996-08-23,16.00,14.40,14.4,14.4,-,14.4,14.4,50,720.00,-,-,-
BLUEBLENDS,EQ,1996-08-26,14.40,15.25,15.25,15.25,-,15.25,15.25,50,762.50,-,-,-
BLUEBLENDS,EQ,1996-08-28,15.25,13.70,13.7,13.7,-,13.7,13.7,50,685.00,-,-,-
BLUEBLENDS,EQ,1996-09-02,13.70,15.05,15.05,15.05,-,15.05,15.05,50,752.50,-,-,-
BLUEBLENDS,EQ,1996-09-04,15.05,16.55,16.55,16.55,-,16.55,16.55,100,"1,655.00",-,-,-
BLUEBLENDS,EQ,1996-09-09,16.55,17.00,17.0,17.0,-,17.0,17.0,100,"1,700.00",-,-,-
