SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BMWVENTLTD,BE,01-10-2025,99.0,78.0,78.0,74.1,74.1,74.1,75.58,"14,51,832","10,97,24,316.50","11,369",-,-
BMWVENTLTD,BE,03-10-2025,74.1,70.39,70.39,70.39,70.39,70.39,70.39,262947,185.09,3592, -, -
BMWVENTLTD,BE,06-10-2025,70.39,66.87,68.3,66.87,66.87,66.87,66.89,1218253,814.93,8274, -, -
BMWVENTLTD,BE,07-10-2025,66.87,63.52,63.52,63.52,63.52,63.52,63.52,212378,134.9,2078, -, -
BMWVENTLTD,BE,08-10-2025,63.52,60.34,63.0,60.34,60.6,60.57,60.83,2668963,1623.65,14776, -, -
BMWVENTLTD,BE,09-10-2025,60.57,58.81,60.34,57.54,57.55,57.71,58.36,806756,470.84,7388, -, -
BMWVENTLTD,BE,10-10-2025,57.71,57.54,60.59,55.7,60.59,60.59,58.22,700476,407.82,4770, -, -
BMWVENTLTD,BE,13-10-2025,60.59,62.0,63.61,60.89,63.61,63.61,63.0,324467,204.41,2022, -, -
BMWVENTLTD,BE,14-10-2025,63.61,64.45,65.9,60.52,61.0,60.94,62.86,468852,294.73,4309, -, -
BMWVENTLTD,BE,15-10-2025,60.94,60.93,63.45,58.55,61.69,61.0,61.59,205597,126.64,1915, -, -
