SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
KALYANBRAK,EQ,02-01-1996,75.00,72.5,72.5,72.5,-,72.5,72.5,50,"3,625.00",-,-,-
KALYANBRAK,EQ,03-01-1996,72.50,73.5,73.5,73.5,-,73.5,73.5,200,"14,700.00",-,-,-
KALYANBRAK,EQ,11-01-1996,73.50,73.5,74.0,74.0,-,74.0,74.0,50,"3,700.00",-,-,-
KALYANBRAK,EQ,12-01-1996,74.00,74.0,75.0,74.0,-,74.05,74.09,600,"44,452.50",-,-,-
KALYANBRAK,EQ,17-01-1996,74.05,74.05,78.0,74.0,-,78.0,76.0,200,"15,200.00",-,-,-
KALYANBRAK,EQ,18-01-1996,78.00,80.0,80.0,80.0,-,80.0,80.0,50,"4,000.00",-,-,-
KALYANBRAK,EQ,23-01-1996,80.00,82.0,82.0,82.0,-,82.0,82.0,200,"16,400.00",-,-,-
KALYANBRAK,EQ,24-01-1996,82.00,77.0,77.0,77.0,-,77.0,77.0,100,"7,700.00",-,-,-
KALYANBRAK,EQ,25-01-1996,77.00,75.0,75.0,75.0,-,75.0,75.0,100,"7,500.00",-,-,-
KALYANBRAK,EQ,29-01-1996,75.00,75.0,77.0,77.0,-,77.0,77.0,50,"3,850.00",-,-,-
KALYANBRAK,EQ,01-02-1996,77.00,77.0,77.0,77.0,-,77.0,77.0,50,"3,850.00",-,-,-
KALYANBRAK,EQ,02-02-1996,77.00,77.0,80.0,77.0,-,80.0,79.0,350,"27,650.00",-,-,-
KALYANBRAK,EQ,06-02-1996,80.00,77.0,77.0,77.0,-,77.0,77.0,100,"7,700.00",-,-,-
KALYANBRAK,EQ,07-02-1996,77.00,76.0,80.0,76.0,-,80.0,78.0,100,"7,800.00",-,-,-
KALYANBRAK,EQ,08-02-1996,80.00,80.0,82.0,80.0,-,80.0,80.73,550,"44,400.00",-,-,-
KALYANBRAK,EQ,12-02-1996,80.00,87.0,88.0,87.0,-,88.0,87.5,200,"17,500.00",-,-,-
KALYANBRAK,EQ,13-02-1996,88.00,89.0,95.0,89.0,-,95.0,92.6,"1,250","1,15,750.00",-,-,-
KALYANBRAK,EQ,14-02-1996,95.00,96.0,102.0,96.0,-,102.0,100.5,600,"60,300.00",-,-,-
KALYANBRAK,EQ,15-02-1996,102.00,100.0,102.0,100.0,-,100.0,100.87,"2,650","2,67,295.00",-,-,-
KALYANBRAK,EQ,16-02-1996,100.00,101.1,102.0,101.0,-,101.5,101.11,"1,250","1,26,385.00",-,-,-
KALYANBRAK,EQ,19-02-1996,101.50,105.0,105.0,103.0,-,103.0,104.0,400,"41,600.00",-,-,-
KALYANBRAK,EQ,20-02-1996,103.00,103.0,105.0,101.0,-,104.6,102.66,850,"87,265.00",-,-,-
KALYANBRAK,EQ,22-02-1996,104.60,101.0,102.0,101.0,-,102.0,101.67,150,"15,250.00",-,-,-
KALYANBRAK,EQ,23-02-1996,102.00,101.95,102.0,101.0,-,101.0,101.1,"1,400","1,41,545.00",-,-,-
KALYANBRAK,EQ,26-02-1996,101.00,101.0,102.0,101.0,-,101.0,101.5,300,"30,450.00",-,-,-
KALYANBRAK,EQ,27-02-1996,101.00,103.0,103.0,101.0,-,101.0,102.99,"15,050","15,50,050.00",-,-,-
KALYANBRAK,EQ,28-02-1996,101.00,99.0,103.0,99.0,-,103.0,101.45,650,"65,940.00",-,-,-
KALYANBRAK,EQ,29-02-1996,103.00,103.0,103.95,100.2,-,101.5,101.54,"2,750","2,79,230.00",-,-,-
KALYANBRAK,EQ,01-03-1996,101.50,101.5,103.95,95.0,-,103.4,101.42,"1,650","1,67,345.00",-,-,-
KALYANBRAK,EQ,04-03-1996,103.40,102.5,105.0,102.5,-,105.0,104.48,250,"26,120.00",-,-,-
KALYANBRAK,EQ,07-03-1996,105.00,104.0,104.0,104.0,-,104.0,104.0,150,"15,600.00",-,-,-
KALYANBRAK,EQ,12-03-1996,104.00,101.0,102.0,101.0,-,102.0,101.25,200,"20,250.00",-,-,-
KALYANBRAK,EQ,13-03-1996,102.00,102.0,103.0,102.0,-,102.0,102.44,450,"46,100.00",-,-,-
KALYANBRAK,EQ,14-03-1996,102.00,105.0,105.0,105.0,-,105.0,105.0,100,"10,500.00",-,-,-
KALYANBRAK,EQ,15-03-1996,105.00,110.0,110.0,110.0,-,110.0,110.0,100,"11,000.00",-,-,-
KALYANBRAK,EQ,19-03-1996,110.00,109.0,109.0,105.0,-,105.0,107.47,850,"91,350.00",-,-,-
KALYANBRAK,EQ,22-03-1996,105.00,105.5,105.5,105.5,-,105.5,105.5,50,"5,275.00",-,-,-
KALYANBRAK,EQ,25-03-1996,105.50,105.05,105.05,105.05,-,105.05,105.05,150,"15,757.50",-,-,-
KALYANBRAK,EQ,26-03-1996,105.05,105.05,105.1,105.0,-,105.1,105.07,"1,100","1,15,575.00",-,-,-
