SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BRIGHOTEL,EQ,31-07-2025,90.0,81.1,87.84,81.1,85.15,85.32,85.19,"2,11,19,517","1,79,91,84,027.34","1,18,349","82,96,628",39.28
BRIGHOTEL,EQ,01-08-2025,85.32,85.0,87.33,84.0,84.35,84.3,85.38,2421603,2067.56,28385, 1099674,45.41
BRIGHOTEL,EQ,04-08-2025,84.3,84.19,85.0,81.38,82.51,82.49,82.52,2245806,1853.26,24040, 1568528,69.84
BRIGHOTEL,EQ,05-08-2025,82.49,82.49,83.09,80.15,80.35,80.37,81.26,1629096,1323.72,20015, 1129165,69.31
BRIGHOTEL,EQ,06-08-2025,80.37,80.37,82.35,77.43,80.68,81.0,79.11,2748429,2174.32,32071, 1515788,55.15
BRIGHOTEL,EQ,07-08-2025,81.0,80.69,82.27,80.07,80.4,80.99,81.21,978631,794.76,21456, 396993,40.57
BRIGHOTEL,EQ,08-08-2025,80.99,80.57,87.5,80.48,82.49,83.02,84.25,6740395,5678.68,72821, 2166892,32.15
BRIGHOTEL,EQ,11-08-2025,83.02,83.66,87.2,83.66,85.16,85.71,85.68,3251013,2785.6,37683, 919454,28.28
BRIGHOTEL,EQ,12-08-2025,85.71,87.5,87.5,84.46,84.55,84.65,85.81,1085036,931.05,16890, 405812,37.4
BRIGHOTEL,EQ,13-08-2025,84.65,85.29,85.95,83.22,83.52,83.47,84.47,1495021,1262.85,17606, 532247,35.6
BRIGHOTEL,EQ,14-08-2025,83.47,84.25,84.45,82.15,83.0,82.88,83.3,587286,489.23,12800, 273060,46.5
BRIGHOTEL,EQ,18-08-2025,82.88,84.9,87.4,83.46,85.03,85.45,85.86,2253671,1935.02,46572, 795491,35.3
BRIGHOTEL,EQ,19-08-2025,85.45,85.1,91.77,84.91,90.8,90.83,89.94,9499369,8543.92,69243, 3886408,40.91
BRIGHOTEL,EQ,20-08-2025,90.83,91.4,91.4,85.4,85.55,85.98,87.78,2085523,1830.64,23318, 991253,47.53
BRIGHOTEL,EQ,21-08-2025,85.98,85.98,87.5,85.59,86.15,85.93,86.6,878538,760.82,15239, 332627,37.86
BRIGHOTEL,EQ,22-08-2025,85.93,85.95,88.69,85.61,85.94,86.35,87.06,994734,866.02,15841, 335059,33.68
BRIGHOTEL,EQ,25-08-2025,86.35,86.7,87.15,83.5,83.81,83.72,84.57,1204064,1018.25,32036, 758458,62.99
BRIGHOTEL,EQ,26-08-2025,83.72,83.7,85.31,82.51,84.16,83.16,83.6,911985,762.39,22385, 457776,50.2
