SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CABOTINDIA,EQ,08-01-1997,-,207.5,208.5,205.0,-,208.5,207.25,400,"82,900.00",-,-,-
CABOTINDIA,EQ,09-01-1997,208.50,211.0,215.5,210.0,-,215.5,213.03,800,"1,70,425.00",-,-,-
CABOTINDIA,EQ,10-01-1997,215.50,223.0,225.0,215.0,-,225.0,223.23,"1,600","3,57,175.00",-,-,-
CABOTINDIA,EQ,13-01-1997,225.00,215.0,228.9,215.0,-,228.9,224.69,850,"1,90,982.50",-,-,-
CABOTINDIA,EQ,14-01-1997,228.90,235.0,235.0,227.0,-,228.75,230.95,"1,750","4,04,165.00",-,-,-
CABOTINDIA,EQ,15-01-1997,228.75,243.0,251.0,236.0,-,239.05,242.32,"3,250","7,87,555.00",-,-,-
CABOTINDIA,EQ,16-01-1997,239.05,244.0,245.0,220.0,-,220.0,239.72,"2,550","6,11,297.50",-,-,-
CABOTINDIA,EQ,17-01-1997,220.00,222.0,225.0,220.0,-,221.35,221.94,"1,450","3,21,810.00",-,-,-
CABOTINDIA,EQ,20-01-1997,221.35,222.0,226.0,220.0,-,220.0,222.33,"1,850","4,11,307.50",-,-,-
CABOTINDIA,EQ,21-01-1997,220.00,219.05,223.0,216.0,-,217.2,218.66,"4,050","8,85,562.50",-,-,-
CABOTINDIA,EQ,22-01-1997,217.20,235.0,238.0,229.1,-,229.65,231.41,"8,950","20,71,085.00",-,-,-
CABOTINDIA,EQ,24-01-1997,229.65,230.1,231.0,223.0,-,225.5,227.59,"4,000","9,10,377.50",-,-,-
CABOTINDIA,EQ,27-01-1997,225.50,224.5,225.7,222.8,-,223.0,223.99,"3,700","8,28,780.00",-,-,-
CABOTINDIA,EQ,28-01-1997,223.00,225.0,225.0,222.0,-,223.85,223.33,"5,100","11,38,987.50",-,-,-
CABOTINDIA,EQ,29-01-1997,223.85,223.0,223.95,208.4,-,208.7,215.38,"6,150","13,24,612.50",-,-,-
CABOTINDIA,EQ,30-01-1997,208.70,210.0,211.9,204.0,-,211.8,206.95,"5,200","10,76,147.50",-,-,-
CABOTINDIA,EQ,31-01-1997,211.80,209.0,213.25,207.5,-,207.5,210.14,"3,150","6,61,955.00",-,-,-
CABOTINDIA,EQ,03-02-1997,207.50,202.55,209.95,201.0,-,204.25,204.85,"1,900","3,89,210.00",-,-,-
CABOTINDIA,EQ,04-02-1997,204.25,206.0,207.0,204.1,-,206.3,206.15,"6,700","13,81,212.50",-,-,-
CABOTINDIA,EQ,05-02-1997,206.30,210.05,213.0,209.05,-,209.05,210.99,"7,450","15,71,897.50",-,-,-
CABOTINDIA,EQ,06-02-1997,209.05,208.0,210.0,207.0,-,208.95,208.26,"2,200","4,58,167.50",-,-,-
CABOTINDIA,EQ,07-02-1997,208.95,208.1,208.1,208.0,-,208.0,208.03,200,"41,605.00",-,-,-
CABOTINDIA,EQ,10-02-1997,208.00,209.55,209.55,207.05,-,207.05,208.6,800,"1,66,877.50",-,-,-
CABOTINDIA,EQ,11-02-1997,207.05,206.1,210.0,206.1,-,209.95,209.43,"3,550","7,43,475.00",-,-,-
CABOTINDIA,EQ,12-02-1997,209.95,211.0,211.5,208.0,-,208.0,209.77,"1,550","3,25,147.50",-,-,-
CABOTINDIA,EQ,13-02-1997,208.00,208.0,209.9,204.5,-,205.0,206.32,"2,650","5,46,752.50",-,-,-
CABOTINDIA,EQ,14-02-1997,205.00,203.0,203.0,192.0,-,196.9,196.9,"2,300","4,52,880.00",-,-,-
CABOTINDIA,EQ,17-02-1997,196.90,197.0,197.0,181.0,-,185.6,189.74,"6,150","11,66,892.50",-,-,-
CABOTINDIA,EQ,18-02-1997,185.60,186.5,188.0,172.05,-,173.95,178.97,"12,450","22,28,230.00",-,-,-
CABOTINDIA,EQ,19-02-1997,173.95,175.05,181.0,175.0,-,178.0,177.41,"4,850","8,60,415.00",-,-,-
CABOTINDIA,EQ,20-02-1997,178.00,179.0,184.95,179.0,-,183.05,182.88,"2,450","4,48,062.50",-,-,-
CABOTINDIA,EQ,21-02-1997,183.05,181.15,181.15,176.0,-,176.5,177.55,"2,550","4,52,757.50",-,-,-
CABOTINDIA,EQ,24-02-1997,176.50,176.0,176.0,169.1,-,169.1,171.66,"2,400","4,11,990.00",-,-,-
CABOTINDIA,EQ,25-02-1997,169.10,166.05,175.5,166.05,-,169.8,169.28,"8,500","14,38,892.50",-,-,-
CABOTINDIA,EQ,26-02-1997,169.80,165.0,172.0,165.0,-,171.4,169.55,"1,000","1,69,550.00",-,-,-
CABOTINDIA,EQ,27-02-1997,171.40,175.5,175.5,170.0,-,175.0,171.87,"1,950","3,35,150.00",-,-,-
