SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CANHLIFE,EQ,17-10-2025,106.0,106.0,112.8,106.0,112.0,111.42,109.6,"6,31,62,574","6,92,24,62,606.99","2,67,978","3,73,15,423",59.08
CANHLIFE,EQ,20-10-2025,111.42,112.02,112.7,106.61,110.22,110.4,109.32,6356381,6948.5,43748, 3200638,50.35
CANHLIFE,EQ,21-10-2025,110.4,110.1,110.1,108.0,108.4,108.62,109.08,684509,746.69,6887, 398518,58.23
CANHLIFE,EQ,23-10-2025,108.62,108.0,113.8,107.1,113.49,113.05,111.34,7314219,8143.44,69609, 4283079,58.56
CANHLIFE,EQ,24-10-2025,113.05,113.0,125.99,111.37,120.3,121.73,121.01,15955481,19307.96,96848, 4966524,31.13
CANHLIFE,EQ,27-10-2025,121.73,121.7,123.8,119.05,121.2,121.54,121.61,4562382,5548.11,42532, 1593566,34.93
CANHLIFE,EQ,28-10-2025,121.54,120.95,124.0,116.5,120.19,120.47,120.45,4768100,5743.07,53937, 1701176,35.68
CANHLIFE,EQ,29-10-2025,120.47,120.0,120.73,115.3,116.7,117.32,118.41,2701251,3198.44,26649, 1525134,56.46
CANHLIFE,EQ,30-10-2025,117.32,117.0,119.74,117.0,117.9,118.14,118.27,2277725,2693.94,21574, 1236674,54.29
CANHLIFE,EQ,31-10-2025,118.14,118.0,119.59,115.41,116.3,116.36,118.03,982643,1159.79,18510, 409670,41.69
CANHLIFE,EQ,03-11-2025,116.36,116.36,118.72,114.56,118.25,117.72,117.31,1310274,1537.07,16044, 558941,42.66
CANHLIFE,EQ,04-11-2025,117.72,119.0,123.65,117.52,118.55,118.46,119.89,2277731,2730.76,23313, 836034,36.7
CANHLIFE,EQ,06-11-2025,118.46,120.15,122.0,118.2,121.0,121.51,120.69,1711567,2065.61,20387, 865819,50.59
CANHLIFE,EQ,07-11-2025,121.51,119.87,125.79,119.87,122.5,122.86,123.08,1951024,2401.32,19866, 743497, 38.11
