SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CILNOVA,BE,23-05-2011,25.7,23.95,30.05,14.1,14.1,15.8,21.5,"43,465","9,34,377.90",-,-,-
CILNOVA,BE,24-05-2011,15.8,15.05,16.0,15.05,15.5,15.35,15.24,"9,271","1,41,261.10",-,-,-
CILNOVA,BE,25-05-2011,15.35,15.25,15.75,14.6,15.75,15.75,15.34,"6,532","1,00,188.45",-,-,-
CILNOVA,BE,26-05-2011,15.75,15.0,15.5,15.0,15.5,15.5,15.09,"6,357","95,932.00",-,-,-
CILNOVA,BE,27-05-2011,15.5,16.0,16.0,15.25,16.0,15.8,15.53,"6,991","1,08,603.00",-,-,-
CILNOVA,BE,30-05-2011,15.8,15.25,15.65,15.25,15.25,15.25,15.44,"6,775","1,04,593.75",-,-,-
CILNOVA,BE,31-05-2011,15.25,15.25,15.5,15.25,15.5,15.5,15.48,"18,481","2,86,010.50",-,-,-
CILNOVA,BE,01-06-2011,15.5,15.0,15.5,15.0,15.5,15.5,15.5,"17,147","2,65,738.00",41,-,-
CILNOVA,BE,02-06-2011,15.5,16.3,16.3,15.05,16.3,16.3,16.28,"36,720","5,97,775.50",76,-,-
CILNOVA,BE,03-06-2011,16.3,16.3,17.15,16.3,17.15,17.15,17.14,"21,129","3,62,151.00",49,-,-
CILNOVA,EQ,06-06-2011,17.15,18.2,18.2,16.75,17.9,17.2,17.56,"28,797","5,05,673.10",108,"24,759",85.98
CILNOVA,EQ,07-06-2011,17.2,17.5,17.5,14.3,17.0,17.0,16.25,"16,016","2,60,314.50",49,"14,592",91.11
CILNOVA,EQ,08-06-2011,17.0,16.4,17.4,14.1,16.5,16.5,16.47,"17,571","2,89,386.40",30,"15,249",86.79
