SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CITURGIBIO,EQ,14-03-1996,104.0,108.0,108.0,108.0,-,108.0,108.0,"1,000","1,08,000.00",-,-,-
CITURGIBIO,EQ,15-03-1996,108.0,106.0,106.0,106.0,-,106.0,106.0,100,"10,600.00",-,-,-
CITURGIBIO,EQ,18-03-1996,106.0,96.0,96.0,96.0,-,96.0,96.0,"1,000","96,000.00",-,-,-
CITURGIBIO,EQ,22-03-1996,96.0,97.0,100.0,97.0,-,100.0,97.5,600,"58,500.00",-,-,-
CITURGIBIO,EQ,25-03-1996,100.0,99.0,99.0,90.0,-,90.0,94.5,"10,000","9,45,000.00",-,-,-
CITURGIBIO,EQ,26-03-1996,90.0,92.05,94.1,92.05,-,94.1,93.42,150,"14,012.50",-,-,-
CITURGIBIO,EQ,01-04-1996,94.1,96.0,96.0,96.0,-,96.0,96.0,150,"14,400.00",-,-,-
CITURGIBIO,EQ,02-04-1996,96.0,96.0,97.95,95.0,-,96.0,96.03,"1,350","1,29,640.00",-,-,-
CITURGIBIO,EQ,04-04-1996,96.0,96.0,99.95,97.0,-,97.0,97.63,250,"24,407.50",-,-,-
CITURGIBIO,EQ,08-04-1996,97.0,97.0,103.0,97.0,-,103.0,100.0,200,"20,000.00",-,-,-
CITURGIBIO,EQ,10-04-1996,103.0,103.0,106.0,103.0,-,106.0,104.6,250,"26,150.00",-,-,-
CITURGIBIO,EQ,17-04-1996,106.0,106.0,106.0,102.0,-,106.0,105.0,200,"21,000.00",-,-,-
CITURGIBIO,EQ,19-04-1996,106.0,103.0,103.0,103.0,-,103.0,103.0,100,"10,300.00",-,-,-
CITURGIBIO,EQ,22-04-1996,103.0,100.0,100.0,100.0,-,100.0,100.0,100,"10,000.00",-,-,-
CITURGIBIO,EQ,29-04-1996,100.0,98.0,98.0,98.0,-,98.0,98.0,50,"4,900.00",-,-,-
CITURGIBIO,EQ,30-04-1996,98.0,96.0,96.0,92.0,-,96.0,95.2,250,"23,800.00",-,-,-
CITURGIBIO,EQ,01-05-1996,96.0,96.0,92.0,90.0,-,92.0,91.33,150,"13,700.00",-,-,-
CITURGIBIO,EQ,06-05-1996,92.0,88.0,90.0,88.0,-,90.0,89.33,150,"13,400.00",-,-,-
CITURGIBIO,EQ,08-05-1996,90.0,90.0,90.0,90.0,-,90.0,90.0,100,"9,000.00",-,-,-
CITURGIBIO,EQ,14-05-1996,90.0,94.0,94.0,88.0,-,88.0,90.06,400,"36,025.00",-,-,-
CITURGIBIO,EQ,15-05-1996,88.0,92.0,92.0,91.75,-,92.0,91.99,"1,100","1,01,187.50",-,-,-
CITURGIBIO,EQ,17-05-1996,92.0,92.0,91.5,90.25,-,90.25,90.88,650,"59,075.00",-,-,-
CITURGIBIO,EQ,30-05-1996,90.25,92.0,92.0,92.0,-,92.0,92.0,500,"46,000.00",-,-,-
CITURGIBIO,EQ,31-05-1996,92.0,92.0,90.3,90.3,-,90.3,90.3,100,"9,030.00",-,-,-
CITURGIBIO,EQ,03-06-1996,90.3,90.3,90.3,90.3,-,90.3,90.3,50,"4,515.00",-,-,-
CITURGIBIO,EQ,04-06-1996,90.3,90.0,90.0,90.0,-,90.0,90.0,50,"4,500.00",-,-,-
CITURGIBIO,EQ,05-06-1996,90.0,85.0,85.0,85.0,-,85.0,85.0,50,"4,250.00",-,-,-
CITURGIBIO,EQ,10-06-1996,85.0,90.0,90.0,90.0,-,90.0,90.0,100,"9,000.00",-,-,-
CITURGIBIO,EQ,13-06-1996,90.0,85.0,85.0,85.0,-,85.0,85.0,100,"8,500.00",-,-,-
CITURGIBIO,EQ,17-06-1996,85.0,84.95,85.0,84.95,-,85.0,84.98,100,"8,497.50",-,-,-
CITURGIBIO,EQ,18-06-1996,85.0,77.0,77.0,77.0,-,77.0,77.0,100,"7,700.00",-,-,-
CITURGIBIO,EQ,24-06-1996,77.0,74.0,78.5,74.0,-,76.55,76.55,250,"19,137.50",-,-,-
CITURGIBIO,EQ,25-06-1996,76.55,80.0,80.0,80.0,-,80.0,80.0,50,"4,000.00",-,-,-
CITURGIBIO,EQ,01-07-1996,80.0,79.0,79.0,79.0,-,79.0,79.0,200,"15,800.00",-,-,-
CITURGIBIO,EQ,12-07-1996,79.0,71.5,71.5,71.0,-,71.0,71.25,100,"7,125.00",-,-,-
CITURGIBIO,EQ,15-07-1996,71.0,71.0,71.0,71.0,-,71.0,71.0,100,"7,100.00",-,-,-
CITURGIBIO,EQ,18-07-1996,71.0,68.0,68.0,68.0,-,68.0,68.0,100,"6,800.00",-,-,-
CITURGIBIO,EQ,19-07-1996,68.0,67.75,68.0,67.75,-,68.0,67.88,200,"13,575.00",-,-,-
CITURGIBIO,EQ,22-07-1996,68.0,68.25,68.25,68.25,-,68.25,68.25,100,"6,825.00",-,-,-
CITURGIBIO,EQ,23-07-1996,68.25,65.5,65.5,65.0,-,65.0,65.17,300,"19,550.00",-,-,-
CITURGIBIO,EQ,06-08-1996,65.0,65.0,65.0,65.0,-,65.0,65.0,100,"6,500.00",-,-,-
CITURGIBIO,EQ,09-09-1996,65.0,62.0,62.0,61.0,-,61.0,61.29,700,"42,900.00",-,-,-
CITURGIBIO,EQ,19-09-1996,61.0,60.0,61.0,60.0,-,61.0,60.75,400,"24,300.00",-,-,-
CITURGIBIO,EQ,20-09-1996,61.0,58.0,58.0,58.0,-,58.0,58.0,200,"11,600.00",-,-,-
CITURGIBIO,EQ,22-10-1996,58.0,54.0,54.0,54.0,-,54.0,54.0,500,"27,000.00",-,-,-
CITURGIBIO,EQ,23-10-1996,54.0,51.05,51.05,51.05,-,51.05,51.05,400,"20,420.00",-,-,-
CITURGIBIO,EQ,25-10-1996,51.05,50.1,50.1,50.1,-,50.1,50.1,200,"10,020.00",-,-,-
CITURGIBIO,EQ,01-11-1996,50.1,50.1,50.1,50.0,-,50.0,50.05,100,"5,005.00",-,-,-
