SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CKPLEISURE,SM,2018-03-06,30.0,27.0,30.05,27.0,30.0,29.9,29.78,"8,84,000","2,63,22,000.00",166,"5,48,000",61.99
CKPLEISURE,SM,2018-03-07,29.9,29.5,29.9,29.25,29.9,29.55,29.56,"9,32,000","2,75,47,400.00",126,"5,32,000",57.08
CKPLEISURE,SM,2018-03-08,29.55,30.25,30.25,29.25,29.5,29.5,29.5,"4,64,000","1,36,88,200.00",110,"4,40,000",94.83
CKPLEISURE,SM,2018-03-09,29.5,29.25,29.5,29.25,29.5,29.5,29.49,"5,04,000","1,48,64,800.00",119,"4,88,000",96.83
CKPLEISURE,SM,2018-03-12,29.5,29.25,29.5,29.25,29.5,29.5,29.49,"2,36,000","69,59,400.00",15,"2,32,000",98.31
CKPLEISURE,SM,2018-03-13,29.5,29.75,29.9,29.3,29.5,29.5,29.75,"5,28,000","1,57,05,800.00",17,"5,04,000",95.45
CKPLEISURE,SM,2018-03-14,29.5,29.5,29.5,29.5,29.5,29.5,29.5,"16,000","4,72,000.00",4,"16,000",100.0
CKPLEISURE,SM,2018-03-15,29.5,29.5,29.8,29.5,29.75,29.75,29.57,"2,84,000","83,98,600.00",9,"2,12,000",74.65
CKPLEISURE,SM,2018-03-16,29.75,29.25,29.25,29.25,29.25,29.25,29.25,"12,000","3,51,000.00",3,"12,000",100.0
CKPLEISURE,SM,2018-03-19,29.25,29.05,29.5,29.0,29.0,29.25,29.33,"1,96,000","57,48,000.00",15,"1,00,000",51.02
CKPLEISURE,SM,2018-03-20,29.25,28.8,29.25,28.75,29.0,29.0,29.03,"2,56,000","74,32,800.00",5,"1,00,000",39.06
CKPLEISURE,SM,2018-03-21,29.0,28.75,29.0,28.75,29.0,29.0,28.92,"24,000","6,94,000.00",2,"16,000",66.67
CKPLEISURE,SM,2018-03-22,29.0,29.25,29.25,29.25,29.25,29.25,29.25,"1,00,000","29,25,000.00",3,"1,00,000",100.0
CKPLEISURE,SM,2018-03-26,29.25,28.75,28.75,28.75,28.75,28.75,28.75,"8,000","2,30,000.00",2,"8,000",100.0
CKPLEISURE,SM,2018-03-27,28.75,28.75,28.75,28.75,28.75,28.75,28.75,"4,000","1,15,000.00",1,"4,000",100.0
CKPLEISURE,SM,2018-03-28,28.75,29.0,29.0,28.0,28.0,28.0,28.09,"2,72,000","76,40,000.00",2,"2,72,000",100.0
CKPLEISURE,SM,2018-04-06,28.0,28.0,28.25,27.5,27.5,27.5,27.98,"2,88,000","80,58,000.00",15,"1,68,000",58.33
CKPLEISURE,SM,2018-04-09,27.5,27.0,27.0,27.0,27.0,27.0,27.0,"4,000","1,08,000.00",1,"4,000",100.0
CKPLEISURE,SM,2018-04-10,27.0,30.5,30.5,26.0,28.0,28.0,28.28,"3,52,000","99,55,800.00",28,"1,80,000",51.14
CKPLEISURE,SM,2018-04-11,28.0,27.8,28.0,27.8,28.0,27.9,27.9,"8,000","2,23,200.00",2,"8,000",100.0
CKPLEISURE,SM,2018-04-12,27.9,27.6,29.75,27.6,29.75,29.75,29.69,"1,92,000","57,00,400.00",4,"1,88,000",97.92
CKPLEISURE,SM,2018-04-16,29.75,27.1,27.1,27.1,27.1,27.1,27.1,"4,000","1,08,400.00",1,"4,000",100.0
CKPLEISURE,SM,2018-04-19,27.1,27.4,27.4,27.4,27.4,27.4,27.4,"4,000","1,09,600.00",1,"4,000",100.0
CKPLEISURE,SM,2018-04-23,27.4,27.0,27.0,27.0,27.0,27.0,27.0,"1,80,000","48,60,000.00",5,"1,80,000",100.0
CKPLEISURE,SM,2018-05-10,27.0,25.1,25.1,25.1,25.1,25.1,25.1,"4,000","1,00,400.00",1,"4,000",100.0
CKPLEISURE,SM,2018-05-14,25.1,23.25,23.25,23.25,23.25,23.25,23.25,"4,000","93,000.00",1,"4,000",100.0
CKPLEISURE,SM,2018-05-29,23.25,21.25,21.25,21.25,21.25,21.25,21.25,"4,000","85,000.00",1,"4,000",100.0
CKPLEISURE,SM,2018-06-07,21.25,21.4,21.4,21.4,21.4,21.4,21.4,"4,000","85,600.00",1,"4,000",100.0
CKPLEISURE,SM,2018-06-26,21.4,19.6,19.6,19.6,19.6,19.6,19.6,"4,000","78,400.00",1,"4,000",100.0
CKPLEISURE,SM,2018-07-06,19.6,18.0,18.0,18.0,18.0,18.0,18.0,"4,000","72,000.00",1,"4,000",100.0
CKPLEISURE,SM,2018-07-13,18.0,17.0,17.0,16.0,16.0,16.0,16.92,"48,000","8,12,000.00",2,"44,000",91.67
CKPLEISURE,SM,2018-08-14,16.0,15.0,15.0,15.0,15.0,15.0,15.0,"4,000","60,000.00",1,"4,000",100.0
CKPLEISURE,SM,2018-08-31,15.0,14.8,15.0,14.8,15.0,15.0,14.9,"8,000","1,19,200.00",2,"4,000",50.0
CKPLEISURE,SM,2018-09-26,15.0,14.15,14.15,12.0,12.05,12.05,12.58,"16,000","2,01,200.00",4,"8,000",50.0
CKPLEISURE,SM,2018-09-28,12.05,11.85,12.05,11.85,12.0,12.0,11.97,"12,000","1,43,600.00",3,"8,000",66.67
CKPLEISURE,SM,2018-10-01,12.0,11.0,11.0,9.6,9.6,9.6,10.11,"16,000","1,61,800.00",4,"8,000",50.0
CKPLEISURE,SM,2018-10-04,9.6,8.85,8.85,8.65,8.65,8.65,8.72,"12,000","1,04,600.00",3,"8,000",66.67
CKPLEISURE,SM,2018-10-05,8.65,8.1,8.1,8.1,8.1,8.1,8.1,"4,000","32,400.00",1,"4,000",100.0
CKPLEISURE,SM,2018-10-25,8.1,7.3,7.3,7.3,7.3,7.3,7.3,"4,000","29,200.00",1,"4,000",100.0
CKPLEISURE,SM,2018-10-26,7.3,6.6,6.6,6.6,6.6,6.6,6.6,"4,000","26,400.00",1,"4,000",100.0
CKPLEISURE,SM,2018-10-29,6.6,5.95,5.95,5.95,5.95,5.95,5.95,"8,000","47,600.00",2,"8,000",100.0
CKPLEISURE,SM,2018-10-31,5.95,6.2,6.2,6.2,6.2,6.2,6.2,"4,000","24,800.00",1,"4,000",100.0
CKPLEISURE,SM,2018-11-29,6.2,5.95,5.95,5.9,5.9,5.9,5.93,"8,000","47,400.00",2,"4,000",50.0
CKPLEISURE,SM,2018-12-19,5.9,6.15,6.15,6.15,6.15,6.15,6.15,"4,000","24,600.00",1,"4,000",100.0
CKPLEISURE,SM,2018-12-26,6.15,5.9,5.9,5.9,5.9,5.9,5.9,"4,000","23,600.00",1,"4,000",100.0
CKPLEISURE,SM,2019-03-18,5.9,5.7,5.7,5.7,5.7,5.7,5.7,"4,000","22,800.00",1,"4,000",100.00
CKPLEISURE,SM,2019-06-03,5.7,5.95,5.95,5.95,5.95,5.95,5.95,"4,000","23,800.00",1,"4,000",100.00
CKPLEISURE,SM,2019-07-03,5.95,5.7,5.7,5.7,5.7,5.7,5.7,"4,000","22,800.00",1,"4,000",100.00
CKPLEISURE,SM,2019-08-07,5.7,5.45,5.45,5.45,5.45,5.45,5.45,"4,000","21,800.00",1,"4,000",100.00
CKPLEISURE,SM,2019-08-13,5.45,5.2,5.2,5.2,5.2,5.2,5.2,"4,000","20,800.00",1,"4,000",100.00
CKPLEISURE,SM,2019-08-19,5.2,5.0,5.0,5.0,5.0,5.0,5.0,"4,000","20,000.00",1,"4,000",100.00
CKPLEISURE,SM,2019-08-26,5.0,4.95,4.95,4.95,4.95,4.95,4.95,"20,000","99,000.00",5,"20,000",100.00
CKPLEISURE,SM,2019-08-27,4.95,4.95,4.95,4.95,4.95,4.95,4.95,"24,000","1,18,800.00",1,"24,000",100.00
CKPLEISURE,SM,2019-09-04,4.95,5.15,5.15,5.15,5.15,5.15,5.15,"4,000","20,600.00",1,"4,000",100.00
CKPLEISURE,SM,2019-09-06,5.15,5.0,5.15,5.0,5.05,5.05,5.06,"1,04,000","5,25,800.00",16,"92,000",88.46
CKPLEISURE,SM,2019-09-09,5.05,5.0,5.05,5.0,5.05,5.05,5.05,"2,68,000","13,52,400.00",43,"2,68,000",100.00
CKPLEISURE,SM,2019-09-11,5.05,5.05,5.05,4.95,5.0,5.0,4.99,"2,28,000","11,38,600.00",47,"2,24,000",98.25
CKPLEISURE,SM,2019-09-12,5.0,4.95,5.1,4.95,5.1,5.0,4.98,"2,08,000","10,36,800.00",34,"2,08,000",100.00
CKPLEISURE,SM,2019-09-13,5.0,5.0,5.0,4.95,4.95,4.95,4.99,"1,76,000","8,79,000.00",26,"1,76,000",100.00
CKPLEISURE,SM,2019-09-16,4.95,4.95,5.0,4.95,5.0,5.0,4.98,"1,88,000","9,35,600.00",32,"1,88,000",100.00
CKPLEISURE,SM,2019-09-17,5.0,4.95,5.0,4.9,5.0,4.95,4.94,"2,44,000","12,04,600.00",27,"2,44,000",100.00
CKPLEISURE,SM,2019-09-18,4.95,4.9,4.95,4.9,4.9,4.9,4.92,"2,08,000","10,23,600.00",34,"2,08,000",100.00
CKPLEISURE,SM,2019-09-19,4.9,4.9,4.9,4.9,4.9,4.9,4.9,"1,20,000","5,88,000.00",21,"1,20,000",100.00
CKPLEISURE,SM,2019-09-20,4.9,4.9,5.1,4.9,5.1,5.1,4.96,"1,20,000","5,95,200.00",23,"1,08,000",90.00
CKPLEISURE,SM,2019-09-23,5.1,4.9,5.35,4.9,5.1,5.2,5.04,"3,64,000","18,35,800.00",61,"3,40,000",93.41
CKPLEISURE,SM,2019-09-24,5.2,5.0,5.2,5.0,5.05,5.05,5.08,"1,68,000","8,53,000.00",21,"1,68,000",100.00
CKPLEISURE,SM,2019-09-25,5.05,5.1,5.1,5.05,5.05,5.05,5.05,"68,000","3,43,600.00",13,"68,000",100.00
CKPLEISURE,SM,2019-09-26,5.05,5.05,5.15,5.05,5.15,5.15,5.11,"1,60,000","8,17,800.00",20,"1,60,000",100.00
CKPLEISURE,SM,2019-09-27,5.15,5.05,5.05,5.05,5.05,5.05,5.05,"1,20,000","6,06,000.00",11,"1,20,000",100.00
CKPLEISURE,SM,2019-09-30,5.05,5.0,5.1,5.0,5.1,5.1,5.03,"1,60,000","8,04,000.00",23,"1,60,000",100.00
CKPLEISURE,SM,2019-10-01,5.1,5.0,5.2,4.95,5.2,5.2,5.07,"2,28,000","11,55,400.00",33,"2,28,000",100.00
CKPLEISURE,SM,2019-10-03,5.2,5.1,5.4,4.95,4.95,4.95,5.11,"1,48,000","7,55,800.00",25,"1,12,000",75.68
CKPLEISURE,SM,2019-10-04,4.95,5.05,5.15,4.8,4.8,4.8,5.07,"2,04,000","10,33,800.00",27,"1,88,000",92.16
CKPLEISURE,SM,2019-10-07,4.8,5.0,5.0,4.7,5.0,5.0,4.83,"2,48,000","11,96,600.00",24,"2,12,000",85.48
CKPLEISURE,SM,2019-10-09,5.0,5.0,5.5,5.0,5.5,5.45,5.28,"1,36,000","7,18,200.00",26,"1,36,000",100.00
CKPLEISURE,SM,2019-10-10,5.45,5.95,5.95,5.0,5.0,5.05,5.35,"1,44,000","7,70,600.00",24,"1,20,000",83.33
