SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CMMIPL,SM,12-10-2017,40.0,46.5,48.0,38.65,41.6,42.25,42.06,"19,98,000","8,40,27,150.00",584,"13,29,000",66.52
CMMIPL,SM,13-10-2017,42.25,40.0,45.0,40.0,42.45,42.1,42.49,"2,61,000","1,10,90,700.00",75,"1,89,000",72.41
CMMIPL,SM,16-10-2017,42.1,43.8,43.8,41.6,42.35,42.05,42.53,"1,32,000","56,13,750.00",43,"87,000",65.91
CMMIPL,SM,17-10-2017,42.05,42.9,49.5,42.7,46.9,47.1,46.9,"7,62,000","3,57,35,250.00",234,"4,89,000",64.17
CMMIPL,SM,18-10-2017,47.1,48.45,52.0,46.25,47.0,48.8,49.82,"8,13,000","4,05,00,150.00",262,"5,01,000",61.62
CMMIPL,SM,19-10-2017,48.8,48.5,50.0,48.5,49.45,49.7,49.4,"90,000","44,45,550.00",29,"57,000",63.33
CMMIPL,SM,23-10-2017,49.7,49.75,52.35,49.0,51.25,50.65,50.96,"2,28,000","1,16,19,600.00",74,"1,41,000",61.84
CMMIPL,SM,24-10-2017,50.65,51.3,52.0,46.1,47.9,47.7,50.07,"1,80,000","90,12,600.00",48,"1,47,000",81.67
CMMIPL,SM,25-10-2017,47.7,48.6,48.8,47.25,48.8,48.0,48.06,"72,000","34,60,650.00",24,"60,000",83.33
CMMIPL,SM,26-10-2017,48.0,47.5,48.0,46.05,46.05,46.3,47.06,"45,000","21,17,700.00",15,"36,000",80.0
CMMIPL,SM,27-10-2017,46.3,46.5,46.5,46.0,46.0,46.0,46.3,"15,000","6,94,500.00",5,"15,000",100.0
CMMIPL,SM,30-10-2017,46.0,44.6,46.4,44.6,45.9,45.9,45.66,"69,000","31,50,750.00",23,"45,000",65.22
CMMIPL,SM,31-10-2017,45.9,45.9,50.0,45.4,48.8,48.15,48.02,"1,47,000","70,58,400.00",48,"1,20,000",81.63
CMMIPL,SM,01-11-2017,48.15,49.5,53.3,49.5,52.4,52.4,51.68,"3,66,000","1,89,13,050.00",116,"2,55,000",69.67
CMMIPL,SM,02-11-2017,52.4,54.95,55.0,51.0,52.0,52.7,53.17,"2,70,000","1,43,56,950.00",82,"2,25,000",83.33
CMMIPL,SM,03-11-2017,52.7,52.75,54.0,51.2,53.25,53.25,52.88,"63,000","33,31,650.00",20,"51,000",80.95
CMMIPL,SM,06-11-2017,53.25,54.0,57.75,54.0,56.0,56.75,55.66,"3,84,000","2,13,74,100.00",105,"2,58,000",67.19
CMMIPL,SM,07-11-2017,56.75,58.9,61.6,56.4,57.0,57.0,58.78,"2,76,000","1,62,24,600.00",89,"2,01,000",72.83
CMMIPL,SM,08-11-2017,57.0,58.7,60.0,56.0,57.25,56.9,57.83,"1,77,000","1,02,36,150.00",54,"1,08,000",61.02
CMMIPL,SM,09-11-2017,56.9,59.5,59.5,57.1,59.0,58.9,58.19,"87,000","50,62,950.00",29,"57,000",65.52
