SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CONNPLEX,ST,2025-08-14,177.0,195.0,198.0,185.25,186.25,186.9,191.19,"26,32,800","50,33,52,160.00","1,764","25,96,800",98.63
CONNPLEX,ST,2025-08-18,186.9,186.0,186.0,177.55,180.0,178.25,179.16,533600,956.0,309, 460800,86.36
CONNPLEX,ST,2025-08-19,178.25,178.0,187.15,177.0,187.15,187.15,183.41,581600,1066.73,368, 552000,94.91
CONNPLEX,ST,2025-08-20,187.15,189.9,194.0,181.3,184.5,185.05,188.83,162400,306.65,160, 146400,90.15
CONNPLEX,ST,2025-08-21,185.05,182.0,184.0,177.0,180.0,180.0,180.11,158400,285.29,74, 154400,97.47
CONNPLEX,ST,2025-08-22,180.0,180.0,189.0,180.0,187.0,187.8,187.62,240800,451.78,254, 225600,93.69
CONNPLEX,ST,2025-08-25,187.8,185.5,195.0,185.5,194.75,194.8,190.84,263200,502.3,191, 256800,97.57
CONNPLEX,ST,2025-08-26,194.8,195.0,197.5,185.1,191.5,190.2,190.18,165600,314.93,155, 139200,84.06
CONNPLEX,ST,2025-08-28,190.2,195.0,197.95,190.0,195.8,193.45,192.5,138400,266.43,146, 132000,95.38
CONNPLEX,ST,2025-08-29,193.45,194.9,198.4,186.1,194.0,192.0,194.64,128000,249.14,141, 117600,91.88
CONNPLEX,SM,2025-09-01,192.0,198.0,207.0,195.5,206.4,205.2,202.08,604000,1220.56,556, 388800,64.37
CONNPLEX,SM,2025-09-02,205.2,210.0,213.25,200.0,205.0,205.2,205.84,318400,655.39,237, 250400,78.64
CONNPLEX,SM,2025-09-03,205.2,208.45,211.55,189.0,194.0,194.0,199.05,355200,707.03,283, 272800,76.8
CONNPLEX,SM,2025-09-04,194.0,196.0,196.0,181.0,181.25,181.9,187.29,282400,528.91,220, 212000,75.07
CONNPLEX,SM,2025-09-05,181.9,186.25,193.0,181.0,187.8,186.75,189.86,177600,337.19,106, 146400,82.43
CONNPLEX,SM,2025-09-08,186.75,184.05,189.95,181.65,182.6,182.7,184.32,56800,104.69,63, 48800,85.92
CONNPLEX,SM,2025-09-09,182.7,183.0,183.9,178.15,179.0,179.65,180.33,192000,346.24,110, 151200,78.75
CONNPLEX,SM,2025-09-10,179.65,181.45,184.9,180.0,182.0,183.6,182.33,280000,510.51,183, 128000,45.71
CONNPLEX,SM,2025-09-11,183.6,180.05,192.9,180.05,190.0,190.1,187.28,254400,476.45,203, 194400,76.42
CONNPLEX,SM,2025-09-12,190.1,191.0,199.9,190.0,197.9,197.2,196.81,192000,377.88,177, 128800,67.08
CONNPLEX,SM,2025-09-15,197.2,197.2,211.35,196.0,208.0,210.2,205.48,223200,458.62,223, 176800,79.21
CONNPLEX,SM,2025-09-16,210.2,208.15,218.0,206.0,216.0,215.75,213.58,185600,396.4,200, 126400,68.1
CONNPLEX,SM,2025-09-17,215.75,217.8,226.1,211.0,225.0,224.25,221.52,217600,482.03,221, 173600,79.78
