SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
COOLCAP-RE,ST,30-09-2025,24.1,15.0,15.0,14.5,14.5,14.5,14.65,"67,500","9,88,750.00",23,"67,500",100.0
COOLCAP-RE,ST,01-10-2025,14.5,8.7,8.7,8.7,8.7,8.7,8.7,40000,3.48,13, 40000,100.0
COOLCAP-RE,ST,03-10-2025,8.7,6.0,6.0,5.25,5.25,5.25,5.27,190000,10.01,37, 190000,100.0
COOLCAP-RE,ST,06-10-2025,5.25,4.2,4.2,4.2,4.2,4.2,4.2,92500,3.89,21, 92500,100.0
COOLCAP-RE,ST,07-10-2025,4.2,3.4,3.4,3.4,3.4,3.4,3.4,310000,10.54,49, 310000,100.0
COOLCAP-RE,ST,08-10-2025,3.4,3.1,3.1,3.1,3.1,3.1,3.1,232500,7.21,38, 232500,100.0
COOLCAP-RE,ST,09-10-2025,3.1,2.8,2.8,2.8,2.8,2.8,2.8,80000,2.24,18, 80000,100.0
COOLCAP-RE,ST,10-10-2025,2.8,2.55,2.55,2.55,2.55,2.55,2.55,122500,3.12,35, 122500,100.0
COOLCAP-RE,ST,13-10-2025,2.55,2.45,2.45,2.45,2.45,2.45,2.45,327500,8.02,37, 327500,100.0
COOLCAP-RE,ST,14-10-2025,2.45,2.35,2.35,2.35,2.35,2.35,2.35,170000,4.0,29, 170000,100.0
COOLCAP-RE,ST,15-10-2025,2.35,2.25,2.25,2.25,2.25,2.25,2.25,580000,13.05,85, 580000,100.0
COOLCAP-RE,ST,16-10-2025,2.25,2.15,2.15,2.15,2.15,2.15,2.15,820000,17.63,94, 820000, 100.00
