SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
DALMIABEL,BE,2011-01-27,266.0,190.0,227.0,150.0,220.0,220.45,210.58,"3,42,029","7,20,22,917.95",-,-,-
DALMIABEL,BE,2011-01-28,220.45,220.0,225.0,210.5,217.9,212.6,218.53,"1,93,234","4,22,27,571.50",-,-,-
DALMIABEL,BE,2011-01-31,212.6,202.0,209.95,202.0,204.0,205.3,202.88,"9,737","19,75,447.20",-,-,-
DALMIABEL,BE,2011-02-01,205.3,205.0,214.95,197.0,202.0,200.8,203.56,"8,512","17,32,716.05",-,-,-
DALMIABEL,BE,2011-02-02,200.8,192.5,204.95,190.8,197.25,195.2,194.55,"4,923","9,57,785.85",-,-,-
DALMIABEL,BE,2011-02-03,195.2,188.0,194.95,185.5,185.5,187.85,188.75,"2,004","3,78,247.35",-,-,-
DALMIABEL,BE,2011-02-04,187.85,189.95,191.0,178.5,179.9,179.9,179.97,"2,342","4,21,493.20",-,-,-
DALMIABEL,BE,2011-02-07,179.9,171.0,177.25,170.9,171.2,171.4,171.29,586,"1,00,377.30",-,-,-
DALMIABEL,BE,2011-02-08,171.4,175.0,179.9,171.0,177.8,177.2,176.18,"9,445","16,64,021.55",-,-,-
DALMIABEL,BE,2011-02-09,177.2,175.0,180.0,172.0,175.0,175.0,174.85,"2,430","4,24,882.40",-,-,-
DALMIABEL,EQ,2011-02-10,175.0,171.6,171.6,142.85,170.9,162.0,163.02,"4,639","7,56,259.30",-,"3,567",76.89
DALMIABEL,EQ,2011-02-11,162.0,135.1,173.9,135.1,166.9,165.55,163.64,"1,956","3,20,073.20",-,"1,618",82.72
DALMIABEL,EQ,2011-02-14,165.55,162.0,186.0,155.0,165.5,164.75,163.28,"4,116","6,72,062.00",-,"2,866",69.63
DALMIABEL,EQ,2011-02-15,164.75,171.0,180.0,170.0,180.0,176.6,175.95,"12,006","21,12,420.50",-,"11,469",95.53
DALMIABEL,EQ,2011-02-16,176.6,180.0,180.0,171.0,179.5,175.3,172.43,"1,232","2,12,429.60",-,957,77.68
DALMIABEL,EQ,2011-02-17,175.3,163.4,175.05,163.4,173.5,171.9,172.07,861,"1,48,149.35",-,378,43.90
DALMIABEL,EQ,2011-02-18,171.9,168.05,173.55,143.9,164.45,159.6,155.42,"1,579","2,45,413.15",-,"1,054",66.75
DALMIABEL,EQ,2011-02-21,159.6,160.0,161.0,146.75,156.95,153.65,153.07,"2,891","4,42,514.00",-,"2,174",75.20
DALMIABEL,EQ,2011-02-22,153.65,149.0,150.95,147.0,150.0,150.0,149.8,"1,031","1,54,448.05",-,966,93.70
DALMIABEL,EQ,2011-02-23,150.0,150.05,159.9,150.05,155.0,155.0,157.39,"1,939","3,05,180.75",-,"1,482",76.43
DALMIABEL,EQ,2011-02-24,155.0,150.45,155.0,150.0,155.0,155.0,151.89,603,"91,592.55",-,536,88.89
DALMIABEL,EQ,2011-02-25,155.0,154.75,164.0,150.0,160.0,160.0,156.94,"1,042","1,63,530.85",-,990,95.01
DALMIABEL,EQ,2011-02-28,160.0,164.95,166.5,153.05,166.0,163.8,157.53,"2,026","3,19,146.45",-,"1,118",55.18
DALMIABEL,EQ,2011-03-01,163.8,157.85,170.0,157.85,168.0,166.15,165.45,"7,893","13,05,914.10",-,"7,382",93.53
DALMIABEL,EQ,2011-03-03,166.15,160.25,168.8,160.25,165.0,165.0,163.15,242,"39,483.05",-,226,93.39
DALMIABEL,EQ,2011-03-04,165.0,164.0,168.75,164.0,165.0,165.1,164.67,798,"1,31,410.40",-,684,85.71
DALMIABEL,EQ,2011-03-07,165.1,160.05,166.95,141.6,166.95,165.75,158.82,933,"1,48,177.10",-,757,81.14
DALMIABEL,EQ,2011-03-08,165.75,165.0,169.1,165.0,165.05,165.25,165.08,"5,556","9,17,167.95",-,"5,309",95.55
DALMIABEL,EQ,2011-03-09,165.25,165.25,172.5,164.95,172.5,171.8,169.46,"7,797","13,21,305.05",-,"6,015",77.15
DALMIABEL,EQ,2011-03-10,171.8,170.0,181.0,170.0,180.0,180.25,179.58,"21,706","38,98,011.25",-,"20,212",93.12
DALMIABEL,EQ,2011-03-11,180.25,165.2,186.0,165.2,186.0,185.0,183.71,"24,974","45,87,878.85",-,"24,145",96.68
DALMIABEL,EQ,2011-03-14,185.0,185.0,191.0,175.3,191.0,189.95,186.43,"14,910","27,79,634.10",-,"14,486",97.16
DALMIABEL,EQ,2011-03-15,189.95,192.0,192.0,182.0,190.0,190.0,189.92,"22,009","41,79,947.85",-,"21,510",97.73
