SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
DESTINY,ST,2021-10-13,20.0,20.7,20.7,19.7,19.7,19.7,20.67,"7,38,000","1,52,53,200.00",48,"7,38,000",100.0
DESTINY,ST,2021-10-14,19.7,18.75,18.75,18.75,18.75,18.75,18.75,"24,000","4,50,000.00",4,"24,000",100.0
DESTINY,ST,2021-10-18,18.75,17.85,17.85,17.85,17.85,17.85,17.85,"1,68,000","29,98,800.00",11,"1,68,000",100.0
DESTINY,ST,2021-10-20,17.85,17.0,17.0,17.0,17.0,17.0,17.0,"12,000","2,04,000.00",2,"12,000",100.0
DESTINY,ST,2021-10-22,17.0,16.15,16.15,16.15,16.15,16.15,16.15,"12,000","1,93,800.00",2,"12,000",100.0
DESTINY,SM,2021-11-03,16.15,15.35,15.35,15.35,15.35,15.35,15.35,"6,000","92,100.00",1,"6,000",100.0
DESTINY,SM,2021-11-08,15.35,14.6,14.6,14.6,14.6,14.6,14.6,"18,000","2,62,800.00",3,"18,000",100.0
DESTINY,SM,2021-11-22,14.6,13.9,13.9,13.9,13.9,13.9,13.9,"6,000","83,400.00",1,"6,000",100.0
DESTINY,SM,2021-11-23,13.9,13.25,13.25,13.25,13.25,13.25,13.25,"6,000","79,500.00",1,"6,000",100.0
DESTINY,SM,2021-11-24,13.25,12.6,12.6,12.6,12.6,12.6,12.6,"12,000","1,51,200.00",2,"12,000",100.0
DESTINY,SM,2021-11-25,12.6,12.0,12.0,12.0,12.0,12.0,12.0,"6,000","72,000.00",1,"6,000",100.0
DESTINY,SM,2021-11-26,12.0,11.4,11.4,11.4,11.4,11.4,11.4,"30,000","3,42,000.00",5,"30,000",100.0
DESTINY,SM,2021-11-29,11.4,10.85,11.95,10.85,11.95,11.95,11.33,"1,92,000","21,76,200.00",32,"1,56,000",81.25
DESTINY,SM,2021-11-30,11.95,12.5,12.5,12.5,12.5,12.5,12.5,"24,000","3,00,000.00",4,"24,000",100.0
DESTINY,SM,2021-12-01,12.5,13.1,13.1,13.1,13.1,13.1,13.1,"6,000","78,600.00",1,"6,000",100.0
DESTINY,SM,2021-12-02,13.1,13.75,13.75,12.45,12.45,12.45,13.28,"48,000","6,37,500.00",8,"36,000",75.0
DESTINY,SM,2021-12-03,12.45,11.85,11.85,11.85,11.85,11.85,11.85,"18,000","2,13,300.00",3,"18,000",100.0
DESTINY,SM,2021-12-06,11.85,11.3,11.3,11.3,11.3,11.3,11.3,"48,000","5,42,400.00",8,"48,000",100.0
DESTINY,SM,2021-12-07,11.3,10.45,10.9,10.2,10.35,10.35,10.39,"2,52,000","26,17,200.00",33,"1,44,000",57.14
DESTINY,SM,2021-12-08,10.35,10.5,10.5,9.35,9.5,9.45,10.18,"1,56,000","15,87,900.00",17,"1,50,000",96.15
DESTINY,SM,2021-12-09,9.45,9.5,10.3,9.5,10.3,10.2,10.03,"48,000","4,81,500.00",8,"48,000",100.0
DESTINY,SM,2021-12-10,10.2,11.1,11.1,10.8,10.8,10.8,10.94,"24,000","2,62,500.00",4,"24,000",100.0
DESTINY,SM,2021-12-13,10.8,10.75,10.75,10.15,10.65,10.65,10.42,"30,000","3,12,600.00",5,"24,000",80.0
DESTINY,SM,2021-12-14,10.65,10.9,10.9,10.7,10.7,10.7,10.8,"12,000","1,29,600.00",2,"12,000",100.0
DESTINY,SM,2021-12-15,10.7,10.8,10.8,10.05,10.05,10.05,10.24,"24,000","2,45,700.00",4,"24,000",100.0
DESTINY,SM,2021-12-16,10.05,10.05,10.05,10.05,10.05,10.05,10.05,"12,000","1,20,600.00",2,"12,000",100.0
