SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
DHARIWAL,ST,2024-08-08,106.0,150.0,152.0,142.5,142.5,142.5,147.18,"8,72,400","12,84,02,460.00",514,"8,71,200",99.86
DHARIWAL,ST,2024-08-09,142.5,135.4,139.0,135.4,136.2,136.3,135.71,"7,80,000","10,58,55,360.00",385,"6,67,200",85.54
DHARIWAL,ST,2024-08-12,136.3,135.0,143.1,129.5,142.0,138.05,134.61,"3,45,600","4,65,19,620.00",179,"3,28,800",95.14
DHARIWAL,ST,2024-08-13,138.05,138.1,140.5,136.15,136.15,137.6,138.57,"64,800","89,79,240.00",50,"62,400",96.3
DHARIWAL,ST,2024-08-14,137.6,134.25,141.75,134.25,139.0,139.0,139.22,"52,800","73,50,780.00",43,"46,800",88.64
DHARIWAL,ST,2024-08-16,139.0,139.0,139.0,134.5,135.0,136.35,137.0,"45,600","62,47,020.00",30,"40,800",89.47
DHARIWAL,ST,2024-08-19,136.35,138.85,143.15,135.65,143.15,143.15,141.96,"84,000","1,19,24,460.00",48,"81,600",97.14
DHARIWAL,ST,2024-08-20,143.15,148.0,150.3,145.0,150.3,149.9,148.42,"1,52,400","2,26,19,820.00",90,"1,10,400",72.44
DHARIWAL,ST,2024-08-21,149.9,154.0,157.35,145.2,157.35,157.3,155.99,"1,93,200","3,01,36,500.00",107,"1,75,200",90.68
DHARIWAL,ST,2024-08-22,157.3,165.15,165.15,154.5,165.15,165.15,163.13,"1,27,200","2,07,50,640.00",85,"1,08,000",84.91
DHARIWAL,SM,2024-08-23,165.15,169.1,170.0,148.0,157.0,157.8,157.65,"5,22,000","8,22,94,680.00",373,"2,83,200",54.25
DHARIWAL,SM,2024-08-26,157.8,160.0,164.5,153.0,157.0,156.95,156.66,"1,29,600","2,03,02,860.00",71,"84,000",64.81
DHARIWAL,SM,2024-08-27,156.95,157.0,158.0,152.5,152.5,153.4,156.0,"72,000","1,12,32,120.00",43,"61,200",85.0
DHARIWAL,SM,2024-08-28,153.4,155.0,158.85,149.0,150.0,149.5,154.65,"1,44,000","2,22,69,060.00",104,"88,800",61.67
DHARIWAL,SM,2024-08-29,149.5,154.7,154.7,145.05,149.4,147.3,148.99,"32,400","48,27,180.00",26,"27,600",85.19
DHARIWAL,SM,2024-08-30,147.3,149.0,149.05,147.7,148.0,147.85,148.49,"10,800","16,03,740.00",9,"7,200",66.67
DHARIWAL,SM,2024-09-02,147.85,154.9,154.9,145.0,148.8,146.95,147.16,"40,800","60,04,080.00",32,"31,200",76.47
