SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
DIVINEHIRA,ST,2025-03-24,90.0,90.0,90.0,85.5,85.5,85.5,89.47,"1,88,800","1,68,91,200.00",99,"1,88,800",100.0
DIVINEHIRA,ST,2025-03-25,85.5,81.25,81.25,81.25,81.25,81.25,81.25,"3,200","2,60,000.00",2,"3,200",100.0
DIVINEHIRA,ST,2025-03-26,81.25,77.2,77.2,77.2,77.2,77.2,77.2,"6,400","4,94,080.00",4,"6,400",100.0
DIVINEHIRA,ST,2025-03-27,77.2,73.35,73.35,73.35,73.35,73.35,73.35,"1,600","1,17,360.00",1,"1,600",100.0
DIVINEHIRA,ST,2025-03-28,73.35,69.7,69.7,69.7,69.7,69.7,69.7,"4,800","3,34,560.00",3,"4,800",100.0
DIVINEHIRA,ST,2025-04-01,69.7,66.25,66.25,66.25,66.25,66.25,66.25,"1,600","1,06,000.00",1,"1,600",100.0
DIVINEHIRA,ST,2025-04-02,66.25,62.95,62.95,62.95,62.95,62.95,62.95,"6,400","4,02,880.00",4,"6,400",100.0
DIVINEHIRA,ST,2025-04-03,62.95,59.8,59.8,59.8,59.8,59.8,59.8,"1,600","95,680.00",1,"1,600",100.0
DIVINEHIRA,ST,2025-04-04,59.8,56.85,56.85,56.85,56.85,56.85,56.85,"3,200","1,81,920.00",2,"3,200",100.0
DIVINEHIRA,ST,2025-04-07,56.85,54.0,54.0,54.0,54.0,54.0,54.0,"1,600","86,400.00",1,"1,600",100.0
DIVINEHIRA,SM,2025-04-08,54.0,48.6,48.6,48.6,48.6,48.6,48.6,"8,000","3,88,800.00",5,"8,000",100.0
DIVINEHIRA,SM,2025-04-09,48.6,43.75,50.05,43.75,45.45,45.9,45.47,"9,63,200","4,37,92,720.00",519,"5,04,000",52.33
DIVINEHIRA,SM,2025-04-11,45.9,44.3,48.85,44.3,47.15,47.3,47.32,"97,600","46,18,240.00",60,"60,800",62.3
DIVINEHIRA,SM,2025-04-15,47.3,47.3,52.0,47.3,52.0,52.0,51.04,"1,02,400","52,26,240.00",49,"97,600",95.31
DIVINEHIRA,SM,2025-04-16,52.0,53.3,57.2,53.3,57.2,57.2,56.6,"1,87,200","1,05,94,880.00",99,"1,12,000",59.83
DIVINEHIRA,SM,2025-04-17,57.2,60.5,60.5,53.75,57.0,57.0,56.87,"1,37,600","78,25,120.00",82,"83,200",60.47
DIVINEHIRA,SM,2025-04-21,57.0,56.8,56.8,52.1,54.0,54.4,54.1,"2,76,800","1,49,75,840.00",105,"1,66,400",60.12
DIVINEHIRA,SM,2025-04-22,54.4,53.0,56.25,52.5,56.0,55.6,54.28,"1,74,400","94,66,560.00",81,"1,37,600",78.9
DIVINEHIRA,SM,2025-04-23,55.6,55.6,55.6,51.0,51.1,51.5,52.26,"1,29,600","67,73,280.00",56,"86,400",66.67
DIVINEHIRA,ST,2025-04-24,51.5,50.95,54.05,50.95,53.0,53.45,52.88,"62,400","32,99,840.00",34,"57,600",92.31
DIVINEHIRA,ST,2025-04-25,53.45,52.35,55.9,51.2,54.0,54.0,53.49,"48,000","25,67,280.00",27,"41,600",86.67
DIVINEHIRA,ST,2025-04-28,54.0,51.9,52.0,51.4,51.4,51.6,51.68,"14,400","7,44,240.00",9,"11,200",77.78
DIVINEHIRA,ST,2025-04-29,51.6,51.6,53.5,50.1,53.5,53.5,51.55,"17,600","9,07,360.00",11,"14,400",81.82
DIVINEHIRA,ST,2025-04-30,53.5,52.0,52.0,50.85,50.85,50.85,51.16,"11,200","5,72,960.00",7,"9,600",85.71
DIVINEHIRA,ST,2025-05-05,50.85,48.3,53.0,48.3,52.5,52.5,51.87,"52,800","27,38,560.00",31,"51,200",96.97
DIVINEHIRA,ST,2025-05-06,52.5,52.05,52.05,49.9,49.9,49.9,50.28,"19,200","9,65,280.00",12,"16,000",83.33
DIVINEHIRA,ST,2025-05-07,49.9,47.4,49.9,47.4,47.45,47.45,47.92,"16,000","7,66,720.00",10,"14,400",90.0
DIVINEHIRA,ST,2025-05-08,47.45,45.1,47.45,45.1,45.5,45.5,46.18,"12,800","5,91,040.00",8,"12,800",100.0
DIVINEHIRA,ST,2025-05-09,45.5,43.25,47.5,43.25,45.65,45.65,45.3,"22,400","10,14,640.00",14,"17,600",78.57
DIVINEHIRA,ST,2025-05-12,45.65,45.65,47.5,45.65,47.4,46.7,46.98,"12,800","6,01,360.00",8,"12,800",100.0
DIVINEHIRA,ST,2025-05-13,46.7,45.8,45.8,44.75,44.75,44.75,45.15,"8,000","3,61,200.00",5,"8,000",100.0
DIVINEHIRA,ST,2025-05-14,44.75,45.5,45.5,44.0,44.4,44.4,44.29,"14,400","6,37,760.00",9,"14,400",100.0
DIVINEHIRA,ST,2025-05-15,44.4,44.4,44.4,44.0,44.15,44.15,44.12,"12,800","5,64,720.00",8,"12,800",100.0
DIVINEHIRA,ST,2025-05-16,44.15,44.15,45.0,44.15,44.9,44.9,44.55,"6,400","2,85,120.00",4,"6,400",100.0
DIVINEHIRA,ST,2025-05-19,44.9,44.9,44.9,43.0,44.0,44.0,43.53,"20,800","9,05,520.00",13,"17,600",84.62
DIVINEHIRA,ST,2025-05-20,44.0,43.0,45.8,43.0,45.8,44.7,44.26,"22,400","9,91,360.00",14,"22,400",100.0
DIVINEHIRA,ST,2025-05-21,44.7,44.0,44.65,44.0,44.65,44.65,44.39,"6,400","2,84,080.00",4,"6,400",100.0
DIVINEHIRA,ST,2025-05-22,44.65,44.65,44.65,44.25,44.25,44.25,44.45,"3,200","1,42,240.00",2,"3,200",100.0
DIVINEHIRA,ST,2025-05-23,44.25,44.65,44.65,43.0,44.0,44.0,43.63,"17,600","7,67,840.00",11,"16,000",90.91
DIVINEHIRA,ST,2025-05-26,44.0,44.0,45.35,44.0,45.3,45.3,44.94,"14,400","6,47,200.00",9,"14,400",100.0
DIVINEHIRA,ST,2025-05-27,45.3,45.2,46.35,43.5,46.35,45.05,44.56,"16,000","7,12,880.00",10,"14,400",90.0
DIVINEHIRA,ST,2025-05-28,45.05,44.95,47.3,44.95,47.3,46.8,46.64,"27,200","12,68,720.00",16,"27,200",100.0
DIVINEHIRA,ST,2025-05-29,46.8,45.35,49.1,45.0,49.1,49.1,48.49,"49,600","24,04,960.00",29,"46,400",93.55
DIVINEHIRA,ST,2025-05-30,49.1,49.1,51.55,49.1,51.55,51.55,50.93,"27,200","13,85,280.00",14,"27,200",100.0
DIVINEHIRA,ST,2025-06-02,51.55,50.15,54.1,50.15,54.1,54.1,53.12,"32,000","16,99,680.00",20,"27,200",85.0
DIVINEHIRA,ST,2025-06-03,54.1,54.0,55.15,54.0,54.9,54.9,55.0,"19,200","10,56,000.00",10,"19,200",100.0
DIVINEHIRA,ST,2025-06-04,54.9,55.0,55.0,54.65,54.65,54.65,54.8,"9,600","5,26,080.00",6,"9,600",100.0
DIVINEHIRA,ST,2025-06-05,54.65,54.5,54.5,54.15,54.15,54.15,54.38,"9,600","5,22,000.00",6,"9,600",100.0
DIVINEHIRA,ST,2025-06-06,54.15,54.15,54.15,54.15,54.15,54.15,54.15,"1,600","86,640.00",1,"1,600",100.0
