SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
DRL,SM,2016-10-18,40.0,43.0,43.0,38.8,42.0,41.25,41.19,"1,86,000","76,60,800.00",62,"1,74,000",93.55
DRL,SM,2016-10-19,41.25,41.85,41.9,41.85,41.9,41.9,41.88,"6,000","2,51,250.00",2,"6,000",100.0
DRL,SM,2016-10-20,41.9,41.0,41.7,41.0,41.6,41.6,41.43,"18,000","7,45,800.00",6,"18,000",100.0
DRL,SM,2016-10-21,41.6,42.0,42.0,41.0,41.0,41.0,41.33,"9,000","3,72,000.00",3,"9,000",100.0
DRL,SM,2016-10-24,41.0,41.0,41.0,41.0,41.0,41.0,41.0,"3,000","1,23,000.00",1,"3,000",100.0
DRL,SM,2016-10-26,41.0,40.25,40.5,40.25,40.5,40.5,40.38,"6,000","2,42,250.00",2,"3,000",50.0
DRL,SM,2016-10-27,40.5,40.5,40.5,40.5,40.5,40.5,40.5,"6,000","2,43,000.00",2,"6,000",100.0
DRL,SM,2016-10-28,40.5,40.5,40.5,40.5,40.5,40.5,40.5,"15,000","6,07,500.00",3,"15,000",100.0
DRL,SM,2016-10-30,40.5,40.5,40.5,40.5,40.5,40.5,40.5,"3,000","1,21,500.00",1,"3,000",100.0
DRL,SM,2016-11-01,40.5,40.25,40.25,40.0,40.0,40.0,40.05,"15,000","6,00,750.00",5,"15,000",100.0
DRL,SM,2016-11-02,40.0,40.0,40.0,40.0,40.0,40.0,40.0,"9,000","3,60,000.00",2,"9,000",100.0
DRL,SM,2016-11-04,40.0,39.0,40.35,39.0,40.35,40.35,39.68,"6,000","2,38,050.00",2,"6,000",100.0
DRL,SM,2016-11-08,40.35,39.05,39.05,39.05,39.05,39.05,39.05,"3,000","1,17,150.00",1,"3,000",100.0
DRL,SM,2016-11-09,39.05,36.5,37.0,36.5,37.0,37.0,36.75,"6,000","2,20,500.00",2,"6,000",100.0
DRL,SM,2016-11-10,37.0,37.0,37.0,37.0,37.0,37.0,37.0,"3,000","1,11,000.00",1,"3,000",100.0
DRL,SM,2016-11-11,37.0,37.0,37.0,37.0,37.0,37.0,37.0,"3,000","1,11,000.00",1,"3,000",100.0
DRL,SM,2016-11-15,37.0,36.75,36.75,36.75,36.75,36.75,36.75,"3,000","1,10,250.00",1,"3,000",100.0
DRL,SM,2016-11-18,36.75,36.9,42.0,36.9,42.0,42.0,39.26,"24,000","9,42,150.00",6,"24,000",100.0
DRL,SM,2016-11-29,42.0,40.2,40.2,40.2,40.2,40.2,40.2,"3,000","1,20,600.00",1,"3,000",100.0
DRL,SM,2016-11-30,40.2,39.2,39.2,39.2,39.2,39.2,39.2,"3,000","1,17,600.00",1,"3,000",100.0
DRL,SM,2016-12-02,39.2,38.0,40.2,38.0,40.2,40.2,39.1,"6,000","2,34,600.00",2,"6,000",100.0
DRL,SM,2016-12-05,40.2,40.0,40.0,40.0,40.0,40.0,40.0,"36,000","14,40,000.00",5,"36,000",100.0
DRL,SM,2016-12-06,40.0,40.0,40.0,40.0,40.0,40.0,40.0,"39,000","15,60,000.00",13,"39,000",100.0
DRL,SM,2016-12-13,40.0,40.0,40.0,40.0,40.0,40.0,40.0,"3,000","1,20,000.00",1,"3,000",100.0
DRL,SM,2016-12-29,40.0,37.5,37.5,37.5,37.5,37.5,37.5,"6,000","2,25,000.00",2,"3,000",50.0
DRL,SM,2017-01-04,37.5,37.5,37.5,37.5,37.5,37.5,37.5,"3,000","1,12,500.00",1,"3,000",100.0
DRL,SM,2017-01-19,37.5,38.45,42.25,38.45,40.9,40.35,40.39,"33,000","13,32,900.00",11,"24,000",72.73
DRL,SM,2017-01-20,40.35,40.25,41.4,40.0,40.0,40.0,40.38,"15,000","6,05,700.00",5,"15,000",100.0
DRL,SM,2017-01-23,40.0,40.0,40.0,40.0,40.0,40.0,40.0,"6,000","2,40,000.00",2,"6,000",100.0
DRL,SM,2017-01-24,40.0,42.85,42.9,40.15,40.9,40.9,41.9,"15,000","6,28,500.00",5,"9,000",60.0
DRL,SM,2017-01-27,40.9,43.25,43.25,43.25,43.25,43.25,43.25,"3,000","1,29,750.00",1,"3,000",100.0
DRL,SM,2017-01-30,43.25,40.5,40.5,40.5,40.5,40.5,40.5,"3,000","1,21,500.00",1,"3,000",100.0
DRL,SM,2017-02-07,40.5,40.0,40.0,40.0,40.0,40.0,40.0,"3,000","1,20,000.00",1,"3,000",100.0
DRL,SM,2017-02-10,40.0,40.0,40.0,40.0,40.0,40.0,40.0,"3,000","1,20,000.00",1,"3,000",100.0
DRL,SM,2017-02-17,40.0,40.5,40.5,40.5,40.5,40.5,40.5,"69,000","27,94,500.00",5,"69,000",100.0
DRL,SM,2017-02-20,40.5,41.0,41.8,41.0,41.8,41.8,41.4,"6,000","2,48,400.00",2,"6,000",100.0
DRL,SM,2017-02-21,41.8,42.0,42.0,42.0,42.0,42.0,42.0,"6,000","2,52,000.00",2,"6,000",100.0
