SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
DSKULKARNI,EQ,01-01-1996,10.50,10.5,10.55,10.5,-,10.55,10.55,"1,500","15,820.00",-,-,-
DSKULKARNI,EQ,02-01-1996,10.55,10.55,10.7,10.5,-,10.7,10.52,"6,600","69,440.00",-,-,-
DSKULKARNI,EQ,03-01-1996,10.70,10.5,10.5,10.5,-,10.5,10.5,"1,000","10,500.00",-,-,-
DSKULKARNI,EQ,04-01-1996,10.50,10.7,10.7,10.5,-,10.5,10.55,"1,400","14,775.00",-,-,-
DSKULKARNI,EQ,05-01-1996,10.50,10.5,10.5,10.5,-,10.5,10.5,200,"2,100.00",-,-,-
DSKULKARNI,EQ,08-01-1996,10.50,10.75,10.75,10.5,-,10.5,10.56,"1,400","14,780.00",-,-,-
DSKULKARNI,EQ,09-01-1996,10.50,10.5,10.9,10.5,-,10.5,10.51,"7,300","76,690.00",-,-,-
DSKULKARNI,EQ,10-01-1996,10.50,10.5,10.75,10.5,-,10.75,10.52,"1,100","11,575.00",-,-,-
DSKULKARNI,EQ,11-01-1996,10.75,10.7,10.7,10.0,-,10.5,10.38,"2,400","24,910.00",-,-,-
DSKULKARNI,EQ,12-01-1996,10.50,10.6,10.6,10.0,-,10.0,10.36,"1,700","17,610.00",-,-,-
DSKULKARNI,EQ,15-01-1996,10.00,10.1,10.25,10.1,-,10.1,10.11,"1,100","11,125.00",-,-,-
DSKULKARNI,EQ,16-01-1996,10.10,10.1,10.1,10.0,-,10.0,10.04,"1,700","17,070.00",-,-,-
DSKULKARNI,EQ,17-01-1996,10.00,9.9,9.9,9.9,-,9.9,9.9,100,990.00,-,-,-
DSKULKARNI,EQ,18-01-1996,9.90,10.25,10.25,10.05,-,10.05,10.14,"1,200","12,170.00",-,-,-
DSKULKARNI,EQ,19-01-1996,10.05,10.1,10.1,10.0,-,10.0,10.01,"1,400","14,020.00",-,-,-
DSKULKARNI,EQ,22-01-1996,10.00,9.9,10.2,9.5,-,9.75,9.85,"3,200","31,505.00",-,-,-
DSKULKARNI,EQ,23-01-1996,9.75,10.0,10.0,9.5,-,9.5,9.92,600,"5,950.00",-,-,-
DSKULKARNI,EQ,24-01-1996,9.50,10.0,10.25,9.25,-,9.25,9.87,"3,200","31,575.00",-,-,-
DSKULKARNI,EQ,25-01-1996,9.25,9.25,9.45,9.25,-,9.45,9.35,600,"5,610.00",-,-,-
DSKULKARNI,EQ,01-02-1996,9.45,8.5,9.2,8.5,-,9.2,8.7,700,"6,090.00",-,-,-
DSKULKARNI,EQ,02-02-1996,9.20,9.75,9.75,9.75,-,9.75,9.75,200,"1,950.00",-,-,-
DSKULKARNI,EQ,05-02-1996,9.75,9.5,9.5,9.5,-,9.5,9.5,500,"4,750.00",-,-,-
DSKULKARNI,EQ,06-02-1996,9.50,9.5,10.0,9.5,-,10.0,9.83,"1,500","14,750.00",-,-,-
DSKULKARNI,EQ,07-02-1996,10.00,9.2,10.0,9.2,-,10.0,9.33,600,"5,600.00",-,-,-
DSKULKARNI,EQ,08-02-1996,10.00,9.6,9.6,9.6,-,9.6,9.6,500,"4,800.00",-,-,-
DSKULKARNI,EQ,09-02-1996,9.60,10.5,10.5,10.5,-,10.5,10.5,500,"5,250.00",-,-,-
DSKULKARNI,EQ,12-02-1996,10.50,10.55,10.95,10.0,-,10.0,10.39,800,"8,310.00",-,-,-
DSKULKARNI,EQ,13-02-1996,10.00,10.0,10.25,9.0,-,10.0,9.52,"1,600","15,225.00",-,-,-
DSKULKARNI,EQ,15-02-1996,10.00,10.25,10.25,10.0,-,10.0,10.04,600,"6,025.00",-,-,-
DSKULKARNI,EQ,16-02-1996,10.00,10.25,10.25,10.25,-,10.25,10.25,100,"1,025.00",-,-,-
DSKULKARNI,EQ,22-02-1996,10.25,10.0,10.0,10.0,-,10.0,10.0,200,"2,000.00",-,-,-
DSKULKARNI,EQ,27-02-1996,10.00,9.5,9.5,9.25,-,9.25,9.38,200,"1,875.00",-,-,-
DSKULKARNI,EQ,28-02-1996,9.25,9.25,9.25,9.25,-,9.25,9.25,"1,400","12,950.00",-,-,-
DSKULKARNI,EQ,04-03-1996,9.25,9.1,9.95,9.1,-,9.95,9.78,500,"4,890.00",-,-,-
DSKULKARNI,EQ,08-03-1996,9.95,9.25,9.25,9.25,-,9.25,9.25,200,"1,850.00",-,-,-
DSKULKARNI,EQ,11-03-1996,9.25,8.3,8.3,8.3,-,8.3,8.3,200,"1,660.00",-,-,-
DSKULKARNI,EQ,12-03-1996,8.30,8.75,8.75,8.5,-,8.5,8.65,500,"4,325.00",-,-,-
DSKULKARNI,EQ,15-03-1996,8.50,8.5,8.5,8.5,-,8.5,8.5,200,"1,700.00",-,-,-
DSKULKARNI,EQ,18-03-1996,8.50,8.5,8.5,8.5,-,8.5,8.5,100,850.00,-,-,-
DSKULKARNI,EQ,21-03-1996,8.50,8.55,8.55,8.55,-,8.55,8.55,200,"1,710.00",-,-,-
DSKULKARNI,EQ,22-03-1996,8.55,8.5,8.5,8.5,-,8.5,8.5,500,"4,250.00",-,-,-
DSKULKARNI,EQ,25-03-1996,8.50,8.4,8.4,8.4,-,8.4,8.4,500,"4,200.00",-,-,-
DSKULKARNI,EQ,26-03-1996,8.40,8.5,8.5,8.3,-,8.3,8.43,600,"5,060.00",-,-,-
DSKULKARNI,EQ,29-03-1996,8.30,8.25,8.75,8.05,-,8.65,8.47,"3,100","26,270.00",-,-,-
DSKULKARNI,EQ,02-04-1996,8.65,8.75,8.75,8.75,-,8.75,8.75,300,"2,625.00",-,-,-
DSKULKARNI,EQ,09-04-1996,8.75,9.5,9.5,9.5,-,9.5,9.5,"2,800","26,600.00",-,-,-
DSKULKARNI,EQ,10-04-1996,9.50,9.6,9.95,9.6,-,9.95,9.77,"1,000","9,765.00",-,-,-
DSKULKARNI,EQ,11-04-1996,9.95,9.25,9.3,9.25,-,9.3,9.26,700,"6,485.00",-,-,-
DSKULKARNI,EQ,12-04-1996,9.30,9.35,9.5,9.35,-,9.5,9.38,600,"5,625.00",-,-,-
DSKULKARNI,EQ,16-04-1996,9.50,9.0,9.5,9.0,-,9.5,9.25,"2,000","18,500.00",-,-,-
DSKULKARNI,EQ,18-04-1996,9.50,10.0,10.0,10.0,-,10.0,10.0,"1,000","10,000.00",-,-,-
DSKULKARNI,EQ,19-04-1996,10.00,10.0,10.0,10.0,-,10.0,10.0,"1,800","18,000.00",-,-,-
DSKULKARNI,EQ,22-04-1996,10.00,10.0,10.0,9.7,-,9.7,9.8,300,"2,940.00",-,-,-
DSKULKARNI,EQ,23-04-1996,9.70,9.5,9.9,9.5,-,9.9,9.77,300,"2,930.00",-,-,-
DSKULKARNI,EQ,24-04-1996,9.90,9.9,9.9,9.9,-,9.9,9.9,500,"4,950.00",-,-,-
DSKULKARNI,EQ,25-04-1996,9.90,9.9,9.3,9.3,-,9.3,9.3,500,"4,650.00",-,-,-
DSKULKARNI,EQ,26-04-1996,9.30,9.6,9.6,9.6,-,9.6,9.6,"1,000","9,600.00",-,-,-
DSKULKARNI,EQ,30-04-1996,9.60,9.0,9.0,9.0,-,9.0,9.0,500,"4,500.00",-,-,-
