SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
EBBETF0423,EQ,2020-01-02,"1,000.76","1,000.00","1,001.85","1,000.00","1,000.98","1,000.97","1,000.92","10,945","1,09,55,120.44",819,"8,845",80.81
EBBETF0423,EQ,2020-01-03,"1,000.97","1,000.00","1,001.50","1,000.00","1,001.40","1,001.41","1,001.37","10,037","1,00,50,726.84",377,"9,506",94.71
EBBETF0423,EQ,2020-01-06,"1,001.41","1,001.41","1,004.00","1,001.00","1,001.15","1,001.18","1,001.50","8,696","87,09,033.88",260,"8,249",94.86
EBBETF0423,EQ,2020-01-07,"1,001.18","1,001.00","1,002.50","1,001.00","1,001.70","1,002.01","1,002.10","27,134","2,71,91,095.40",206,"26,442",97.45
EBBETF0423,EQ,2020-01-08,"1,002.01","1,000.70","1,002.20","1,000.70","1,002.20","1,001.81","1,001.96","40,767","4,08,47,060.20",187,"40,239",98.7
EBBETF0423,EQ,2020-01-09,"1,001.81","1,001.60","1,002.49","1,001.43","1,001.80","1,002.25","1,001.59","12,338","1,23,57,665.53",138,"11,552",93.63
EBBETF0423,EQ,2020-01-10,"1,002.25","1,000.00","1,002.10","1,000.00","1,001.62","1,001.62","1,001.81","13,086","1,31,09,700.59",200,"11,801",90.18
EBBETF0423,EQ,2020-01-13,"1,001.62","1,002.00","1,002.40","1,001.44","1,002.39","1,002.26","1,002.04","6,024","60,36,264.19",201,"4,442",73.74
EBBETF0423,EQ,2020-01-14,"1,002.26",953.65,"1,002.00",953.65,"1,001.99","1,001.56","1,001.47","2,916","29,20,282.59",151,"2,406",82.51
EBBETF0423,EQ,2020-01-15,"1,001.56","1,002.00","1,003.00","1,000.85","1,001.60","1,001.66","1,002.00","29,145","2,92,03,219.23",141,"28,846",98.97
EBBETF0423,EQ,2020-01-16,"1,001.66","1,001.00","1,002.39","1,001.00","1,001.53","1,001.53","1,002.06","5,161","51,71,641.53",275,"4,183",81.05
EBBETF0423,EQ,2020-01-17,"1,001.53","1,001.45","1,002.00","1,001.40","1,002.00","1,001.96","1,001.66","2,128","21,31,532.70",129,"1,741",81.81
EBBETF0423,EQ,2020-01-20,"1,001.96","1,002.00","1,002.88","1,002.00","1,002.10","1,002.26","1,002.71","8,872","88,96,035.21",139,"7,619",85.88
EBBETF0423,EQ,2020-01-21,"1,002.26","1,003.40","1,003.75","1,003.10","1,003.74","1,003.73","1,003.32","26,080","2,61,66,614.14",202,"23,964",91.89
