SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ECEIND,EQ,24-09-2007,589.0,699.0,728.95,602.0,620.0,637.85,677.74,"8,682","58,84,152.05",-,"2,354",27.11
ECEIND,EQ,25-09-2007,637.85,634.4,660.0,602.3,645.0,644.2,635.11,"2,179","13,83,913.55",-,"1,135",52.09
ECEIND,EQ,26-09-2007,644.2,632.0,654.0,632.0,654.0,644.85,641.59,354,"2,27,124.10",-,253,71.47
ECEIND,EQ,27-09-2007,644.85,674.0,674.0,635.0,651.0,655.35,658.93,"1,623","10,69,449.40",-,"1,477",91.0
ECEIND,EQ,28-09-2007,655.35,655.0,692.0,610.05,675.0,674.6,681.2,"1,690","11,51,236.10",-,"1,505",89.05
ECEIND,EQ,01-10-2007,674.6,621.0,674.0,621.0,650.0,655.3,664.58,713,"4,73,842.80",-,579,81.21
ECEIND,EQ,03-10-2007,655.3,645.0,667.0,618.05,620.25,620.25,635.64,190,"1,20,771.85",-,82,43.16
ECEIND,EQ,04-10-2007,620.25,602.2,640.0,602.0,628.0,628.0,614.7,194,"1,19,251.40",-,174,89.69
ECEIND,EQ,05-10-2007,628.0,685.0,685.0,597.0,620.0,620.2,644.01,171,"1,10,126.25",-,137,80.12
ECEIND,EQ,08-10-2007,620.2,650.0,650.0,590.0,590.0,602.65,608.25,149,"90,629.50",-,143,95.97
ECEIND,EQ,09-10-2007,602.65,590.0,600.0,565.0,565.0,579.05,585.22,810,"4,74,024.50",-,665,82.1
ECEIND,EQ,10-10-2007,579.05,575.0,610.0,575.0,588.0,599.65,591.88,714,"4,22,601.40",-,546,76.47
ECEIND,EQ,11-10-2007,599.65,575.1,590.0,575.05,590.0,590.0,581.29,20,"11,625.75",-,15,75.0
ECEIND,EQ,12-10-2007,590.0,590.0,625.0,584.0,584.0,588.5,600.24,"1,897","11,38,649.50",-,"1,091",57.51
ECEIND,EQ,15-10-2007,588.5,583.0,590.0,583.0,587.0,587.0,584.15,65,"37,970.00",-,65,100.0
ECEIND,EQ,16-10-2007,587.0,595.0,595.0,575.0,582.0,582.0,586.88,298,"1,74,890.95",-,197,66.11
ECEIND,EQ,17-10-2007,582.0,575.0,590.0,550.0,580.0,580.0,588.33,563,"3,31,230.00",-,562,99.82
ECEIND,EQ,18-10-2007,580.0,599.0,608.0,582.0,582.0,586.55,595.96,512,"3,05,132.00",-,402,78.52
ECEIND,EQ,19-10-2007,586.55,622.95,623.0,572.0,590.0,591.6,585.2,398,"2,32,908.90",-,190,47.74
ECEIND,EQ,22-10-2007,591.6,610.0,709.95,610.0,706.0,703.4,693.73,"9,938","68,94,322.75",-,"6,785",68.27
ECEIND,EQ,23-10-2007,703.4,775.0,778.0,715.0,732.0,737.25,746.91,"10,291","76,86,416.10",-,"4,777",46.42
ECEIND,EQ,24-10-2007,737.25,740.0,779.95,725.1,740.05,739.35,748.83,"3,664","27,43,696.15",-,"2,257",61.6
ECEIND,EQ,25-10-2007,739.35,745.0,825.0,745.0,800.0,805.2,803.64,"12,834","1,03,13,890.10",-,"8,615",67.13
ECEIND,EQ,26-10-2007,805.2,850.0,860.0,801.2,823.0,820.3,839.66,"10,873","91,29,596.00",-,"6,887",63.34
ECEIND,EQ,29-10-2007,820.3,845.0,919.9,830.0,894.0,885.65,869.2,"12,107","1,05,23,456.90",-,"7,509",62.02
ECEIND,EQ,30-10-2007,885.65,889.9,889.9,835.0,840.0,842.35,861.23,"3,700","31,86,568.45",-,"2,953",79.81
ECEIND,EQ,31-10-2007,842.35,752.0,874.9,752.0,848.0,841.35,830.63,"1,478","12,27,668.00",-,563,38.09
ECEIND,EQ,01-11-2007,841.35,849.0,850.0,765.0,800.0,798.5,812.1,782,"6,35,059.05",-,544,69.57
ECEIND,EQ,02-11-2007,798.5,666.0,804.9,666.0,800.0,795.7,770.22,"1,798","13,84,858.60",-,872,48.5
ECEIND,EQ,05-11-2007,795.7,824.0,825.0,780.0,780.0,794.9,814.7,"1,102","8,97,804.05",-,748,67.88
ECEIND,EQ,06-11-2007,794.9,818.95,818.95,760.0,760.0,780.25,794.02,"1,194","9,48,056.70",-,882,73.87
ECEIND,EQ,07-11-2007,780.25,766.0,788.9,741.0,754.0,767.1,758.14,"1,323","10,03,020.50",-,895,67.65
ECEIND,EQ,08-11-2007,767.1,757.95,770.0,740.0,741.0,743.05,750.35,625,"4,68,969.85",-,432,69.12
ECEIND,EQ,09-11-2007,743.05,790.0,790.0,756.0,756.0,759.95,761.91,392,"2,98,669.05",-,347,88.52
