SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ERACONS,EQ,2006-03-29,292.3,310.0,311.2,287.0,291.0,292.8,299.75,"3,49,685","10,48,17,328.80",-,"84,621",24.2
ERACONS,EQ,2006-03-30,292.8,294.4,303.0,293.0,302.0,298.85,296.9,"53,422","1,58,61,162.05",-,"17,589",32.92
ERACONS,EQ,2006-03-31,298.85,297.0,299.0,293.0,294.95,294.85,295.9,"30,025","88,84,502.55",-,"14,971",49.86
ERACONS,EQ,2006-04-03,294.85,297.55,300.85,292.0,294.0,294.65,296.02,"55,679","1,64,81,919.85",-,"40,401",72.56
ERACONS,EQ,2006-04-04,294.65,297.75,299.0,285.15,293.5,291.7,291.88,"57,552","1,67,98,101.65",-,"32,309",56.14
ERACONS,EQ,2006-04-05,291.7,294.65,306.3,294.2,306.3,306.3,301.73,"1,12,892","3,40,62,416.65",-,"83,159",73.66
ERACONS,EQ,2006-04-07,306.3,314.8,321.65,298.0,320.15,318.1,315.82,"4,14,634","13,09,49,036.65",-,"1,94,315",46.86
ERACONS,EQ,2006-04-10,318.1,325.0,334.05,321.0,334.05,334.05,327.34,"1,35,041","4,42,04,776.70",-,"64,916",48.07
ERACONS,EQ,2006-04-12,334.05,347.0,350.75,338.0,350.75,350.75,347.41,"1,11,600","3,87,71,388.55",-,"46,208",41.41
ERACONS,EQ,2006-04-13,350.75,366.7,366.7,333.25,340.0,341.45,349.85,"5,96,192","20,85,76,066.90",-,"2,06,607",34.65
ERACONS,EQ,2006-04-17,341.45,336.0,358.55,334.0,358.55,358.55,355.3,"44,116","1,56,74,315.45",-,"21,291",48.26
ERACONS,EQ,2006-04-18,358.55,374.4,376.5,360.0,376.5,376.5,375.77,"2,88,909","10,85,61,919.40",-,"87,430",30.26
ERACONS,EQ,2006-04-19,376.5,390.0,395.35,384.0,395.35,395.05,392.04,"3,82,771","15,00,61,512.30",-,"1,44,890",37.85
ERACONS,EQ,2006-04-20,395.05,403.6,414.8,394.25,400.0,400.5,408.98,"9,14,517","37,40,20,155.15",-,"4,98,179",54.47
ERACONS,EQ,2006-04-21,400.5,402.3,420.55,390.0,420.55,419.6,407.8,"5,51,865","22,50,52,459.45",-,"1,49,475",27.09
ERACONS,EQ,2006-04-24,419.6,423.5,440.6,422.0,440.6,440.6,436.48,"2,08,792","9,11,34,136.80",-,"1,06,024",50.78
ERACONS,EQ,2006-04-25,440.6,451.6,462.65,448.0,462.65,462.6,460.98,"4,24,625","19,57,44,460.85",-,"1,40,333",33.05
ERACONS,EQ,2006-04-26,462.6,472.6,485.75,470.1,485.75,485.75,482.94,"3,48,958","16,85,24,174.60",-,"1,26,239",36.18
ERACONS,EQ,2006-04-27,485.75,504.0,510.0,465.3,474.35,476.6,494.29,"5,51,088","27,23,99,952.60",-,"2,34,204",42.5
ERACONS,EQ,2006-04-28,476.6,460.0,480.0,452.9,468.0,468.15,466.35,"5,83,001","27,18,83,263.40",-,"2,16,507",37.14
ERACONS,EQ,2006-04-29,468.15,473.05,491.6,473.05,491.6,491.6,488.82,"1,09,802","5,36,73,404.35",-,"60,231",54.85
ERACONS,EQ,2006-05-02,491.6,516.0,516.2,507.1,516.2,516.2,515.51,"4,26,841","22,00,42,554.10",-,"2,12,205",49.72
ERACONS,EQ,2006-05-03,516.2,541.85,542.0,505.0,526.05,524.65,528.51,"6,30,685","33,33,24,640.90",-,"2,92,164",46.32
ERACONS,EQ,2006-05-04,524.65,529.9,535.0,512.1,518.0,518.65,525.18,"2,64,569","13,89,47,630.05",-,"1,04,486",39.49
ERACONS,EQ,2006-05-05,518.65,523.85,524.4,493.0,497.55,500.15,501.54,"4,81,507","24,14,96,867.15",-,"1,62,363",33.72
ERACONS,EQ,2006-05-08,500.15,520.0,520.0,492.0,497.75,500.05,504.06,"3,71,112","18,70,61,715.50",-,"1,88,942",50.91
ERACONS,EQ,2006-05-09,500.05,502.0,502.0,481.0,481.0,484.75,487.88,"2,30,098","11,22,60,777.70",-,"1,33,141",57.86
ERACONS,EQ,2006-05-10,484.75,485.0,487.0,470.25,477.0,477.4,477.93,"1,96,349","9,38,42,040.80",-,"84,764",43.17
ERACONS,EQ,2006-05-11,477.4,480.0,501.3,454.05,501.3,501.3,498.7,"6,96,047","34,71,18,844.70",-,"3,18,882",45.81
ERACONS,EQ,2006-05-12,501.3,510.0,526.4,491.1,508.2,509.3,516.59,"8,75,213","45,21,26,682.45",-,"2,63,657",30.12
ERACONS,EQ,2006-05-15,509.3,515.0,534.8,484.25,486.0,491.1,517.97,"7,06,650","36,60,21,346.55",-,"2,64,787",37.47
