SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ESTL,EQ,13-06-2005,10.0,45.0,66.9,45.0,53.4,53.95,57.94,"67,08,603","38,87,00,249.85",-,"17,79,224",26.52
ESTL,EQ,14-06-2005,53.95,53.25,54.9,51.05,53.8,54.25,53.47,"73,89,928","39,51,57,178.70",-,"10,51,900",14.23
ESTL,EQ,15-06-2005,54.25,54.25,61.35,53.8,59.9,60.15,58.8,"1,28,22,370","75,39,25,447.35",-,"15,98,872",12.47
ESTL,EQ,16-06-2005,60.15,60.0,60.9,55.85,56.0,56.15,58.24,"46,84,222","27,27,88,646.45",-,"8,42,005",17.98
ESTL,EQ,17-06-2005,56.15,56.3,56.4,54.0,54.55,54.7,55.03,"24,51,302","13,49,07,092.80",-,"5,00,205",20.41
ESTL,EQ,20-06-2005,54.7,55.15,55.85,53.3,54.6,54.55,54.44,"16,74,631","9,11,70,117.55",-,"4,53,628",27.09
ESTL,EQ,21-06-2005,54.55,54.7,55.45,54.4,54.9,54.8,54.91,"13,94,019","7,65,45,462.70",-,"3,61,484",25.93
ESTL,EQ,22-06-2005,54.8,55.0,55.9,53.6,53.8,53.85,55.01,"23,36,604","12,85,32,222.50",-,"4,31,350",18.46
ESTL,EQ,23-06-2005,53.85,54.25,55.2,53.55,53.85,54.05,54.41,"14,49,019","7,88,47,340.65",-,"3,17,603",21.92
ESTL,EQ,24-06-2005,54.05,53.8,54.25,52.0,52.4,52.75,53.48,"9,06,884","4,85,01,385.80",-,"3,55,021",39.15
ESTL,EQ,27-06-2005,52.75,53.0,53.0,49.65,49.85,50.2,51.5,"9,48,010","4,88,27,141.30",-,"5,13,003",54.11
ESTL,EQ,28-06-2005,50.2,49.1,50.25,46.2,46.4,46.7,47.92,"11,34,062","5,43,45,990.80",-,"5,00,189",44.11
ESTL,EQ,29-06-2005,46.7,46.6,47.4,45.25,46.1,46.0,46.34,"13,39,898","6,20,89,926.40",-,"3,59,075",26.8
ESTL,EQ,30-06-2005,46.0,46.05,46.4,44.6,44.8,44.85,45.5,"7,23,802","3,29,31,301.00",-,"2,48,179",34.29
ESTL,EQ,01-07-2005,44.85,44.75,49.5,44.1,47.25,47.5,47.21,"25,59,267","12,08,10,276.30",-,"5,44,901",21.29
ESTL,EQ,04-07-2005,47.5,47.0,48.2,46.2,46.6,46.5,47.15,"10,76,013","5,07,28,880.40",-,"4,32,525",40.2
ESTL,EQ,05-07-2005,46.5,46.85,47.9,46.25,46.75,46.6,47.0,"10,77,418","5,06,36,604.60",-,"3,25,665",30.23
ESTL,EQ,06-07-2005,46.6,47.5,51.8,47.0,51.2,51.25,50.19,"40,51,735","20,33,66,170.30",-,"9,76,301",24.1
ESTL,EQ,07-07-2005,51.25,51.5,53.75,49.15,50.05,49.85,51.72,"31,71,792","16,40,34,733.55",-,"11,06,395",34.88
ESTL,EQ,08-07-2005,49.85,50.9,52.65,50.5,51.85,51.9,51.93,"19,01,403","9,87,49,329.65",-,"5,13,793",27.02
ESTL,EQ,11-07-2005,51.9,52.5,56.0,52.4,52.5,52.55,53.47,"23,44,003","12,53,39,001.95",-,"7,13,118",30.42
ESTL,EQ,12-07-2005,52.55,53.1,53.55,49.35,50.4,50.2,50.75,"11,01,012","5,58,81,477.70",-,"4,76,799",43.31
ESTL,EQ,13-07-2005,50.2,50.1,51.9,49.8,50.4,50.45,50.69,"10,34,112","5,24,15,349.35",-,"3,75,013",36.26
ESTL,EQ,14-07-2005,50.45,50.9,51.4,49.1,49.1,49.75,50.41,"7,02,312","3,54,00,051.75",-,"2,48,526",35.39
ESTL,EQ,15-07-2005,49.75,49.8,50.5,49.0,49.9,49.75,49.82,"8,60,026","4,28,42,713.95",-,"2,75,387",32.02
ESTL,EQ,18-07-2005,49.75,49.1,51.05,48.5,50.45,50.6,50.28,"7,56,877","3,80,52,975.20",-,"3,04,078",40.18
ESTL,EQ,19-07-2005,50.6,50.6,51.1,49.9,50.75,50.75,50.59,"14,56,909","7,37,10,912.45",-,"5,28,664",36.29
ESTL,EQ,20-07-2005,50.75,51.1,52.75,51.1,51.95,52.0,52.03,"12,10,631","6,29,88,125.65",-,"5,41,483",44.73
ESTL,EQ,21-07-2005,52.0,52.85,53.9,51.05,52.1,51.9,52.72,"17,70,544","9,33,48,006.95",-,"5,99,404",33.85
ESTL,EQ,22-07-2005,51.9,52.0,52.6,51.75,51.85,52.05,52.26,"8,33,034","4,35,32,850.75",-,"3,59,373",43.14
ESTL,EQ,25-07-2005,52.05,52.55,53.4,51.5,51.6,51.7,52.46,"9,00,905","4,72,62,849.30",-,"3,97,437",44.12
ESTL,EQ,26-07-2005,51.7,52.25,53.5,51.25,52.6,52.65,52.66,"18,88,155","9,94,25,019.75",-,"6,21,670",32.92
ESTL,EQ,27-07-2005,52.65,52.9,53.0,49.7,50.0,50.2,51.77,"12,94,567","6,70,22,024.10",-,"6,85,702",52.97
