SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
FLEXIADD,EQ,16-10-2025,10.46,10.56,11.9,10.5,10.66,10.66,10.64,"2,70,745","28,79,653.81",129,"1,54,543",57.08
FLEXIADD,EQ,17-10-2025,10.66,10.66,10.74,10.63,10.68,10.65,10.7,77212,8.26,193, 57607,74.61
FLEXIADD,EQ,20-10-2025,10.65,10.91,10.91,10.67,10.74,10.72,10.72,181552,19.46,317, 139748,76.97
FLEXIADD,EQ,21-10-2025,10.72,10.72,11.55,10.72,10.74,10.76,10.79,185121,19.98,333, 172770,93.33
FLEXIADD,EQ,23-10-2025,10.76,11.02,11.2,10.54,10.54,10.67,10.81,248295,26.84,395, 237653,95.71
FLEXIADD,EQ,24-10-2025,10.67,10.79,10.85,10.68,10.79,10.79,10.81,407126,44.0,355, 347272,85.3
FLEXIADD,EQ,27-10-2025,10.79,11.05,11.05,10.82,10.86,10.89,10.87,175406,19.07,300, 123108,70.18
FLEXIADD,EQ,28-10-2025,10.89,11.05,11.05,10.8,10.85,10.84,10.86,443568,48.15,388, 438247,98.8
FLEXIADD,EQ,29-10-2025,10.84,11.04,11.04,10.76,10.9,10.82,10.81,300528,32.48,295, 188589,62.75
FLEXIADD,EQ,30-10-2025,10.82,10.88,10.91,10.78,10.85,10.81,10.81,232980,25.2,220, 222732,95.6
FLEXIADD,EQ,31-10-2025,10.81,10.88,10.97,10.73,10.83,10.73,10.78,177007,19.08,463, 174875,98.8
FLEXIADD,EQ,03-11-2025,10.73,10.79,10.8,10.68,10.75,10.75,10.72,289533,31.04,354, 207229,71.57
FLEXIADD,EQ,04-11-2025,10.75,11.01,11.01,10.62,10.66,10.64,10.66,215926,23.02,536, 156248,72.36
FLEXIADD,EQ,06-11-2025,10.64,10.72,10.72,10.57,10.63,10.6,10.61,189255,20.08,375, 178396,94.26
FLEXIADD,EQ,07-11-2025,10.6,10.6,10.66,10.48,10.66,10.61,10.53,79743,8.4,403, 64044,80.31
FLEXIADD,EQ,10-11-2025,10.61,10.74,10.75,10.61,10.72,10.7,10.69,71680,7.67,222, 68561,95.65
FLEXIADD,EQ,11-11-2025,10.7,10.9,10.95,10.64,10.75,10.76,10.7,82896,8.87,232, 50199, 60.56
