SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
FRETAIL,BE,2016-08-29,151.05,153.4,161.05,153.0,161.05,161.05,159.38,"5,58,999","8,90,93,112.05",941,-,-
FRETAIL,BE,2016-08-30,161.05,160.2,160.25,155.05,156.15,158.3,158.84,"11,41,573","18,13,32,709.85","4,659",-,-
FRETAIL,BE,2016-08-31,158.3,157.75,160.0,150.4,157.8,159.6,154.61,"8,85,180","13,68,56,557.65","4,174",-,-
FRETAIL,BE,2016-09-01,159.6,156.0,160.0,152.0,156.0,156.95,157.15,"1,34,374","2,11,16,363.85","1,211",-,-
FRETAIL,BE,2016-09-02,156.95,152.0,158.0,152.0,157.7,157.25,155.45,"69,713","1,08,36,956.90","1,566",-,-
FRETAIL,BE,2016-09-06,157.25,153.0,160.0,153.0,158.0,159.25,158.63,"98,068","1,55,56,601.10","2,357",-,-
FRETAIL,BE,2016-09-07,159.25,159.0,160.05,157.1,157.4,158.9,159.18,"1,01,603","1,61,73,242.15","6,168",-,-
FRETAIL,BE,2016-09-08,158.9,155.0,160.0,155.0,156.1,156.85,158.17,"35,979","56,90,822.55",796,-,-
FRETAIL,BE,2016-09-09,156.85,155.0,160.0,155.0,159.25,158.65,159.08,"1,28,104","2,03,78,671.80","1,290",-,-
FRETAIL,BE,2016-09-12,158.65,153.1,157.0,151.5,153.0,154.25,153.77,"67,961","1,04,50,490.20","1,168",-,-
FRETAIL,EQ,2016-09-14,154.25,155.9,160.0,150.55,154.25,154.25,155.46,"3,99,600","6,21,20,483.70","8,734","3,20,944",80.32
FRETAIL,EQ,2016-09-15,154.25,153.2,155.9,150.5,154.0,153.35,152.92,"1,84,278","2,81,79,085.70","7,949","1,55,210",84.23
FRETAIL,EQ,2016-09-16,153.35,153.9,157.75,142.3,150.0,149.35,151.16,"7,64,664","11,55,83,106.25","13,038","6,54,417",85.58
FRETAIL,EQ,2016-09-19,149.35,151.1,153.75,150.0,150.6,151.05,151.22,"1,53,251","2,31,74,164.95","1,514","1,14,819",74.92
FRETAIL,EQ,2016-09-20,151.05,151.0,151.0,148.0,150.8,150.4,149.86,"82,420","1,23,51,409.40",910,"65,286",79.21
FRETAIL,EQ,2016-09-21,150.4,151.85,153.85,150.25,150.9,152.0,152.0,"2,97,371","4,52,00,756.70","1,138","2,71,497",91.30
FRETAIL,EQ,2016-09-22,152.0,152.0,153.65,150.25,152.0,151.6,151.56,"80,355","1,21,78,385.55",860,"59,423",73.95
FRETAIL,EQ,2016-09-23,151.6,152.1,152.6,147.1,147.1,147.45,149.51,"66,387","99,25,729.30","1,303","56,293",84.80
FRETAIL,EQ,2016-09-26,147.45,146.15,147.55,142.25,145.85,145.45,144.97,"1,29,825","1,88,20,934.90",845,"1,10,032",84.75
FRETAIL,EQ,2016-09-27,145.45,145.15,149.0,143.0,145.0,145.2,146.57,"2,29,601","3,36,52,685.30","1,515","1,40,809",61.33
FRETAIL,EQ,2016-09-28,145.2,142.65,149.0,142.65,145.5,147.6,146.68,"96,894","1,42,12,856.60","1,377","83,121",85.79
FRETAIL,EQ,2016-09-29,147.6,148.05,150.9,146.95,148.6,148.25,148.57,"2,76,417","4,10,66,546.85","2,663","2,38,868",86.42
FRETAIL,EQ,2016-09-30,148.25,137.2,151.5,137.2,150.0,150.0,149.46,"62,566","93,51,404.20","2,153","51,681",82.60
FRETAIL,EQ,2016-10-03,150.0,150.0,159.2,150.0,158.4,157.15,155.73,"1,19,234","1,85,68,228.70","3,227","90,331",75.76
FRETAIL,EQ,2016-10-04,157.15,154.0,159.7,153.9,159.6,159.2,157.95,"39,962","63,11,807.30","1,563","34,767",87.00
FRETAIL,EQ,2016-10-05,159.2,157.2,160.0,154.6,157.05,159.2,158.39,"1,60,051","2,53,50,549.50","2,378","1,28,887",80.53
FRETAIL,EQ,2016-10-06,159.2,157.2,159.9,154.75,157.0,156.75,157.17,"3,03,284","4,76,65,991.50","2,518","2,80,172",92.38
FRETAIL,EQ,2016-10-07,156.75,155.35,158.7,153.1,154.0,155.4,155.14,"68,887","1,06,87,109.15",759,"52,638",76.41
FRETAIL,EQ,2016-10-10,155.4,157.4,158.7,151.9,151.9,152.45,153.77,"22,973","35,32,531.45",357,"15,769",68.64
FRETAIL,EQ,2016-10-13,152.45,150.3,153.0,145.55,150.0,147.85,147.95,"82,668","1,22,30,871.80","2,488","64,049",77.48
FRETAIL,EQ,2016-10-14,147.85,148.05,159.9,148.0,159.0,156.1,151.62,"1,45,559","2,20,69,702.35","1,501","1,19,326",81.98
FRETAIL,EQ,2016-10-17,156.1,159.9,159.9,151.0,152.7,153.4,153.43,"1,64,299","2,52,07,601.00","3,201","1,37,938",83.96
FRETAIL,EQ,2016-10-18,153.4,157.0,158.1,151.2,156.3,155.9,154.64,"2,22,594","3,44,22,021.30","1,473","2,04,459",91.85
FRETAIL,EQ,2016-10-19,155.9,155.0,160.0,152.0,155.0,155.25,155.31,"21,21,972","32,95,66,398.90","3,571","19,90,726",93.81
FRETAIL,EQ,2016-10-20,155.25,154.0,159.95,152.5,157.0,157.9,156.26,"2,32,500","3,63,29,409.65","1,641","1,67,805",72.17
FRETAIL,EQ,2016-10-21,157.9,155.05,160.0,155.05,159.0,158.85,158.96,"1,75,308","2,78,67,345.30","1,447","95,942",54.73
FRETAIL,EQ,2016-10-24,158.85,159.8,179.7,155.2,177.0,174.6,173.49,"17,21,337","29,86,32,187.00","18,075","10,89,291",63.28
FRETAIL,EQ,2016-10-25,174.6,175.0,175.0,165.0,169.0,168.55,168.91,"2,28,432","3,85,85,544.45","4,947","1,40,112",61.34
FRETAIL,EQ,2016-10-26,168.55,168.2,172.95,165.1,170.0,170.0,169.51,"4,66,822","7,91,31,990.90","4,472","4,00,325",85.76
FRETAIL,EQ,2016-10-27,170.0,170.0,171.0,163.35,169.35,168.15,165.89,"1,48,702","2,46,68,512.45","2,228","1,03,227",69.42
FRETAIL,EQ,2016-10-28,168.15,167.0,174.35,165.6,165.6,166.4,170.65,"2,85,621","4,87,40,976.85","3,997","2,28,030",79.84
FRETAIL,EQ,2016-10-30,166.4,168.4,171.75,168.1,169.1,170.15,169.78,"65,539","1,11,27,035.15",617,"49,836",76.04
