SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GANGOTRI,EQ,07-04-2006,45.45,56.0,57.15,49.1,49.9,50.3,53.07,"4,26,567","2,26,38,891.10",-,"1,49,292",35.0
GANGOTRI,EQ,10-04-2006,50.3,46.2,52.5,46.2,49.8,49.8,49.85,"42,179","21,02,525.85",-,"29,956",71.02
GANGOTRI,EQ,12-04-2006,49.8,48.0,50.5,48.0,49.0,48.85,49.3,"25,420","12,53,267.40",-,"20,490",80.61
GANGOTRI,EQ,13-04-2006,48.85,47.3,48.35,45.55,46.0,46.8,46.73,"15,082","7,04,730.15",-,"11,982",79.45
GANGOTRI,EQ,17-04-2006,46.8,46.1,47.8,45.45,46.35,46.9,46.61,"7,234","3,37,166.75",-,"3,896",53.86
GANGOTRI,EQ,18-04-2006,46.9,50.0,50.0,44.3,44.5,45.0,45.54,"9,936","4,52,467.50",-,"6,955",70.0
GANGOTRI,EQ,19-04-2006,45.0,44.2,44.85,41.25,44.5,43.95,43.25,"15,305","6,61,881.70",-,"7,428",48.53
GANGOTRI,EQ,20-04-2006,43.95,44.5,45.2,44.1,44.25,44.4,44.59,"2,315","1,03,229.00",-,"1,842",79.57
GANGOTRI,EQ,21-04-2006,44.4,46.0,48.85,44.8,48.85,48.85,48.44,"1,49,401","72,37,171.65",-,"28,906",19.35
GANGOTRI,EQ,24-04-2006,48.85,50.55,53.75,50.5,53.75,53.75,52.91,"1,74,534","92,34,207.55",-,"48,329",27.69
GANGOTRI,EQ,25-04-2006,53.75,54.55,58.85,49.0,52.0,52.5,56.21,"4,80,062","2,69,85,518.15",-,"92,371",19.24
GANGOTRI,EQ,26-04-2006,52.5,53.0,57.75,53.0,57.75,57.75,57.58,"77,999","44,91,434.75",-,"40,022",51.31
GANGOTRI,EQ,27-04-2006,57.75,60.65,60.65,55.6,60.65,60.65,60.45,"1,97,354","1,19,30,877.45",-,"94,960",48.12
GANGOTRI,EQ,28-04-2006,60.65,60.0,62.0,57.65,58.0,57.9,58.14,"2,42,491","1,40,98,881.60",-,"74,675",30.79
GANGOTRI,EQ,29-04-2006,57.9,60.7,60.8,58.1,60.8,60.8,60.26,"1,38,336","83,36,077.10",-,"34,054",24.62
GANGOTRI,EQ,02-05-2006,60.8,63.85,63.85,61.0,63.85,63.85,63.48,"1,90,824","1,21,12,699.20",-,"70,888",37.15
GANGOTRI,EQ,03-05-2006,63.85,67.0,67.05,67.0,67.05,67.05,67.05,"2,23,203","1,49,65,661.15",-,"95,883",42.96
GANGOTRI,EQ,04-05-2006,67.05,69.7,70.4,67.05,70.4,70.4,69.12,"4,55,206","3,14,62,010.90",-,"1,89,271",41.58
GANGOTRI,EQ,05-05-2006,70.4,71.05,71.05,66.9,66.9,66.9,67.56,"21,712","14,66,763.45",-,"18,752",86.37
GANGOTRI,EQ,08-05-2006,66.9,63.55,66.55,63.55,63.55,63.55,64.34,"49,250","31,68,548.45",-,"30,471",61.87
