SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GOLDSTAR,SM,2017-10-10,25.0,27.3,29.6,26.3,26.3,26.3,27.35,"3,30,000","90,24,900.00",55,"2,28,000",69.09
GOLDSTAR,SM,2017-10-11,26.3,26.5,26.5,26.2,26.4,26.4,26.39,"1,02,000","26,92,200.00",12,"66,000",64.71
GOLDSTAR,SM,2017-10-12,26.4,26.0,26.45,26.0,26.0,26.0,26.21,"78,000","20,44,200.00",13,"54,000",69.23
GOLDSTAR,SM,2017-10-13,26.0,26.0,26.4,25.5,26.0,26.0,26.19,"84,000","21,99,600.00",10,"54,000",64.29
GOLDSTAR,SM,2017-10-16,26.0,26.0,26.6,25.25,26.6,26.6,25.55,"6,06,000","1,54,85,400.00",26,"6,00,000",99.01
GOLDSTAR,SM,2017-10-17,26.6,26.0,26.0,26.0,26.0,26.0,26.0,"12,000","3,12,000.00",2,"12,000",100.0
GOLDSTAR,SM,2017-10-23,26.0,27.6,27.6,27.6,27.6,27.6,27.6,"6,000","1,65,600.00",1,"6,000",100.0
GOLDSTAR,SM,2017-10-24,27.6,26.05,26.05,26.0,26.0,26.0,26.03,"12,000","3,12,300.00",2,"6,000",50.0
GOLDSTAR,SM,2017-10-25,26.0,26.0,26.0,26.0,26.0,26.0,26.0,"12,000","3,12,000.00",2,"12,000",100.0
GOLDSTAR,SM,2017-10-26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,"12,000","3,12,000.00",2,"12,000",100.0
GOLDSTAR,SM,2017-10-27,26.0,26.3,26.3,26.3,26.3,26.3,26.3,"6,000","1,57,800.00",1,"6,000",100.0
GOLDSTAR,SM,2017-10-31,26.3,26.0,26.0,26.0,26.0,26.0,26.0,"12,000","3,12,000.00",2,"12,000",100.0
GOLDSTAR,SM,2017-11-01,26.0,26.05,26.2,26.0,26.0,26.0,26.06,"24,000","6,25,500.00",4,"18,000",75.0
GOLDSTAR,SM,2017-11-02,26.0,26.05,26.05,26.05,26.05,26.05,26.05,"6,000","1,56,300.00",1,"6,000",100.0
GOLDSTAR,SM,2017-11-03,26.05,26.1,26.1,26.0,26.0,26.0,26.08,"36,000","9,39,000.00",4,"30,000",83.33
GOLDSTAR,SM,2017-11-06,26.0,26.0,26.0,26.0,26.0,26.0,26.0,"6,000","1,56,000.00",1,"6,000",100.0
GOLDSTAR,SM,2017-11-08,26.0,26.0,26.0,26.0,26.0,26.0,26.0,"12,000","3,12,000.00",2,"12,000",100.0
