SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GOYALALUM,EQ,2022-11-04,135.1,144.8,148.6,126.3,142.85,143.05,140.64,"26,500","37,26,987.35",810,"15,595",58.85
GOYALALUM,EQ,2022-11-07,143.05,145.95,157.35,145.95,157.35,157.35,151.85,"38,179","57,97,312.95",228,"7,449",19.51
GOYALALUM,EQ,2022-11-09,157.35,168.7,172.9,157.0,159.7,158.95,163.77,"67,375","1,10,33,887.75","1,076","23,197",34.43
GOYALALUM,EQ,2022-11-10,158.95,158.95,163.75,156.0,156.0,157.2,157.52,"48,985","77,16,246.10",276,"5,782",11.8
GOYALALUM,EQ,2022-11-11,157.2,164.95,165.95,151.05,156.05,158.35,162.43,"33,131","53,81,377.35",286,"3,573",10.78
GOYALALUM,EQ,2022-11-14,158.35,166.95,166.95,151.55,152.05,153.9,159.69,"31,121","49,69,802.25",122,"1,876",6.03
GOYALALUM,EQ,2022-11-15,153.9,159.0,159.0,140.05,158.5,151.5,155.08,"38,986","60,45,762.35",381,"7,677",19.69
GOYALALUM,EQ,2022-11-16,151.5,158.8,160.0,145.55,160.0,156.15,154.38,"33,283","51,38,239.40",368,"3,918",11.77
GOYALALUM,EQ,2022-11-17,156.15,160.05,160.05,154.0,160.0,158.2,156.06,"26,745","41,73,814.30",132,839,3.14
GOYALALUM,EQ,2022-11-18,158.2,156.95,164.0,156.05,156.55,159.5,157.8,"29,379","46,36,046.00",157,"2,135",7.27
GOYALALUM,EQ,2022-11-21,159.5,162.0,165.0,157.0,159.2,160.1,161.14,"27,603","44,47,834.35",207,514,1.86
GOYALALUM,EQ,2022-11-22,160.1,153.15,163.95,148.6,155.0,154.65,155.14,"33,936","52,64,882.45",356,"3,382",9.97
GOYALALUM,EQ,2022-11-23,154.65,152.0,167.9,151.05,152.05,155.8,156.34,"32,426","50,69,426.85",177,"1,468",4.53
GOYALALUM,EQ,2022-11-24,155.8,158.0,159.9,153.45,156.45,154.9,157.06,"25,898","40,67,613.85",100,286,1.1
GOYALALUM,EQ,2022-11-25,154.9,151.05,156.25,151.05,155.0,154.4,154.41,"31,716","48,97,279.85",94,"3,639",11.47
GOYALALUM,EQ,2022-11-28,154.4,155.0,163.5,155.0,155.0,155.05,157.21,"27,788","43,68,558.10",130,871,3.13
GOYALALUM,EQ,2022-11-29,155.05,156.5,159.95,142.15,149.0,153.95,155.63,"48,321","75,20,126.35",191,"20,483",42.39
GOYALALUM,EQ,2022-11-30,153.95,169.0,169.0,155.0,158.0,159.5,156.69,"33,464","52,43,468.90",131,"6,892",20.6
GOYALALUM,EQ,2022-12-01,159.5,155.05,160.0,150.65,153.55,155.2,158.38,"28,073","44,46,159.00",197,"1,184",4.22
GOYALALUM,EQ,2022-12-02,155.2,155.0,158.55,153.65,154.95,155.8,155.75,"27,136","42,26,322.00",82,"1,097",4.04
GOYALALUM,EQ,2022-12-05,155.8,157.0,160.0,150.1,150.1,154.55,155.84,"26,775","41,72,693.95",131,789,2.95
GOYALALUM,EQ,2022-12-06,154.55,157.4,158.45,155.0,155.0,155.3,155.8,"29,245","45,56,332.15",103,"1,989",6.8
GOYALALUM,EQ,2022-12-07,155.3,156.0,159.3,155.0,157.9,157.95,155.64,"27,118","42,20,628.20",62,"1,417",5.23
GOYALALUM,EQ,2022-12-08,157.95,156.55,170.0,156.55,162.0,160.7,158.09,"33,671","53,22,957.35",273,"6,439",19.12
GOYALALUM,EQ,2022-12-09,160.7,165.55,168.45,160.0,166.0,165.75,164.02,"40,407","66,27,420.60",212,"8,266",20.46
GOYALALUM,EQ,2022-12-12,165.75,170.0,182.3,165.05,174.0,174.15,171.89,"54,792","94,18,415.30",648,"14,256",26.02
