SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GROWWNIFTY,EQ,22-07-2025,10.0,10.21,10.21,9.96,10.05,10.04,10.07,"3,70,946","37,33,614.63","1,617","3,19,990",86.26
GROWWNIFTY,EQ,23-07-2025,10.04,10.29,10.47,10.04,10.12,10.06,10.07,"5,03,856","50,75,093.57","1,347","2,71,169",53.82
GROWWNIFTY,EQ,24-07-2025,10.06,10.31,10.37,10.03,10.08,10.05,10.08,"3,60,478","36,33,165.19","1,957","2,77,382",76.95
GROWWNIFTY,EQ,25-07-2025,10.05,10.1,10.11,9.95,9.99,9.96,9.98,451012,45.02,1605, 384580,85.27
GROWWNIFTY,EQ,28-07-2025,9.96,9.96,10.05,9.87,9.96,9.9,9.95,337114,33.53,1513, 271057,80.41
GROWWNIFTY,EQ,29-07-2025,9.9,9.98,9.99,9.87,9.97,9.94,9.91,145417,14.41,897, 90993,62.57
GROWWNIFTY,EQ,30-07-2025,9.94,9.98,10.0,9.81,9.99,9.96,9.96,161025,16.05,699, 127963,79.47
GROWWNIFTY,EQ,31-07-2025,9.96,9.76,9.99,9.76,9.96,9.94,9.93,168973,16.77,779, 133401,78.95
GROWWNIFTY,EQ,01-08-2025,9.94,10.0,10.0,9.8,9.88,9.85,9.88,187276,18.51,872, 160074,85.47
GROWWNIFTY,EQ,04-08-2025,9.85,9.86,9.96,9.76,9.93,9.9,9.86,121600,12.0,876, 73744,60.64
GROWWNIFTY,EQ,05-08-2025,9.9,10.0,10.0,9.78,9.89,9.88,9.89,148470,14.68,691, 120269,81.01
GROWWNIFTY,EQ,06-08-2025,9.88,9.88,9.95,9.8,9.87,9.84,9.87,122117,12.05,953, 105761,86.61
GROWWNIFTY,EQ,07-08-2025,9.84,9.92,9.92,9.76,9.86,9.83,9.81,262656,25.77,959, 158314,60.27
GROWWNIFTY,EQ,08-08-2025,9.83,9.83,9.9,9.78,9.81,9.78,9.81,146649,14.38,792, 133089, 90.75
