SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
NOVA,EQ,2009-12-14,25.7,25.0,39.5,19.7,20.7,21.15,22.97,"23,31,062","5,35,48,882.35",-,"6,92,003",29.69
NOVA,EQ,2009-12-15,21.15,22.25,23.75,19.1,19.25,19.8,20.66,"11,99,555","2,47,83,612.80",-,"3,96,175",33.03
NOVA,EQ,2009-12-16,19.8,19.5,22.75,15.85,15.85,15.95,18.03,"67,91,788","12,24,87,292.20",-,"15,60,609",22.98
NOVA,EQ,2009-12-17,15.95,15.6,16.75,13.1,14.2,14.1,14.74,"40,15,064","5,91,83,127.00",-,"8,38,420",20.88
GSLNOVA,EQ,2009-12-18,14.1,14.55,15.4,13.6,14.15,14.15,14.29,"10,59,934","1,51,42,537.10",-,"2,96,642",27.99
GSLNOVA,EQ,2009-12-21,14.15,14.25,14.8,13.05,13.05,13.2,13.62,"5,52,161","75,21,947.25",-,"2,88,297",52.21
GSLNOVA,EQ,2009-12-22,13.2,13.45,13.55,12.35,12.65,12.6,12.8,"6,00,848","76,90,002.10",-,"2,42,780",40.41
GSLNOVA,EQ,2009-12-23,12.6,12.75,12.75,11.35,11.6,11.45,11.86,"8,66,791","1,02,77,140.75",-,"3,66,767",42.31
GSLNOVA,EQ,2009-12-24,11.45,11.35,12.35,10.75,11.4,11.65,11.48,"8,37,924","96,20,980.80",-,"2,28,961",27.32
GSLNOVA,EQ,2009-12-29,11.65,11.5,12.45,11.5,12.05,11.9,11.97,"2,88,617","34,54,779.05",-,"1,13,248",39.24
GSLNOVA,EQ,2009-12-30,11.9,11.9,12.05,11.5,11.8,11.75,11.78,"1,59,978","18,83,813.60",-,"89,959",56.23
GSLNOVA,EQ,2009-12-31,11.75,11.6,11.9,11.55,11.75,11.65,11.71,"1,41,058","16,52,420.05",-,"76,413",54.17
GSLNOVA,EQ,2010-01-04,11.65,11.8,11.85,11.5,11.6,11.65,11.68,"1,43,438","16,75,925.40",-,"68,824",47.98
GSLNOVA,EQ,2010-01-05,11.65,11.95,12.2,11.4,11.4,11.55,11.67,"1,59,862","18,64,790.25",-,"1,05,014",65.69
GSLNOVA,EQ,2010-01-06,11.55,11.35,11.7,11.25,11.4,11.3,11.42,"1,31,150","14,97,342.90",-,"92,665",70.66
GSLNOVA,EQ,2010-01-07,11.3,11.15,11.45,11.1,11.1,11.2,11.25,"1,77,884","20,00,923.90",-,"1,11,984",62.95
GSLNOVA,EQ,2010-01-08,11.2,11.25,11.5,11.2,11.3,11.4,11.37,"1,05,560","11,99,746.30",-,"55,524",52.6
GSLNOVA,EQ,2010-01-11,11.4,11.5,11.9,11.4,11.45,11.5,11.61,"2,06,504","23,97,445.15",-,"92,267",44.68
GSLNOVA,EQ,2010-01-12,11.5,11.3,12.2,11.3,11.85,11.8,11.86,"4,46,171","52,93,682.15",-,"1,76,987",39.67
GSLNOVA,EQ,2010-01-13,11.8,11.35,11.9,11.15,11.8,11.7,11.68,"85,723","10,01,164.80",-,"42,438",49.51
GSLNOVA,EQ,2010-01-14,11.7,11.8,12.0,11.7,11.75,11.8,11.83,"81,765","9,66,949.30",-,"50,699",62.01
GSLNOVA,EQ,2010-01-15,11.8,11.9,12.7,11.75,12.5,12.45,12.35,"4,16,324","51,40,732.20",-,"2,10,595",50.58
GSLNOVA,EQ,2010-01-18,12.45,12.5,12.8,12.2,12.4,12.3,12.45,"1,77,094","22,04,333.30",-,"1,23,641",69.82
GSLNOVA,EQ,2010-01-19,12.3,12.65,12.65,11.9,12.1,12.05,12.21,"79,765","9,74,138.90",-,"61,456",77.05
GSLNOVA,EQ,2010-01-20,12.05,12.25,12.3,11.65,11.7,11.75,11.96,"67,918","8,12,345.85",-,"53,044",78.1
GSLNOVA,EQ,2010-01-21,11.75,11.5,12.0,11.35,11.6,11.4,11.58,"62,038","7,18,244.15",-,"49,901",80.44
GSLNOVA,EQ,2010-01-22,11.4,11.5,11.5,10.8,11.2,11.1,11.08,"1,02,961","11,40,331.85",-,"74,786",72.64
GSLNOVA,EQ,2010-01-25,11.1,11.2,11.2,10.9,11.05,10.95,11.04,"68,495","7,55,843.30",-,"45,290",66.12
GSLNOVA,EQ,2010-01-27,10.95,10.7,11.1,10.0,10.15,10.2,10.53,"1,25,746","13,24,015.85",-,"75,708",60.21
GSLNOVA,EQ,2010-01-28,10.2,10.0,10.5,9.75,9.9,9.95,10.04,"73,704","7,39,760.70",-,"51,933",70.46
GSLNOVA,EQ,2010-01-29,9.95,9.8,9.8,9.0,9.35,9.6,9.4,"1,42,113","13,36,162.75",-,"69,875",49.17
GSLNOVA,EQ,2010-02-01,9.6,10.3,10.3,9.4,9.9,9.95,9.96,"70,616","7,03,423.25",-,"50,511",71.53
GSLNOVA,EQ,2010-02-02,9.95,10.1,10.35,9.65,9.65,9.75,10.02,"58,908","5,90,412.30",-,"49,166",83.46
GSLNOVA,EQ,2010-02-03,9.75,9.8,10.1,9.75,9.85,9.9,9.9,"29,693","2,94,018.90",-,"20,164",67.91
GSLNOVA,EQ,2010-02-04,9.9,9.85,10.0,9.6,9.85,9.65,9.78,"27,878","2,72,751.50",-,"22,247",79.8
GSLNOVA,EQ,2010-02-05,9.65,9.2,9.65,9.0,9.2,9.1,9.2,"47,316","4,35,177.95",-,"29,146",61.6
GSLNOVA,EQ,2010-02-06,9.1,9.2,9.2,8.85,9.2,9.1,9.04,"14,366","1,29,926.55",-,"9,164",63.79
GSLNOVA,EQ,2010-02-08,9.1,9.5,9.5,8.5,9.15,9.25,9.01,"61,019","5,49,801.95",-,"38,995",63.91
GSLNOVA,EQ,2010-02-09,9.25,9.2,9.7,9.0,9.05,9.15,9.28,"61,044","5,66,588.85",-,"33,185",54.36
GSLNOVA,EQ,2010-02-10,9.15,9.45,9.45,8.8,8.8,8.95,9.03,"47,333","4,27,312.65",-,"36,094",76.26
GSLNOVA,EQ,2010-02-11,8.95,9.15,9.2,8.85,8.9,8.9,8.95,"73,560","6,58,228.45",-,"56,208",76.41
GSLNOVA,EQ,2010-02-15,8.9,9.1,9.1,8.6,8.6,8.7,8.8,"36,816","3,23,798.90",-,"30,546",82.97
GSLNOVA,EQ,2010-02-16,8.7,8.9,8.9,8.3,8.5,8.4,8.51,"58,067","4,94,302.90",-,"43,789",75.41
GSLNOVA,EQ,2010-02-17,8.4,8.5,8.6,8.1,8.3,8.3,8.34,"64,572","5,38,724.05",-,"47,436",73.46
GSLNOVA,EQ,2010-02-18,8.3,8.4,9.15,8.25,8.7,8.55,8.78,"1,24,152","10,89,481.75",-,"53,136",42.8
GSLNOVA,EQ,2010-02-19,8.55,8.5,8.7,8.2,8.45,8.35,8.46,"40,525","3,42,949.05",-,"24,102",59.47
GSLNOVA,EQ,2010-02-22,8.35,8.4,8.6,8.05,8.15,8.15,8.34,"51,755","4,31,749.65",-,"35,478",68.55
GSLNOVA,EQ,2010-02-23,8.15,8.05,8.25,7.85,8.15,8.05,8.03,"54,082","4,34,279.00",-,"33,822",62.54
GSLNOVA,EQ,2010-02-24,8.05,7.95,8.1,7.8,7.85,7.85,7.91,"23,749","1,87,874.35",-,"17,610",74.15
GSLNOVA,EQ,2010-02-25,7.85,8.0,8.0,7.7,7.9,7.85,7.82,"25,617","2,00,365.40",-,"19,724",77.0
GSLNOVA,EQ,2010-02-26,7.85,7.65,8.0,7.5,7.75,7.8,7.78,"50,590","3,93,369.30",-,"29,241",57.8
GSLNOVA,EQ,2010-03-02,7.8,7.85,7.95,7.5,7.8,7.85,7.78,"36,227","2,81,752.90",-,"23,690",65.39
GSLNOVA,EQ,2010-03-03,7.85,7.75,8.1,7.75,7.95,7.9,7.94,"40,081","3,18,202.40",-,"31,765",79.25
GSLNOVA,EQ,2010-03-04,7.9,8.0,8.1,7.9,8.05,8.05,8.02,"44,418","3,56,176.25",-,"31,920",71.86
GSLNOVA,EQ,2010-03-05,8.05,8.2,8.25,8.05,8.05,8.05,8.13,"32,960","2,67,901.95",-,"23,383",70.94
GSLNOVA,EQ,2010-03-08,8.05,8.15,9.5,7.65,9.05,9.05,9.04,"2,07,514","18,76,541.35",-,"1,17,977",56.85
GSLNOVA,EQ,2010-03-09,9.05,9.2,9.65,8.9,9.15,9.15,9.25,"77,512","7,16,604.25",-,"38,413",49.56
GSLNOVA,EQ,2010-03-10,9.15,9.15,9.2,8.8,8.85,8.85,8.97,"34,609","3,10,464.05",-,"25,548",73.82
GSLNOVA,EQ,2010-03-11,8.85,8.8,8.85,8.5,8.55,8.65,8.64,"21,953","1,89,584.60",-,"15,550",70.83
GSLNOVA,EQ,2010-03-12,8.65,8.5,8.7,8.05,8.35,8.3,8.38,"30,142","2,52,492.30",-,"17,620",58.46
GSLNOVA,EQ,2010-03-15,8.3,8.3,8.35,7.8,8.15,8.1,8.05,"52,349","4,21,534.80",-,"38,960",74.42
GSLNOVA,EQ,2010-03-16,8.1,8.0,8.2,7.85,8.15,8.1,8.03,"25,638","2,05,986.85",-,"13,241",51.65
GSLNOVA,EQ,2010-03-17,8.1,8.05,8.2,7.7,7.9,7.85,7.93,"79,774","6,32,708.00",-,"61,770",77.43
GSLNOVA,EQ,2010-03-18,7.85,7.9,8.05,7.75,7.8,7.8,7.9,"27,618","2,18,178.95",-,"21,343",77.28
GSLNOVA,EQ,2010-03-19,7.8,7.8,8.05,7.8,7.95,7.9,7.9,"25,584","2,02,046.55",-,"19,980",78.1
GSLNOVA,EQ,2010-03-22,7.9,7.55,7.95,7.55,7.8,7.8,7.82,"19,998","1,56,334.65",-,"13,299",66.5
GSLNOVA,EQ,2010-03-23,7.8,7.9,7.95,7.65,7.7,7.7,7.8,"23,976","1,86,987.15",-,"17,553",73.21
GSLNOVA,EQ,2010-03-25,7.7,7.7,7.8,7.3,7.65,7.65,7.59,"60,249","4,57,122.80",-,"39,070",64.85
GSLNOVA,EQ,2010-03-26,7.65,7.55,7.9,7.5,7.6,7.6,7.64,"36,862","2,81,694.30",-,"24,354",66.07
GSLNOVA,EQ,2010-03-29,7.6,7.55,7.75,7.4,7.55,7.45,7.53,"17,367","1,30,725.65",-,"13,329",76.75
GSLNOVA,EQ,2010-03-30,7.45,7.4,7.65,7.4,7.65,7.6,7.56,"31,515","2,38,305.15",-,"21,631",68.64
GSLNOVA,EQ,2010-03-31,7.6,7.55,7.55,7.4,7.5,7.45,7.47,"24,593","1,83,818.65",-,"19,185",78.01
GSLNOVA,EQ,2010-04-01,7.45,7.8,8.2,7.5,7.9,7.95,7.96,"51,235","4,07,949.85",-,"30,928",60.36
GSLNOVA,EQ,2010-04-05,7.95,7.85,8.6,7.85,8.25,8.15,8.23,"84,518","6,95,759.80",-,"50,063",59.23
GSLNOVA,EQ,2010-04-06,8.15,8.2,8.35,8.0,8.2,8.1,8.18,"30,555","2,49,865.85",-,"20,628",67.51
GSLNOVA,EQ,2010-04-07,8.1,8.1,8.6,7.9,8.1,8.1,8.25,"1,04,525","8,62,705.70",-,"55,539",53.13
GSLNOVA,EQ,2010-04-08,8.1,8.1,8.3,8.1,8.15,8.15,8.21,"19,077","1,56,635.20",-,"12,867",67.45
GSLNOVA,EQ,2010-04-09,8.15,8.15,8.25,8.0,8.05,8.1,8.08,"32,328","2,61,260.85",-,"16,094",49.78
GSLNOVA,EQ,2010-04-12,8.1,8.2,8.2,7.9,8.0,7.95,8.01,"18,279","1,46,357.65",-,"14,546",79.58
GSLNOVA,EQ,2010-04-13,7.95,7.95,8.3,7.9,8.2,8.15,8.13,"30,501","2,48,064.95",-,"25,244",82.76
GSLNOVA,EQ,2010-04-15,8.15,8.15,8.35,7.95,8.05,8.0,8.08,"19,792","1,59,965.40",-,"14,357",72.54
GSLNOVA,EQ,2010-04-16,8.0,8.0,8.0,7.9,7.9,7.9,7.94,"16,836","1,33,631.70",-,"11,595",68.87
GSLNOVA,EQ,2010-04-19,7.9,7.6,7.8,7.5,7.7,7.7,7.61,"24,997","1,90,170.30",-,"19,342",77.38
GSLNOVA,EQ,2010-04-20,7.7,7.9,8.85,7.9,8.6,8.55,8.51,"2,17,642","18,51,592.95",-,"1,18,628",54.51
