SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
4THDIM,BE,2022-09-08,7.2,20.85,21.85,20.85,21.85,21.85,20.94,"1,100","23,035.00",6,-,-
4THDIM,BE,2022-09-09,21.85,22.9,22.9,22.9,22.9,22.9,22.9,100,"2,290.00",1,-,-
4THDIM,BE,2022-09-12,22.9,24.0,24.0,24.0,24.0,24.0,24.0,100,"2,400.00",1,-,-
4THDIM,BE,2022-09-13,24.0,25.2,25.2,25.2,25.2,25.2,25.2,200,"5,040.00",3,-,-
4THDIM,BE,2022-09-14,25.2,26.45,26.45,26.45,26.45,26.45,26.45,590,"15,605.50",2,-,-
4THDIM,BE,2022-09-15,26.45,27.75,27.75,27.75,27.75,27.75,27.75,"1,000","27,750.00",2,-,-
4THDIM,BE,2022-09-16,27.75,29.1,29.1,29.1,29.1,29.1,29.1,200,"5,820.00",3,-,-
4THDIM,BE,2022-09-19,29.1,30.55,30.55,30.55,30.55,30.55,30.55,115,"3,513.25",2,-,-
4THDIM,BE,2022-09-20,30.55,32.05,32.05,32.05,32.05,32.05,32.05,101,"3,237.05",2,-,-
4THDIM,BE,2022-09-21,32.05,33.65,33.65,33.65,33.65,33.65,33.65,101,"3,398.65",2,-,-
4THDIM,EQ,2022-09-22,33.65,37.0,37.0,37.0,37.0,37.0,37.0,"1,090","40,330.00",3,"1,090",100.00
4THDIM,EQ,2022-09-23,37.0,40.7,40.7,37.05,40.7,40.7,40.64,"19,800","8,04,610.55",105,"15,591",78.74
4THDIM,EQ,2022-09-26,40.7,44.75,44.75,44.75,44.75,44.75,44.75,231,"10,337.25",6,231,100.00
4THDIM,EQ,2022-09-27,44.75,46.95,46.95,46.95,46.95,46.95,46.95,190,"8,920.50",3,190,100.00
4THDIM,EQ,2022-09-28,46.95,49.25,49.25,49.25,49.25,49.25,49.25,50,"2,462.50",1,50,100.00
4THDIM,EQ,2022-09-29,49.25,51.7,51.7,51.7,51.7,51.7,51.7,251,"12,976.70",4,251,100.00
4THDIM,EQ,2022-09-30,51.7,54.25,54.25,54.25,54.25,54.25,54.25,10,542.50,1,10,100.00
4THDIM,EQ,2022-10-03,54.25,56.95,56.95,56.95,56.95,56.95,56.95,150,"8,542.50",2,150,100.00
4THDIM,EQ,2022-10-04,56.95,59.75,59.75,59.75,59.75,59.75,59.75,552,"32,982.00",2,552,100.00
4THDIM,EQ,2022-10-06,59.75,62.7,62.7,62.7,62.7,62.7,62.7,50,"3,135.00",1,50,100.00
4THDIM,EQ,2022-10-07,62.7,65.8,65.8,65.8,65.8,65.8,65.8,61,"4,013.80",4,61,100.00
4THDIM,EQ,2022-10-10,65.8,69.05,69.05,69.05,69.05,69.05,69.05,686,"47,368.30",8,686,100.00
4THDIM,EQ,2022-10-11,69.05,72.5,72.5,72.5,72.5,72.5,72.5,44,"3,190.00",2,44,100.00
4THDIM,EQ,2022-10-12,72.5,76.1,76.1,76.1,76.1,76.1,76.1,600,"45,660.00",3,600,100.00
4THDIM,EQ,2022-10-13,76.1,79.9,79.9,79.9,79.9,79.9,79.9,101,"8,069.90",3,101,100.00
4THDIM,EQ,2022-10-14,79.9,83.85,83.85,83.85,83.85,83.85,83.85,322,"26,999.70",3,322,100.00
4THDIM,EQ,2022-10-17,83.85,85.5,85.5,85.5,85.5,85.5,85.5,109,"9,319.50",4,109,100.00
4THDIM,EQ,2022-10-18,85.5,87.2,87.2,87.2,87.2,87.2,87.2,20,"1,744.00",1,20,100.00
4THDIM,EQ,2022-10-19,87.2,88.9,88.9,88.9,88.9,88.9,88.9,1,88.90,1,1,100.00
4THDIM,EQ,2022-10-20,88.9,90.65,90.65,88.95,90.65,90.65,90.57,"7,129","6,45,702.70",145,"5,030",70.56
