SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
HBSTOCK,EQ,04-11-1997,-,9.0,9.0,9.0,-,9.0,9.0,50,450.00,-,-,-
HBSTOCK,EQ,05-11-1997,9.00,8.0,8.0,8.0,-,8.0,8.0,50,400.00,-,-,-
HBSTOCK,EQ,06-11-1997,8.00,8.25,8.25,8.25,-,8.25,8.25,500,"4,125.00",-,-,-
HBSTOCK,EQ,07-11-1997,8.25,7.25,7.25,7.25,-,7.25,7.25,100,725.00,-,-,-
HBSTOCK,EQ,10-11-1997,7.25,6.95,6.95,6.95,-,6.95,6.95,100,695.00,-,-,-
HBSTOCK,EQ,17-11-1997,6.95,5.95,5.95,5.95,-,5.95,5.95,100,595.00,-,-,-
HBSTOCK,EQ,18-11-1997,5.95,5.3,5.3,5.3,-,5.3,5.3,150,795.00,-,-,-
HBSTOCK,EQ,20-11-1997,5.30,4.5,4.5,4.5,-,4.5,4.5,50,225.00,-,-,-
HBSTOCK,EQ,24-11-1997,4.50,4.0,4.0,4.0,-,4.0,4.0,50,200.00,-,-,-
HBSTOCK,EQ,25-11-1997,4.00,3.75,3.75,3.75,-,3.75,3.75,100,375.00,-,-,-
HBSTOCK,EQ,26-11-1997,3.75,3.5,3.5,3.5,-,3.5,3.5,150,525.00,-,-,-
HBSTOCK,EQ,01-12-1997,3.50,3.0,3.0,3.0,-,3.0,3.0,100,300.00,-,-,-
HBSTOCK,EQ,02-12-1997,3.00,2.75,2.75,2.75,-,2.75,2.75,300,825.00,-,-,-
HBSTOCK,EQ,03-12-1997,2.75,2.65,2.65,2.65,-,2.65,2.65,150,397.50,-,-,-
HBSTOCK,EQ,04-12-1997,2.65,2.65,2.75,2.65,-,2.75,2.74,700,"1,915.00",-,-,-
HBSTOCK,EQ,09-12-1997,2.75,2.75,2.75,2.75,-,2.75,2.75,100,275.00,-,-,-
HBSTOCK,EQ,10-12-1997,2.75,2.75,2.75,2.75,-,2.75,2.75,100,275.00,-,-,-
HBSTOCK,EQ,11-12-1997,2.75,2.75,2.75,2.75,-,2.75,2.75,200,550.00,-,-,-
HBSTOCK,EQ,16-12-1997,2.75,2.75,2.75,2.75,-,2.75,2.75,100,275.00,-,-,-
HBSTOCK,EQ,19-12-1997,2.75,2.6,2.6,2.6,-,2.6,2.6,150,390.00,-,-,-
HBSTOCK,EQ,23-12-1997,2.60,2.6,2.6,2.6,-,2.6,2.6,50,130.00,-,-,-
HBSTOCK,EQ,24-12-1997,2.60,2.5,2.6,2.5,-,2.6,2.53,150,380.00,-,-,-
HBSTOCK,EQ,26-12-1997,2.60,2.5,2.5,2.5,-,2.5,2.5,150,375.00,-,-,-
HBSTOCK,EQ,29-12-1997,2.50,2.25,2.25,2.25,-,2.25,2.25,150,337.50,-,-,-
HBSTOCK,EQ,06-01-1998,2.25,2.0,2.0,2.0,-,2.0,2.0,50,100.00,-,-,-
HBSTOCK,EQ,09-01-1998,2.0,2.05,2.05,2.05,-,2.05,2.05,100,205.00,-,-,-
HBSTOCK,EQ,13-01-1998,2.05,2.0,2.0,2.0,-,2.0,2.0,400,800.00,-,-,-
HBSTOCK,EQ,22-01-1998,2.0,2.25,2.25,2.0,-,2.0,2.17,150,325.00,-,-,-
HBSTOCK,EQ,23-01-1998,2.0,2.3,2.3,2.25,-,2.3,2.29,500,"1,145.00",-,-,-
HBSTOCK,EQ,28-01-1998,2.3,2.25,2.25,2.25,-,2.25,2.25,100,225.00,-,-,-
HBSTOCK,EQ,29-01-1998,2.25,2.35,2.35,2.35,-,2.35,2.35,100,235.00,-,-,-
HBSTOCK,EQ,30-01-1998,2.35,2.3,2.5,2.3,-,2.5,2.43,150,365.00,-,-,-
HBSTOCK,EQ,04-02-1998,2.5,2.4,2.4,2.4,-,2.4,2.4,100,240.00,-,-,-
HBSTOCK,EQ,06-02-1998,2.4,2.7,2.7,2.7,-,2.7,2.7,50,135.00,-,-,-
HBSTOCK,EQ,10-02-1998,2.7,2.65,2.65,2.65,-,2.65,2.65,100,265.00,-,-,-
HBSTOCK,EQ,11-02-1998,2.65,3.0,3.0,3.0,-,3.0,3.0,50,150.00,-,-,-
HBSTOCK,EQ,12-02-1998,3.0,3.0,3.0,2.55,-,2.55,2.99,"2,050","6,127.50",-,-,-
HBSTOCK,EQ,17-02-1998,2.55,2.5,2.5,2.5,-,2.5,2.5,100,250.00,-,-,-
HBSTOCK,EQ,18-02-1998,2.5,2.4,2.4,2.4,-,2.4,2.4,50,120.00,-,-,-
HBSTOCK,EQ,19-02-1998,2.4,2.5,2.55,2.5,-,2.55,2.53,500,"1,265.00",-,-,-
HBSTOCK,EQ,20-02-1998,2.55,2.6,2.6,2.5,-,2.55,2.55,550,"1,402.50",-,-,-
HBSTOCK,EQ,23-02-1998,2.55,2.55,2.9,2.55,-,2.9,2.58,550,"1,420.00",-,-,-
HBSTOCK,EQ,24-02-1998,2.9,3.2,3.2,2.5,-,2.5,2.58,"1,650","4,260.00",-,-,-
HBSTOCK,EQ,25-02-1998,2.5,2.5,2.75,2.5,-,2.75,2.72,"6,400","17,430.00",-,-,-
HBSTOCK,EQ,26-02-1998,2.75,2.5,2.85,2.4,-,2.75,2.73,500,"1,365.00",-,-,-
HBSTOCK,EQ,27-02-1998,2.75,3.15,3.15,3.15,-,3.15,3.15,200,630.00,-,-,-
HBSTOCK,EQ,02-03-1998,3.15,2.7,3.25,2.7,-,3.0,2.99,800,"2,390.00",-,-,-
HBSTOCK,EQ,10-03-1998,3.0,2.7,2.7,2.7,-,2.7,2.7,100,270.00,-,-,-
HBSTOCK,EQ,11-03-1998,2.7,2.75,2.75,2.5,-,2.5,2.63,300,787.50,-,-,-
HBSTOCK,EQ,12-03-1998,2.5,2.7,2.7,2.7,-,2.7,2.7,100,270.00,-,-,-
