SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
HINDNATGLS,EQ,15-04-2009,532.5,500.0,598.5,500.0,530.0,562.75,544.58,195,"1,06,192.90",-,52,26.67
HINDNATGLS,EQ,16-04-2009,562.75,600.0,605.0,555.05,560.0,560.0,589.77,68,"40,104.10",-,48,70.59
HINDNATGLS,EQ,17-04-2009,560.0,550.0,564.9,505.5,550.0,507.7,518.91,52,"26,983.40",-,41,78.85
HINDNATGLS,EQ,20-04-2009,507.7,510.0,542.0,493.0,493.0,493.0,517.14,21,"10,860.00",-,1,4.76
HINDNATGLS,EQ,21-04-2009,493.0,471.0,486.0,471.0,486.0,486.0,479.7,3,"1,439.10",-,1,33.33
HINDNATGLS,EQ,22-04-2009,486.0,524.0,524.0,470.0,470.0,470.0,497.0,20,"9,940.00",-,20,100.00
HINDNATGLS,EQ,23-04-2009,470.0,390.15,525.0,390.15,492.0,492.0,502.68,9,"4,524.15",-,5,55.56
HINDNATGLS,EQ,24-04-2009,492.0,510.0,510.0,490.0,490.0,490.0,494.84,45,"22,268.00",-,45,100.00
HINDNATGLS,EQ,27-04-2009,490.0,468.0,560.0,468.0,559.0,536.5,527.27,384,"2,02,472.15",-,212,55.21
HINDNATGLS,EQ,28-04-2009,536.5,518.0,530.0,518.0,524.95,518.7,520.04,195,"1,01,408.30",-,171,87.69
HINDNATGLS,EQ,29-04-2009,518.7,475.2,505.0,475.2,505.0,505.0,493.96,9,"4,445.60",-,9,100.00
HINDNATGLS,EQ,04-05-2009,505.0,518.1,564.7,518.1,564.7,564.7,538.67,52,"28,010.60",-,39,75.00
HINDNATGLS,EQ,06-05-2009,564.7,560.0,560.0,485.1,548.95,548.95,541.9,44,"23,843.65",-,43,97.73
HINDNATGLS,EQ,07-05-2009,548.95,525.2,525.3,525.2,525.3,525.3,525.28,30,"15,758.50",-,30,100.00
HINDNATGLS,EQ,08-05-2009,525.3,497.1,540.0,497.1,539.0,539.0,520.06,121,"62,927.50",-,11,9.09
HINDNATGLS,EQ,11-05-2009,539.0,515.0,515.0,515.0,515.0,515.0,515.0,73,"37,595.00",-,73,100.00
HINDNATGLS,EQ,12-05-2009,515.0,506.0,514.05,506.0,514.05,514.05,513.45,27,"13,863.25",-,27,100.00
HINDNATGLS,EQ,13-05-2009,514.05,491.0,516.0,491.0,515.1,515.1,507.93,29,"14,730.00",-,29,100.00
HINDNATGLS,EQ,14-05-2009,515.1,510.0,543.0,496.0,506.65,506.8,504.07,214,"1,07,871.25",-,110,51.40
HINDNATGLS,EQ,15-05-2009,506.8,533.0,568.8,510.1,510.1,554.0,550.53,121,"66,614.50",-,120,99.17
HINDNATGLS,EQ,19-05-2009,554.0,510.1,572.0,510.1,560.0,560.0,546.61,50,"27,330.50",-,50,100.00
HINDNATGLS,EQ,20-05-2009,560.0,570.0,670.0,561.0,613.0,617.3,604.61,468,"2,82,957.80",-,165,35.26
HINDNATGLS,EQ,21-05-2009,617.3,618.0,650.0,603.0,610.1,610.65,627.0,488,"3,05,976.50",-,328,67.21
HINDNATGLS,EQ,22-05-2009,610.65,603.0,655.0,583.0,655.0,634.25,622.41,245,"1,52,490.00",-,88,35.92
HINDNATGLS,EQ,25-05-2009,634.25,719.9,747.8,667.0,690.0,690.3,710.75,296,"2,10,381.60",-,173,58.45
HINDNATGLS,EQ,26-05-2009,690.3,748.0,748.0,650.0,650.0,655.15,698.62,58,"40,519.80",-,36,62.07
HINDNATGLS,EQ,27-05-2009,655.15,641.9,664.0,635.0,635.0,644.35,644.73,24,"15,473.50",-,13,54.17
HINDNATGLS,EQ,28-05-2009,644.35,630.0,676.9,630.0,676.9,676.9,668.93,30,"20,068.00",-,25,83.33
