SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
HYDROS&S,EQ,2010-01-11,35.3,42.4,42.4,38.05,42.4,42.35,41.84,"19,460","8,14,146.40",-,"4,178",21.47
HYDROS&S,EQ,2010-01-12,42.35,44.35,44.35,38.3,38.6,38.7,41.09,"12,003","4,93,255.60",-,"6,792",56.59
HYDROS&S,EQ,2010-01-13,38.7,39.0,42.8,35.2,41.35,41.05,40.22,"5,997","2,41,191.70",-,"2,634",43.92
HYDROS&S,EQ,2010-01-14,41.05,42.0,43.3,39.65,40.0,40.0,41.19,"2,344","96,556.50",-,"1,425",60.79
HYDROS&S,EQ,2010-01-15,40.0,40.15,41.6,38.15,38.15,39.3,40.47,"1,756","71,062.75",-,"1,315",74.89
HYDROS&S,EQ,2010-01-18,39.3,38.45,38.75,37.5,37.5,38.3,38.4,256,"9,829.25",-,200,78.12
HYDROS&S,EQ,2010-01-19,38.3,38.8,40.95,38.8,38.8,38.8,39.07,552,"21,565.20",-,532,96.38
HYDROS&S,EQ,2010-01-20,38.8,38.0,39.25,35.9,36.35,37.65,38.55,908,"35,001.75",-,795,87.56
HYDROS&S,EQ,2010-01-21,37.65,38.0,38.0,36.35,36.35,36.95,37.77,"1,356","51,221.95",-,"1,346",99.26
HYDROS&S,EQ,2010-01-22,36.95,37.25,38.95,36.7,36.7,36.8,37.78,780,"29,470.70",-,346,44.36
HYDROS&S,EQ,2010-01-25,36.8,33.95,38.5,33.95,35.1,35.1,35.02,916,"32,080.80",-,400,43.67
HYDROS&S,EQ,2010-01-28,35.1,33.2,36.8,33.2,36.8,34.3,34.35,283,"9,722.05",-,282,99.65
HYDROS&S,EQ,2010-01-29,34.3,36.0,39.8,32.5,35.75,35.9,36.69,"4,034","1,48,007.55",-,"1,603",39.74
HYDROS&S,EQ,2010-02-01,35.9,36.0,36.0,34.9,36.0,36.0,35.62,305,"10,865.00",-,105,34.43
HYDROS&S,EQ,2010-02-02,36.0,36.0,36.0,35.5,35.5,35.5,35.72,246,"8,788.00",-,246,100.00
HYDROS&S,EQ,2010-02-03,35.5,34.1,34.1,34.1,34.1,34.1,34.1,10,341.00,-,10,100.00
HYDROS&S,EQ,2010-02-08,34.1,34.2,40.35,32.2,34.3,34.3,33.99,241,"8,191.50",-,132,54.77
HYDROS&S,EQ,2010-02-09,34.3,31.3,37.25,31.3,32.85,32.85,32.95,800,"26,361.30",-,476,59.50
HYDROS&S,EQ,2010-02-10,32.85,32.0,33.0,32.0,32.55,32.55,32.66,347,"11,331.50",-,297,85.59
HYDROS&S,EQ,2010-02-11,32.55,32.15,33.0,32.0,32.0,32.0,32.16,396,"12,737.00",-,396,100.00
HYDROS&S,EQ,2010-02-15,32.0,31.8,38.4,31.8,38.4,38.4,37.6,"22,067","8,29,810.80",-,"7,208",32.66
HYDROS&S,EQ,2010-02-16,38.4,40.4,45.8,40.4,42.7,44.35,43.73,"2,82,902","1,23,70,479.55",-,"26,874",9.50
HYDROS&S,EQ,2010-02-17,44.35,42.9,42.95,37.65,38.75,38.45,40.09,"65,819","26,38,617.25",-,"16,571",25.18
HYDROS&S,EQ,2010-02-18,38.45,39.65,43.7,38.5,41.95,41.7,41.89,"2,42,684","1,01,66,377.10",-,"30,912",12.74
HYDROS&S,EQ,2010-02-19,41.7,41.95,41.95,38.4,39.3,39.25,40.43,"21,649","8,75,337.15",-,"8,269",38.20
HYDROS&S,EQ,2010-02-22,39.25,39.95,42.65,38.2,39.0,39.05,40.68,"26,935","10,95,630.95",-,"4,591",17.04
HYDROS&S,EQ,2010-02-23,39.05,39.5,40.2,35.0,36.6,36.2,37.39,"33,978","12,70,438.75",-,"7,482",22.02
HYDROS&S,EQ,2010-02-24,36.2,37.0,37.5,35.1,36.05,36.3,36.23,"11,035","3,99,751.80",-,"5,227",47.37
HYDROS&S,EQ,2010-02-25,36.3,36.35,36.5,34.0,35.0,34.45,35.09,"8,994","3,15,610.85",-,"4,253",47.29
HYDROS&S,EQ,2010-02-26,34.45,34.8,34.8,32.9,33.85,33.6,33.57,"6,479","2,17,503.35",-,"3,351",51.72
HYDROS&S,EQ,2010-03-02,33.6,33.95,35.35,33.6,34.4,34.8,34.51,"1,440","49,690.70",-,669,46.46
HYDROS&S,EQ,2010-03-03,34.8,34.1,39.0,34.1,37.15,36.75,37.31,"19,121","7,13,328.30",-,"4,889",25.57
