SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ICSA,EQ,2006-09-28,828.55,849.0,849.0,805.15,824.0,812.45,817.74,"5,318","43,48,730.95",-,"1,397",26.27
ICSA,EQ,2006-09-29,812.45,820.0,854.8,818.0,830.0,831.6,841.12,"20,743","1,74,47,266.25",-,"8,322",40.12
ICSA,EQ,2006-10-03,831.6,832.0,832.5,791.5,791.5,793.85,805.46,"8,258","66,51,453.60",-,"4,097",49.61
ICSA,EQ,2006-10-04,793.85,802.2,813.95,799.9,808.5,801.6,806.5,"2,760","22,25,945.75",-,"1,387",50.25
ICSA,EQ,2006-10-05,801.6,815.5,818.0,795.25,796.0,798.0,806.26,"3,771","30,40,399.30",-,"1,821",48.29
ICSA,EQ,2006-10-06,798.0,802.5,812.95,786.05,792.5,790.7,797.3,"2,310","18,41,756.25",-,907,39.26
ICSA,EQ,2006-10-09,790.7,761.0,800.0,761.0,789.0,787.65,791.25,"2,235","17,68,450.55",-,"1,358",60.76
ICSA,EQ,2006-10-10,787.65,776.0,798.5,763.75,763.75,768.0,778.08,"2,249","17,49,891.85",-,"1,295",57.58
ICSA,EQ,2006-10-11,768.0,772.6,804.0,748.0,748.05,753.55,779.08,"5,543","43,18,427.85",-,"2,518",45.43
ICSA,EQ,2006-10-12,753.55,774.0,785.0,750.0,780.0,780.85,767.0,"8,411","64,51,265.45",-,"6,247",74.27
ICSA,EQ,2006-10-13,780.85,785.0,788.0,768.0,769.0,771.15,779.22,"7,336","57,16,394.50",-,"4,115",56.09
ICSA,EQ,2006-10-16,771.15,780.0,784.0,771.55,776.2,776.55,776.46,"2,364","18,35,550.55",-,"1,927",81.51
ICSA,EQ,2006-10-17,776.55,771.0,777.95,750.0,750.0,758.0,761.7,"2,677","20,39,071.30",-,"2,104",78.6
ICSA,EQ,2006-10-18,758.0,769.0,800.0,750.1,779.9,775.95,782.45,"7,750","60,63,961.40",-,"4,364",56.31
ICSA,EQ,2006-10-19,775.95,788.0,789.0,770.0,772.6,775.95,780.68,"3,632","28,35,445.20",-,"2,616",72.03
ICSA,EQ,2006-10-20,775.95,783.9,833.0,780.6,800.0,806.15,811.05,"8,720","70,72,383.35",-,"4,394",50.39
ICSA,EQ,2006-10-21,806.15,824.0,824.0,809.0,819.9,818.5,815.94,"2,971","24,24,172.20",-,"2,099",70.65
ICSA,EQ,2006-10-23,818.5,838.0,838.0,810.0,821.9,813.75,818.0,"5,633","46,07,795.65",-,"3,756",66.68
ICSA,EQ,2006-10-26,813.75,832.0,850.0,822.5,835.0,832.3,839.32,"16,710","1,40,25,086.30",-,"8,621",51.59
ICSA,EQ,2006-10-27,832.3,850.0,865.9,832.15,841.7,840.95,847.97,"11,591","98,28,767.05",-,"7,067",60.97
ICSA,EQ,2006-10-30,840.95,845.0,845.0,806.0,818.75,812.9,828.53,"10,433","86,44,080.85",-,"6,791",65.09
ICSA,EQ,2006-10-31,812.9,820.05,839.5,800.25,813.3,816.7,819.23,"10,978","89,93,464.90",-,"6,369",58.02
ICSA,EQ,2006-11-01,816.7,821.0,827.95,810.0,810.0,812.4,816.05,"6,485","52,92,082.00",-,"4,705",72.55
ICSA,EQ,2006-11-02,812.4,815.0,893.65,807.55,893.65,893.65,864.76,"54,098","4,67,81,908.80",-,"21,201",39.19
