SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
INDIFRA,ST,2023-12-29,65.0,72.0,73.0,68.4,68.4,68.4,69.96,"3,70,000","2,58,84,300.00",178,"3,70,000",100.0
INDIFRA,ST,2024-01-01,68.4,65.0,65.0,65.0,65.0,65.0,65.0,"42,000","27,30,000.00",21,"42,000",100.0
INDIFRA,ST,2024-01-02,65.0,61.75,61.75,61.75,61.75,61.75,61.75,"4,000","2,47,000.00",2,"4,000",100.0
INDIFRA,ST,2024-01-03,61.75,58.7,58.7,58.7,58.7,58.7,58.7,"10,000","5,87,000.00",5,"10,000",100.0
INDIFRA,ST,2024-01-04,58.7,55.8,55.8,55.8,55.8,55.8,55.8,"32,000","17,85,600.00",16,"32,000",100.0
INDIFRA,ST,2024-01-05,55.8,53.05,53.05,53.05,53.05,53.05,53.05,"22,000","11,67,100.00",11,"22,000",100.0
INDIFRA,ST,2024-01-08,53.05,50.4,55.7,50.4,55.7,55.7,53.3,"2,34,000","1,24,73,200.00",115,"2,08,000",88.89
INDIFRA,ST,2024-01-09,55.7,58.45,58.45,58.45,58.45,58.45,58.45,"34,000","19,87,300.00",16,"34,000",100.0
INDIFRA,ST,2024-01-10,58.45,61.35,61.35,61.35,61.35,61.35,61.35,"20,000","12,27,000.00",10,"20,000",100.0
INDIFRA,ST,2024-01-11,61.35,64.4,64.4,64.4,64.4,64.4,64.4,"48,000","30,91,200.00",19,"48,000",100.0
INDIFRA,SM,2024-01-12,64.4,70.0,74.9,61.25,63.05,63.7,67.23,"4,02,000","2,70,24,900.00",187,"2,52,000",62.69
INDIFRA,SM,2024-01-15,63.7,59.0,64.0,58.55,60.1,60.3,60.67,"1,54,000","93,43,700.00",71,"1,08,000",70.13
INDIFRA,SM,2024-01-16,60.3,59.4,60.95,57.8,57.8,57.8,58.59,"1,26,000","73,82,400.00",55,"66,000",52.38
INDIFRA,SM,2024-01-17,57.8,59.8,59.8,54.1,56.0,56.0,56.49,"38,000","21,46,600.00",19,"22,000",57.89
INDIFRA,SM,2024-01-18,56.0,56.0,57.0,54.1,55.0,55.0,55.29,"44,000","24,32,800.00",22,"34,000",77.27
INDIFRA,SM,2024-01-19,55.0,55.6,57.7,55.05,55.6,55.85,56.17,"52,000","29,20,700.00",26,"26,000",50.0
INDIFRA,SM,2024-01-20,55.85,55.85,57.3,54.5,54.75,54.95,55.53,"52,000","28,87,700.00",25,"32,000",61.54
INDIFRA,SM,2024-01-23,54.95,54.75,54.9,52.0,52.0,52.1,53.19,"40,000","21,27,600.00",18,"34,000",85.0
INDIFRA,SM,2024-01-24,52.1,53.0,53.0,50.1,50.6,50.55,51.23,"74,000","37,90,700.00",30,"52,000",70.27
INDIFRA,SM,2024-01-25,50.55,50.1,51.5,48.6,51.0,51.0,49.89,"48,000","23,94,700.00",24,"32,000",66.67
INDIFRA,SM,2024-01-29,51.0,50.95,52.0,46.7,47.5,47.8,49.46,"1,08,000","53,42,200.00",46,"76,000",70.37
INDIFRA,SM,2024-01-30,47.8,46.3,47.5,45.5,47.2,47.3,46.36,"54,000","25,03,500.00",27,"38,000",70.37
INDIFRA,SM,2024-01-31,47.3,47.3,52.0,47.3,49.5,49.55,49.67,"46,000","22,85,000.00",23,"30,000",65.22
INDIFRA,SM,2024-02-01,49.55,50.1,51.55,50.1,51.5,51.5,50.91,"26,000","13,23,700.00",13,"18,000",69.23
INDIFRA,SM,2024-02-02,51.5,51.55,52.9,50.15,50.85,50.85,51.75,"24,000","12,42,100.00",12,"16,000",66.67
INDIFRA,SM,2024-02-05,50.85,49.75,49.75,46.0,46.0,46.0,48.58,"32,000","15,54,500.00",16,"28,000",87.5
INDIFRA,SM,2024-02-06,46.0,46.05,49.85,46.05,48.8,48.8,48.29,"30,000","14,48,600.00",15,"22,000",73.33
INDIFRA,SM,2024-02-07,48.8,48.8,49.8,47.55,48.25,48.6,48.62,"24,000","11,66,800.00",12,"16,000",66.67
INDIFRA,SM,2024-02-08,48.6,48.35,48.35,45.9,46.25,46.75,46.88,"36,000","16,87,800.00",18,"30,000",83.33
INDIFRA,SM,2024-02-09,46.75,46.25,46.95,46.05,46.9,46.9,46.66,"18,000","8,39,900.00",9,"14,000",77.78
INDIFRA,SM,2024-02-12,46.9,46.5,46.5,46.0,46.0,46.15,46.17,"6,000","2,77,000.00",3,"6,000",100.0
INDIFRA,SM,2024-02-13,46.15,44.6,46.0,44.1,46.0,46.0,44.67,"14,000","6,25,400.00",7,"12,000",85.71
INDIFRA,SM,2024-02-14,46.0,45.75,45.75,43.05,43.5,43.8,43.93,"16,000","7,02,900.00",8,"12,000",75.0
INDIFRA,SM,2024-02-15,43.8,43.85,47.0,43.85,47.0,46.25,45.54,"24,000","10,92,900.00",12,"20,000",83.33
INDIFRA,SM,2024-02-16,46.25,45.6,45.6,45.0,45.5,45.2,45.35,"14,000","6,34,900.00",7,"8,000",57.14
INDIFRA,SM,2024-02-19,45.2,45.0,45.0,45.0,45.0,45.0,45.0,"4,000","1,80,000.00",2,"4,000",100.0
INDIFRA,SM,2024-02-20,45.0,45.0,45.0,43.0,43.5,43.5,43.61,"14,000","6,10,600.00",7,"14,000",100.0
INDIFRA,SM,2024-02-21,43.5,44.05,44.1,44.0,44.0,44.05,44.05,"6,000","2,64,300.00",3,"4,000",66.67
INDIFRA,SM,2024-02-22,44.05,43.15,44.0,43.0,44.0,44.0,43.27,"10,000","4,32,700.00",5,"8,000",80.0
INDIFRA,SM,2024-02-23,44.0,45.9,45.95,44.35,44.35,45.3,45.58,"12,000","5,47,000.00",6,"8,000",66.67
INDIFRA,SM,2024-02-26,45.3,44.5,44.5,44.5,44.5,44.5,44.5,"2,000","89,000.00",1,"2,000",100.0
INDIFRA,SM,2024-02-27,44.5,44.3,45.95,43.25,45.95,45.95,44.31,"8,000","3,54,500.00",4,"6,000",75.0
INDIFRA,SM,2024-02-28,45.95,45.35,45.35,43.15,43.15,43.15,44.25,"4,000","1,77,000.00",2,"2,000",50.0
INDIFRA,SM,2024-02-29,43.15,43.1,43.15,43.1,43.15,43.15,43.13,"6,000","2,58,800.00",3,"6,000",100.0
INDIFRA,SM,2024-03-01,43.15,43.2,43.5,43.2,43.5,43.5,43.26,"10,000","4,32,600.00",5,"10,000",100.0
