SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
INTLTRAVHS,EQ,1996-01-01,71.60,70.6,70.6,70.55,-,70.55,70.58,200,"14,115.00",-,-,-
INTLTRAVHS,EQ,1996-01-02,70.55,71.25,71.25,65.0,-,65.9,67.11,"1,200","80,530.00",-,-,-
INTLTRAVHS,EQ,1996-01-03,65.90,67.0,67.5,65.0,-,65.0,66.04,"1,600","1,05,660.00",-,-,-
INTLTRAVHS,EQ,1996-01-04,65.00,66.0,66.0,65.0,-,65.9,65.41,700,"45,790.00",-,-,-
INTLTRAVHS,EQ,1996-01-05,65.90,65.05,66.65,63.5,-,64.95,64.66,"1,000","64,660.00",-,-,-
INTLTRAVHS,EQ,1996-01-08,64.95,64.95,63.0,62.1,-,62.75,62.54,700,"43,775.00",-,-,-
INTLTRAVHS,EQ,1996-01-09,62.75,63.5,63.5,62.05,-,63.5,62.62,900,"56,360.00",-,-,-
INTLTRAVHS,EQ,1996-01-10,63.50,62.0,63.5,62.0,-,63.5,62.56,800,"50,045.00",-,-,-
INTLTRAVHS,EQ,1996-01-11,63.50,63.95,63.95,62.05,-,62.05,63.1,700,"44,170.00",-,-,-
INTLTRAVHS,EQ,1996-01-12,62.05,61.05,62.95,61.05,-,62.75,62.61,"1,500","93,915.00",-,-,-
INTLTRAVHS,EQ,1996-01-15,62.75,62.5,62.5,62.0,-,62.0,62.38,400,"24,950.00",-,-,-
INTLTRAVHS,EQ,1996-01-16,62.00,62.0,62.0,61.0,-,61.0,61.33,"1,500","92,000.00",-,-,-
INTLTRAVHS,EQ,1996-01-17,61.00,61.0,61.0,60.0,-,60.0,60.56,800,"48,450.00",-,-,-
INTLTRAVHS,EQ,1996-01-18,60.00,58.0,60.0,57.0,-,57.0,58.67,"1,800","1,05,600.00",-,-,-
INTLTRAVHS,EQ,1996-01-19,57.00,58.0,58.0,57.6,-,58.0,57.88,600,"34,730.00",-,-,-
INTLTRAVHS,EQ,1996-01-22,58.00,58.0,60.0,58.25,-,58.25,59.27,"1,000","59,265.00",-,-,-
INTLTRAVHS,EQ,1996-01-23,58.25,59.1,59.1,58.0,-,58.0,58.54,700,"40,975.00",-,-,-
INTLTRAVHS,EQ,1996-01-24,58.00,58.0,58.0,53.0,-,55.5,55.91,"1,900","1,06,230.00",-,-,-
INTLTRAVHS,EQ,1996-01-25,55.50,55.5,53.05,51.7,-,51.95,52.59,"1,500","78,890.00",-,-,-
INTLTRAVHS,EQ,1996-01-29,51.95,51.95,53.25,52.0,-,53.0,52.93,"2,100","1,11,155.00",-,-,-
INTLTRAVHS,EQ,1996-01-30,53.00,53.0,55.0,54.0,-,54.8,54.44,"2,300","1,25,220.00",-,-,-
INTLTRAVHS,EQ,1996-01-31,54.80,54.8,60.0,58.0,-,58.55,58.51,800,"46,805.00",-,-,-
INTLTRAVHS,EQ,1996-02-01,58.55,58.0,62.5,58.0,-,61.5,60.2,"1,000","60,200.00",-,-,-
INTLTRAVHS,EQ,1996-02-02,61.50,62.45,66.0,60.85,-,63.25,62.97,"2,200","1,38,530.00",-,-,-
INTLTRAVHS,EQ,1996-02-05,63.25,69.0,69.0,64.0,-,65.0,65.92,"1,600","1,05,465.00",-,-,-
INTLTRAVHS,EQ,1996-02-06,65.00,68.0,70.0,65.0,-,65.0,67.33,"4,700","3,16,440.00",-,-,-
INTLTRAVHS,EQ,1996-02-07,65.00,62.0,65.0,62.0,-,62.0,63.6,"1,300","82,680.00",-,-,-
INTLTRAVHS,EQ,1996-02-08,62.00,63.75,65.0,62.1,-,65.0,63.51,900,"57,155.00",-,-,-
INTLTRAVHS,EQ,1996-02-09,65.00,67.5,71.1,67.5,-,71.1,69.87,"1,800","1,25,770.00",-,-,-
INTLTRAVHS,EQ,1996-02-12,71.10,71.1,78.0,73.05,-,75.5,75.53,"4,800","3,62,540.00",-,-,-
INTLTRAVHS,EQ,1996-02-13,75.50,75.5,74.0,70.0,-,71.0,72.33,"3,700","2,67,620.00",-,-,-
INTLTRAVHS,EQ,1996-02-14,71.00,76.0,78.0,75.1,-,78.0,76.82,"3,400","2,61,190.00",-,-,-
INTLTRAVHS,EQ,1996-02-15,78.00,78.0,86.0,77.0,-,86.0,83.63,"5,500","4,59,975.00",-,-,-
INTLTRAVHS,EQ,1996-02-16,86.00,84.5,85.5,80.1,-,82.0,83.34,"4,500","3,75,030.00",-,-,-
INTLTRAVHS,EQ,1996-02-19,82.00,82.0,82.0,79.75,-,81.55,80.94,"4,200","3,39,965.00",-,-,-
INTLTRAVHS,EQ,1996-02-20,81.55,81.55,80.0,73.55,-,74.5,77.1,"5,300","4,08,645.00",-,-,-
INTLTRAVHS,EQ,1996-02-22,74.50,76.0,80.0,76.0,-,80.0,78.51,"2,700","2,11,980.00",-,-,-
INTLTRAVHS,EQ,1996-02-23,80.00,79.0,79.0,78.0,-,78.1,78.36,"1,200","94,030.00",-,-,-
INTLTRAVHS,EQ,1996-02-26,78.10,78.1,78.5,76.0,-,76.65,77.58,"1,600","1,24,125.00",-,-,-
INTLTRAVHS,EQ,1996-02-27,76.65,76.65,78.5,73.0,-,78.15,76.18,"2,100","1,59,975.00",-,-,-
INTLTRAVHS,EQ,1996-02-28,78.15,79.0,79.0,76.0,-,76.0,76.66,"1,000","76,655.00",-,-,-
INTLTRAVHS,EQ,1996-02-29,76.00,76.0,73.0,70.5,-,70.5,72.38,600,"43,430.00",-,-,-
INTLTRAVHS,EQ,1996-03-01,70.50,70.5,73.5,70.0,-,70.0,71.5,"2,700","1,93,040.00",-,-,-
INTLTRAVHS,EQ,1996-03-04,70.00,71.0,71.0,66.5,-,66.75,67.29,"3,100","2,08,605.00",-,-,-
INTLTRAVHS,EQ,1996-03-06,66.75,67.0,69.5,67.0,-,68.5,68.42,"1,600","1,09,470.00",-,-,-
INTLTRAVHS,EQ,1996-03-07,68.50,68.9,70.0,68.05,-,69.0,68.95,"2,600","1,79,270.00",-,-,-
INTLTRAVHS,EQ,1996-03-08,69.00,68.15,68.95,68.0,-,68.3,68.38,"2,600","1,77,790.00",-,-,-
INTLTRAVHS,EQ,1996-03-11,68.30,68.3,66.5,64.5,-,66.4,65.54,"1,100","72,095.00",-,-,-
INTLTRAVHS,EQ,1996-03-12,66.40,66.4,66.5,64.1,-,64.1,65.56,"1,600","1,04,900.00",-,-,-
INTLTRAVHS,EQ,1996-03-13,64.10,67.0,67.5,67.0,-,67.5,67.25,200,"13,450.00",-,-,-
INTLTRAVHS,EQ,1996-03-14,67.50,68.0,69.0,66.0,-,66.0,67.19,800,"53,755.00",-,-,-
INTLTRAVHS,EQ,1996-03-15,66.00,68.0,68.95,66.75,-,68.95,68.06,"1,200","81,675.00",-,-,-
INTLTRAVHS,EQ,1996-03-18,68.95,65.0,65.0,62.0,-,62.55,62.8,700,"43,960.00",-,-,-
INTLTRAVHS,EQ,1996-03-19,62.55,62.4,62.5,60.0,-,60.95,61.29,"3,500","2,14,525.00",-,-,-
INTLTRAVHS,EQ,1996-03-21,60.95,60.95,65.0,62.0,-,65.0,63.5,200,"12,700.00",-,-,-
INTLTRAVHS,EQ,1996-03-22,65.00,65.0,65.0,62.0,-,62.1,63.04,700,"44,130.00",-,-,-
INTLTRAVHS,EQ,1996-03-25,62.10,62.1,63.5,62.0,-,62.5,62.56,"1,200","75,070.00",-,-,-
INTLTRAVHS,EQ,1996-03-26,62.50,61.0,61.0,60.0,-,60.0,60.23,"1,900","1,14,440.00",-,-,-
INTLTRAVHS,EQ,1996-03-27,60.00,60.0,63.9,60.3,-,61.0,62.06,"2,200","1,36,535.00",-,-,-
INTLTRAVHS,EQ,1996-03-28,61.00,63.0,63.95,62.9,-,63.95,63.28,"1,000","63,280.00",-,-,-
INTLTRAVHS,EQ,1996-03-29,63.95,66.8,69.45,66.5,-,67.25,67.81,"3,000","2,03,415.00",-,-,-
INTLTRAVHS,EQ,1996-04-01,67.25,66.5,70.0,66.5,-,70.0,69.23,900,"62,310.00",-,-,-
INTLTRAVHS,EQ,1996-04-02,70.00,70.0,71.5,69.0,-,70.0,69.81,"2,100","1,46,610.00",-,-,-
INTLTRAVHS,EQ,1996-04-03,70.00,71.5,74.0,71.0,-,73.65,72.73,"2,900","2,10,920.00",-,-,-
INTLTRAVHS,EQ,1996-04-04,73.65,73.65,71.8,69.1,-,71.3,70.96,"2,100","1,49,010.00",-,-,-
INTLTRAVHS,EQ,1996-04-08,71.30,69.5,72.0,69.0,-,71.7,70.78,"1,800","1,27,410.00",-,-,-
INTLTRAVHS,EQ,1996-04-09,71.70,70.5,72.0,70.0,-,71.85,71.07,"2,900","2,06,090.00",-,-,-
INTLTRAVHS,EQ,1996-04-10,71.85,71.0,72.0,71.0,-,71.25,71.52,"1,300","92,970.00",-,-,-
INTLTRAVHS,EQ,1996-04-11,71.25,71.25,71.05,70.5,-,71.0,70.89,400,"28,355.00",-,-,-
INTLTRAVHS,EQ,1996-04-12,71.00,71.0,70.8,68.5,-,70.6,69.66,"2,000","1,39,325.00",-,-,-
INTLTRAVHS,EQ,1996-04-15,70.60,70.0,71.0,69.9,-,71.0,70.49,"1,600","1,12,780.00",-,-,-
INTLTRAVHS,EQ,1996-04-16,71.00,71.0,71.0,69.0,-,69.0,69.79,"2,800","1,95,425.00",-,-,-
INTLTRAVHS,EQ,1996-04-17,69.00,69.0,73.5,69.0,-,71.9,71.34,"3,700","2,63,955.00",-,-,-
INTLTRAVHS,EQ,1996-04-18,71.90,71.9,79.1,77.5,-,79.05,78.92,"3,200","2,52,540.00",-,-,-
INTLTRAVHS,EQ,1996-04-19,79.05,79.05,85.0,80.0,-,80.6,81.87,"8,000","6,54,985.00",-,-,-
INTLTRAVHS,EQ,1996-04-22,80.60,80.6,84.0,74.0,-,77.35,78.73,"4,400","3,46,390.00",-,-,-
INTLTRAVHS,EQ,1996-04-23,77.35,77.35,77.0,74.05,-,74.3,75.18,"5,400","4,05,990.00",-,-,-
INTLTRAVHS,EQ,1996-04-24,74.30,74.3,81.6,77.25,-,79.15,79.81,"3,400","2,71,340.00",-,-,-
INTLTRAVHS,EQ,1996-04-25,79.15,78.0,81.0,78.0,-,78.5,79.61,"2,400","1,91,060.00",-,-,-
INTLTRAVHS,EQ,1996-04-26,78.50,78.5,78.0,76.0,-,77.65,77.08,"2,500","1,92,690.00",-,-,-
INTLTRAVHS,EQ,1996-04-29,77.65,74.0,75.9,74.0,-,75.55,75.02,"1,100","82,520.00",-,-,-
INTLTRAVHS,EQ,1996-04-30,75.55,75.0,76.45,74.0,-,76.15,75.89,"2,700","2,04,895.00",-,-,-
INTLTRAVHS,EQ,1996-05-01,76.15,76.15,80.45,76.0,-,78.5,79.02,"2,600","2,05,440.00",-,-,-
INTLTRAVHS,EQ,1996-05-02,78.50,78.5,78.0,77.0,-,78.0,77.74,"2,300","1,78,810.00",-,-,-
INTLTRAVHS,EQ,1996-05-03,78.00,78.0,79.0,77.0,-,77.45,77.91,"2,100","1,63,615.00",-,-,-
INTLTRAVHS,EQ,1996-05-06,77.45,75.5,75.55,72.0,-,74.5,74.35,"1,800","1,33,830.00",-,-,-
INTLTRAVHS,EQ,1996-05-07,74.50,74.0,74.5,71.75,-,72.15,72.95,"5,700","4,15,805.00",-,-,-
INTLTRAVHS,EQ,1996-05-08,72.15,73.0,75.3,71.0,-,75.2,73.82,"4,300","3,17,405.00",-,-,-
INTLTRAVHS,EQ,1996-05-09,75.20,73.2,74.25,73.0,-,73.8,73.62,"1,200","88,345.00",-,-,-
INTLTRAVHS,EQ,1996-05-10,73.80,70.0,71.25,70.0,-,70.8,70.73,"2,500","1,76,830.00",-,-,-
INTLTRAVHS,EQ,1996-05-13,70.80,70.8,74.0,72.75,-,73.5,73.58,"3,200","2,35,445.00",-,-,-
INTLTRAVHS,EQ,1996-05-14,73.50,73.5,73.4,70.25,-,72.0,72.03,"2,700","1,94,490.00",-,-,-
INTLTRAVHS,EQ,1996-05-15,72.00,72.0,74.0,71.5,-,73.85,73.34,"1,900","1,39,350.00",-,-,-
INTLTRAVHS,EQ,1996-05-16,73.85,73.85,79.0,76.0,-,76.5,77.44,"4,500","3,48,475.00",-,-,-
INTLTRAVHS,EQ,1996-05-17,76.50,76.5,76.5,75.05,-,75.55,75.56,"3,800","2,87,115.00",-,-,-
INTLTRAVHS,EQ,1996-05-20,75.55,75.55,72.75,70.4,-,71.85,71.7,"2,100","1,50,570.00",-,-,-
INTLTRAVHS,EQ,1996-05-21,71.85,71.85,71.0,69.5,-,71.0,70.42,"3,000","2,11,250.00",-,-,-
INTLTRAVHS,EQ,1996-05-22,71.00,71.0,72.0,70.5,-,70.75,71.41,"1,300","92,830.00",-,-,-
INTLTRAVHS,EQ,1996-05-23,70.75,71.0,71.25,70.5,-,70.5,70.87,900,"63,780.00",-,-,-
INTLTRAVHS,EQ,1996-05-24,70.50,70.0,71.5,69.65,-,70.4,70.55,"1,000","70,545.00",-,-,-
INTLTRAVHS,EQ,1996-05-27,70.40,70.4,69.0,68.0,-,69.0,68.64,700,"48,045.00",-,-,-
INTLTRAVHS,EQ,1996-05-28,69.00,69.0,68.0,66.0,-,66.4,66.88,"2,300","1,53,835.00",-,-,-
INTLTRAVHS,EQ,1996-05-29,66.40,67.0,71.7,67.0,-,71.5,70.6,"1,900","1,34,145.00",-,-,-
INTLTRAVHS,EQ,1996-05-30,71.50,73.1,73.1,71.05,-,71.2,71.88,"2,500","1,79,690.00",-,-,-
INTLTRAVHS,EQ,1996-05-31,71.20,70.5,71.95,70.05,-,70.05,70.96,"2,400","1,70,315.00",-,-,-
INTLTRAVHS,EQ,1996-06-03,70.05,70.05,75.0,71.6,-,71.75,72.34,"2,300","1,66,380.00",-,-,-
INTLTRAVHS,EQ,1996-06-04,71.75,71.75,73.25,71.05,-,71.3,71.61,"4,400","3,15,085.00",-,-,-
INTLTRAVHS,EQ,1996-06-05,71.30,71.5,71.6,70.8,-,71.0,71.26,"2,600","1,85,280.00",-,-,-
INTLTRAVHS,EQ,1996-06-06,71.00,71.25,72.5,71.25,-,71.5,71.72,"2,600","1,86,480.00",-,-,-
INTLTRAVHS,EQ,1996-06-07,71.50,71.3,72.0,70.75,-,71.0,71.06,"2,500","1,77,655.00",-,-,-
INTLTRAVHS,EQ,1996-06-10,71.00,71.0,72.25,71.0,-,71.05,71.26,"1,700","1,21,150.00",-,-,-
INTLTRAVHS,EQ,1996-06-11,71.05,71.0,71.0,68.5,-,68.75,69.62,"4,800","3,34,185.00",-,-,-
INTLTRAVHS,EQ,1996-06-12,68.75,72.5,72.5,70.25,-,70.5,71.25,"2,300","1,63,865.00",-,-,-
INTLTRAVHS,EQ,1996-06-13,70.50,71.0,72.5,71.0,-,71.9,71.85,"1,600","1,14,955.00",-,-,-
INTLTRAVHS,EQ,1996-06-14,71.90,72.5,79.4,72.35,-,79.2,76.51,"3,700","2,83,100.00",-,-,-
