SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
IOLB,EQ,2007-07-19,597.5,616.0,623.95,608.0,610.0,610.05,613.46,"46,375","2,84,49,379.35",-,"33,229",71.65
IOLB,EQ,2007-07-20,610.05,613.5,616.0,600.2,609.75,603.8,606.95,"63,630","3,86,20,079.80",-,"59,198",93.03
IOLB,EQ,2007-07-23,603.8,600.05,612.5,600.0,602.05,605.45,602.44,"3,111","18,74,204.80",-,"2,199",70.68
IOLB,EQ,2007-07-24,605.45,603.0,614.7,600.05,611.75,613.3,609.94,"19,644","1,19,81,727.40",-,"16,963",86.35
IOLB,EQ,2007-07-25,613.3,609.1,609.1,601.55,605.0,601.6,607.01,"16,156","98,06,812.30",-,"14,434",89.34
IOLB,EQ,2007-07-26,601.6,603.15,606.0,591.05,599.85,600.8,600.44,"1,96,807","11,81,71,306.20",-,"1,91,476",97.29
IOLB,EQ,2007-07-27,600.8,579.55,594.9,571.0,571.5,571.35,577.91,"25,435","1,46,99,067.10",-,"23,482",92.32
IOLB,EQ,2007-07-30,571.35,576.8,576.8,560.3,570.0,570.4,572.27,"4,030","23,06,257.50",-,"2,177",54.02
IOLB,EQ,2007-07-31,570.4,578.0,592.8,566.55,577.15,579.55,577.14,"2,782","16,05,598.60",-,"2,043",73.44
IOLB,EQ,2007-08-01,579.55,565.0,583.0,551.1,560.0,555.3,569.54,"3,19,069","18,17,21,467.55",-,"2,99,649",93.91
IOLB,EQ,2007-08-02,555.3,554.0,577.8,550.0,568.0,560.05,564.2,"34,266","1,93,32,844.55",-,"23,310",68.03
IOLB,EQ,2007-08-03,560.05,577.95,577.95,562.5,570.0,567.4,569.67,"32,066","1,82,67,012.05",-,"14,369",44.81
IOLB,EQ,2007-08-06,567.4,545.0,565.0,541.0,565.0,562.6,551.39,"17,450","96,21,795.80",-,"7,189",41.2
IOLB,EQ,2007-08-07,562.6,577.9,577.9,560.3,562.0,561.75,568.44,"17,363","98,69,747.90",-,"9,266",53.37
IOLB,EQ,2007-08-08,561.75,576.9,579.0,565.0,570.05,570.9,570.42,"57,418","3,27,52,220.00",-,"35,963",62.63
IOLB,EQ,2007-08-09,570.9,587.8,587.8,550.55,560.0,560.9,562.79,"24,409","1,37,37,159.25",-,"16,418",67.26
IOLB,EQ,2007-08-10,560.9,540.2,555.0,537.5,552.85,549.3,547.96,"2,980","16,32,927.15",-,"1,991",66.81
IOLB,EQ,2007-08-13,549.3,555.0,558.0,545.1,550.0,550.05,554.93,"7,975","44,25,559.95",-,"7,563",94.83
IOLB,EQ,2007-08-14,550.05,542.0,549.0,533.6,538.0,539.1,540.24,"1,013","5,47,267.70",-,579,57.16
IOLB,EQ,2007-08-16,539.1,519.0,534.6,512.15,512.15,512.15,518.03,"5,324","27,57,980.40",-,"4,359",81.87
IOLB,EQ,2007-08-17,512.15,503.0,508.0,486.55,491.7,491.75,494.16,"25,707","1,27,03,249.70",-,"13,236",51.49
IOLB,EQ,2007-08-20,491.75,512.0,513.0,498.0,510.0,509.95,506.72,"39,098","1,98,11,626.60",-,"29,414",75.23
IOLB,EQ,2007-08-21,509.95,531.95,532.5,484.45,484.45,484.45,490.69,"19,576","96,05,757.80",-,"14,611",74.64
IOLB,EQ,2007-08-22,484.45,499.95,504.0,460.25,460.25,460.25,464.2,"29,436","1,36,64,198.75",-,"22,595",76.76
IOLB,EQ,2007-08-23,460.25,451.6,464.0,437.25,437.25,437.25,439.75,"3,89,334","17,12,08,131.50",-,"2,84,472",73.07
IOLB,EQ,2007-08-24,437.25,420.0,458.9,420.0,456.9,456.25,447.05,"1,79,316","8,01,62,960.15",-,"99,576",55.53
IOLB,EQ,2007-08-27,456.25,463.0,479.0,460.0,475.5,476.45,472.63,"33,613","1,58,86,582.70",-,"22,813",67.87
IOLB,EQ,2007-08-28,476.45,479.95,492.3,472.05,485.15,487.7,486.05,"48,346","2,34,98,542.10",-,"39,178",81.04
IOLB,EQ,2007-08-29,487.7,464.25,499.0,464.25,488.5,489.05,488.02,"1,08,165","5,27,86,999.35",-,"60,295",55.74
IOLB,EQ,2007-08-30,489.05,495.0,495.0,481.0,485.0,487.1,487.16,"29,634","1,44,36,455.60",-,"25,186",84.99
IOLB,EQ,2007-08-31,487.1,488.9,494.0,483.0,487.0,491.3,489.1,"45,083","2,20,50,249.00",-,"32,352",71.76
IOLB,EQ,2007-09-03,491.3,505.0,510.9,486.0,500.0,501.8,497.57,"54,000","2,68,68,643.20",-,"44,959",83.26
IOLB,EQ,2007-09-04,501.8,486.1,509.5,486.1,509.5,506.6,504.28,"44,010","2,21,93,519.70",-,"37,018",84.11
IOLB,EQ,2007-09-05,506.6,505.25,514.75,485.0,491.3,501.3,501.52,"82,572","4,14,11,824.40",-,"73,573",89.1
IOLB,EQ,2007-09-06,501.3,500.0,508.0,495.0,508.0,506.25,503.06,"46,105","2,31,93,557.30",-,"43,710",94.81
IOLB,EQ,2007-09-07,506.25,516.9,517.0,490.0,498.0,499.75,500.34,"1,38,248","6,91,70,608.80",-,"1,23,500",89.33
IOLB,EQ,2007-09-10,499.75,466.25,500.0,466.25,498.2,499.05,496.03,"93,755","4,65,05,645.55",-,"90,470",96.5
IOLB,EQ,2007-09-11,499.05,500.0,502.0,497.0,500.0,500.15,499.41,"66,801","3,33,60,831.30",-,"63,600",95.21
IOLB,EQ,2007-09-12,500.15,467.25,530.0,467.25,515.0,519.5,517.23,"70,815","3,66,27,371.80",-,"53,027",74.88
IOLB,EQ,2007-09-13,519.5,532.9,532.9,517.05,517.25,523.65,525.4,"42,431","2,22,93,224.30",-,"29,545",69.63
IOLB,EQ,2007-09-14,523.65,524.05,526.0,515.05,524.8,522.0,521.79,"48,719","2,54,21,228.45",-,"42,085",86.38
IOLB,EQ,2007-09-17,522.0,521.0,530.0,520.0,525.0,527.85,527.48,"34,534","1,82,16,077.60",-,"32,517",94.16
IOLB,EQ,2007-09-18,527.85,530.0,533.0,526.0,530.05,530.0,530.38,"62,267","3,30,25,086.30",-,"56,322",90.45
IOLB,EQ,2007-09-19,530.0,530.0,552.0,530.0,540.0,539.9,541.67,"58,114","3,14,78,586.45",-,"41,005",70.56
IOLB,EQ,2007-09-20,539.9,539.85,545.0,535.0,539.7,543.55,542.96,"39,732","2,15,72,943.00",-,"37,494",94.37
IOLB,EQ,2007-09-21,543.55,545.0,547.0,535.05,535.05,540.05,541.56,"25,846","1,39,97,239.30",-,"23,886",92.42
IOLB,EQ,2007-09-24,540.05,540.0,545.0,529.0,530.0,530.0,533.95,"19,967","1,06,61,468.20",-,"17,325",86.77
IOLB,EQ,2007-09-25,530.0,530.0,532.0,525.0,525.0,526.55,528.21,"22,222","1,17,37,792.10",-,"21,663",97.48
IOLB,EQ,2007-09-26,526.55,528.0,545.0,525.0,540.0,539.3,536.36,"18,084","96,99,535.30",-,"16,388",90.62
IOLB,EQ,2007-09-27,539.3,530.05,548.95,530.05,535.05,539.55,542.27,"28,190","1,52,86,527.95",-,"24,111",85.53
IOLB,EQ,2007-09-28,539.55,538.0,545.0,535.0,539.0,539.0,541.35,"10,105","54,70,312.20",-,"8,174",80.89
IOLB,EQ,2007-10-01,539.0,567.0,567.0,536.05,544.7,542.45,543.63,"31,593","1,71,74,976.30",-,"21,812",69.04
IOLB,EQ,2007-10-03,542.45,558.8,558.8,520.45,537.0,527.4,529.24,"36,021","1,90,63,836.45",-,"32,492",90.2
IOLB,EQ,2007-10-04,527.4,503.0,530.0,503.0,515.95,514.5,518.64,"1,28,600","6,66,96,544.80",-,"75,673",58.84
IOLB,EQ,2007-10-05,514.5,511.0,522.0,501.0,508.6,512.25,509.62,"25,996","1,32,48,209.55",-,"20,123",77.41
IOLB,EQ,2007-10-08,512.25,511.0,511.5,489.0,494.75,490.7,497.28,"34,214","1,70,13,769.25",-,"30,071",87.89
IOLB,EQ,2007-10-09,490.7,490.0,524.0,490.0,517.25,519.95,507.84,"2,17,494","11,04,51,657.20",-,"1,61,756",74.37
IOLB,EQ,2007-10-10,519.95,539.9,540.0,515.0,518.0,522.05,524.53,"1,05,662","5,54,23,296.10",-,"80,931",76.59
IOLB,EQ,2007-10-11,522.05,519.0,555.0,515.0,530.0,532.75,536.38,"47,155","2,52,93,082.05",-,"38,292",81.2
IOLB,EQ,2007-10-12,532.75,537.0,553.8,537.0,548.5,547.55,546.82,"68,279","3,73,36,244.35",-,"38,315",56.12
IOLB,EQ,2007-10-15,547.55,545.0,568.0,543.0,550.0,550.55,556.3,"56,240","3,12,86,532.70",-,"30,037",53.41
IOLB,EQ,2007-10-16,550.55,555.0,555.0,506.0,540.0,540.05,543.2,"51,343","2,78,89,664.55",-,"44,459",86.59
IOLB,EQ,2007-10-17,540.05,491.0,530.0,491.0,515.0,518.3,510.16,"9,889","50,44,951.50",-,"5,443",55.04
IOLB,EQ,2007-10-18,518.3,523.1,533.5,505.0,506.0,509.5,512.87,"7,987","40,96,292.95",-,"6,700",83.89
IOLB,EQ,2007-10-19,509.5,500.0,507.0,481.0,499.95,495.5,494.46,"29,481","1,45,77,067.60",-,"24,970",84.7
IOLB,EQ,2007-10-22,495.5,509.0,509.0,486.05,495.0,497.65,499.53,"67,937","3,39,36,601.10",-,"63,602",93.62
IOLB,EQ,2007-10-23,497.65,513.0,513.0,488.25,494.0,495.4,494.26,"49,424","2,44,28,282.60",-,"38,601",78.1
IOLB,EQ,2007-10-24,495.4,499.0,519.9,490.1,512.0,505.7,503.53,"96,281","4,84,80,106.05",-,"84,568",87.83
IOLB,EQ,2007-10-25,505.7,505.0,508.95,485.0,490.5,490.5,495.68,"23,538","1,16,67,230.75",-,"22,748",96.64
IOLB,EQ,2007-10-26,490.5,519.0,519.0,490.0,503.0,506.3,499.63,"1,64,381","8,21,29,295.55",-,"31,095",18.92
IOLB,EQ,2007-10-29,506.3,506.3,534.95,501.2,517.0,516.85,514.07,"73,646","3,78,58,948.55",-,"12,847",17.44
IOLB,EQ,2007-10-30,516.85,515.0,517.0,507.0,510.0,512.9,512.21,"8,911","45,64,269.00",-,"8,279",92.91
IOLB,EQ,2007-10-31,512.9,508.0,513.0,500.0,501.0,503.15,505.56,"30,368","1,53,52,846.80",-,"26,077",85.87
IOLB,EQ,2007-11-01,503.15,508.0,515.0,499.0,503.1,510.6,508.28,"26,220","1,33,27,104.15",-,"23,988",91.49
IOLB,EQ,2007-11-02,510.6,525.0,561.0,498.05,554.9,551.75,531.25,"74,601","3,96,32,010.40",-,"53,341",71.5
IOLB,EQ,2007-11-05,551.75,559.9,569.5,550.0,552.05,562.05,561.84,"90,054","5,05,95,792.80",-,"47,311",52.54
