SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
IPRINGS,EQ,29-07-1998,37.5,37.0,43.0,37.0,43.0,43.0,40.0,300,"12,000.00",-,-,-
IPRINGS,EQ,31-07-1998,43.0,43.5,43.5,43.25,43.25,43.25,43.42,300,"13,025.00",-,-,-
IPRINGS,EQ,04-08-1998,43.25,45.0,45.0,43.0,43.0,43.0,43.67,300,"13,100.00",-,-,-
IPRINGS,EQ,05-08-1998,43.0,44.05,44.8,43.05,43.5,43.5,43.8,800,"35,040.00",-,-,-
IPRINGS,EQ,06-08-1998,43.5,43.0,43.0,42.0,43.0,43.0,42.57,700,"29,800.00",-,-,-
IPRINGS,EQ,07-08-1998,43.0,42.0,42.0,42.0,42.0,42.0,42.0,100,"4,200.00",-,-,-
IPRINGS,EQ,11-08-1998,42.0,42.0,42.0,42.0,42.0,42.0,42.0,100,"4,200.00",-,-,-
IPRINGS,EQ,12-08-1998,42.0,42.5,42.5,42.5,42.5,42.5,42.5,100,"4,250.00",-,-,-
IPRINGS,EQ,13-08-1998,42.5,42.0,42.0,41.05,41.1,41.1,41.35,500,"20,675.00",-,-,-
IPRINGS,EQ,14-08-1998,41.1,41.45,41.45,41.45,41.45,41.45,41.45,100,"4,145.00",-,-,-
IPRINGS,EQ,17-08-1998,41.45,41.5,41.5,41.5,41.5,41.5,41.5,100,"4,150.00",-,-,-
IPRINGS,EQ,18-08-1998,41.5,41.1,41.1,41.1,41.1,41.1,41.1,100,"4,110.00",-,-,-
IPRINGS,EQ,19-08-1998,41.1,40.1,40.1,40.1,40.1,40.1,40.1,200,"8,020.00",-,-,-
IPRINGS,EQ,25-08-1998,40.1,40.0,41.9,40.0,40.05,40.05,40.86,400,"16,345.00",-,-,-
IPRINGS,EQ,27-08-1998,40.05,41.0,41.8,40.1,41.8,41.8,40.97,300,"12,290.00",-,-,-
IPRINGS,EQ,28-08-1998,41.8,39.2,42.05,39.2,42.05,42.05,41.08,300,"12,325.00",-,-,-
IPRINGS,EQ,31-08-1998,42.05,42.9,43.5,42.05,42.05,42.05,42.82,300,"12,845.00",-,-,-
IPRINGS,EQ,01-09-1998,42.05,43.0,43.0,42.9,42.9,42.9,42.93,300,"12,880.00",-,-,-
IPRINGS,EQ,04-09-1998,42.9,40.05,40.05,40.05,40.05,40.05,40.05,100,"4,005.00",-,-,-
