SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ISHANCH,EQ,24-03-2025,42.89,44.0,45.0,41.63,42.05,42.08,43.0,"41,395","17,80,141.63",329,"35,102",84.80
ISHANCH,EQ,25-03-2025,42.08,45.0,45.0,38.1,38.1,40.12,41.25,"55,071","22,71,929.62",738,"38,859",70.56
ISHANCH,EQ,26-03-2025,40.12,39.12,43.62,38.2,38.25,38.31,39.69,"24,748","9,82,132.84",456,"13,414",54.20
ISHANCH,EQ,27-03-2025,38.31,38.29,39.86,37.41,38.21,37.99,38.22,"47,800","18,26,853.50",550,"37,454",78.36
ISHANCH,EQ,28-03-2025,37.99,40.0,41.51,37.0,38.02,39.73,38.99,"96,168","37,49,630.13","1,309","59,814",62.20
ISHANCH,EQ,01-04-2025,39.73,39.76,46.77,38.5,41.0,40.95,41.73,"1,77,794","74,18,506.48","2,429","25,940",14.59
ISHANCH,EQ,02-04-2025,40.95,41.7,42.58,39.35,40.62,40.68,41.0,"67,192","27,54,944.77",788,"27,292",40.62
ISHANCH,EQ,03-04-2025,40.68,39.75,41.67,39.75,40.97,40.21,40.81,"32,613","13,30,999.02","1,673","4,880",14.96
ISHANCH,EQ,04-04-2025,40.21,39.31,43.01,39.07,39.51,39.82,40.46,"80,689","32,64,550.97","2,209","15,485",19.19
ISHANCH,EQ,07-04-2025,39.82,39.04,39.04,36.77,38.1,38.14,38.04,"14,346","5,45,767.62",331,"8,073",56.27
ISHANCH,EQ,08-04-2025,38.14,39.49,41.95,38.27,38.8,38.79,39.93,"17,505","6,99,048.42",592,"8,630",49.30
ISHANCH,EQ,09-04-2025,38.79,39.29,39.98,37.96,39.83,38.69,38.7,"4,728","1,82,953.09",319,"2,454",51.90
ISHANCH,EQ,11-04-2025,38.69,39.16,40.48,39.02,40.1,40.02,39.81,"4,171","1,66,055.70",141,"2,495",59.82
ISHANCH,EQ,15-04-2025,40.02,40.82,42.0,40.06,41.75,41.71,41.71,"28,626","11,93,945.85",202,"26,451",92.40
ISHANCH,EQ,16-04-2025,41.71,41.07,41.5,40.1,40.11,40.33,40.48,"2,484","1,00,561.62",117,"1,662",66.91
ISHANCH,EQ,17-04-2025,40.33,40.32,41.0,39.74,40.64,39.92,40.51,"6,070","2,45,882.39",205,"5,080",83.69
ISHANCH,EQ,21-04-2025,39.92,40.19,41.05,40.0,40.1,40.12,40.1,"2,319","92,995.49",77,"1,834",79.09
ISHANCH,EQ,22-04-2025,40.12,40.43,40.88,40.12,40.3,40.76,40.54,"5,118","2,07,463.73",113,"4,222",82.49
ISHANCH,EQ,23-04-2025,40.76,40.36,41.38,38.11,39.0,38.98,39.89,"17,420","6,94,914.15",504,"8,929",51.26
ISHANCH,EQ,24-04-2025,38.98,39.4,40.49,39.0,39.0,39.84,39.76,"5,408","2,15,032.51",280,"3,640",67.31
ISHANCH,EQ,25-04-2025,39.84,39.62,39.65,38.15,38.15,38.32,38.75,"2,090","80,982.69",138,"1,184",56.65
ISHANCH,EQ,28-04-2025,38.32,38.66,39.04,37.85,39.0,38.98,38.6,"2,309","89,130.68",84,"1,695",73.41
ISHANCH,EQ,29-04-2025,38.98,39.37,39.59,38.21,39.0,38.82,38.7,"3,496","1,35,285.28",145,"1,589",45.45
ISHANCH,EQ,30-04-2025,38.82,38.95,38.95,38.03,38.25,38.26,38.42,"1,241","47,676.70",31,"1,042",83.96
ISHANCH,EQ,02-05-2025,38.26,38.26,39.05,37.0,38.8,38.53,38.57,"3,489","1,34,562.95",135,"2,800",80.25
ISHANCH,EQ,05-05-2025,38.53,38.52,39.0,38.0,38.45,38.45,38.22,"7,102","2,71,465.85",25,"7,092",99.86
ISHANCH,EQ,06-05-2025,38.45,38.45,38.45,37.0,37.25,37.49,38.02,"3,800","1,44,463.94",64,"3,020",79.47
ISHANCH,EQ,07-05-2025,37.49,37.25,37.81,36.0,37.75,37.75,37.27,"1,881","70,109.57",70,"1,770",94.10
ISHANCH,EQ,08-05-2025,37.75,37.81,40.74,36.79,37.76,38.2,38.54,"9,006","3,47,129.16",195,"6,288",69.82
ISHANCH,EQ,09-05-2025,38.2,36.66,38.8,36.65,38.8,37.82,37.47,"1,130","42,343.62",33,966,85.49
