SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
JINDCOT,EQ,2009-09-22,75.0,77.0,93.5,76.1,86.5,87.3,87.6,"2,92,27,437","2,56,02,61,117.00",-,"27,84,389",9.53
JINDCOT,EQ,2009-09-23,87.3,87.7,94.25,87.2,87.5,87.9,90.97,"1,11,89,929","1,01,79,65,740.85",-,"14,29,940",12.78
JINDCOT,EQ,2009-09-24,87.9,87.0,89.9,83.5,86.15,86.15,86.5,"38,81,223","33,57,18,005.50",-,"5,17,615",13.34
JINDCOT,EQ,2009-09-25,86.15,85.65,87.3,81.9,82.0,82.3,84.02,"23,11,138","19,41,92,399.65",-,"4,65,560",20.14
JINDCOT,EQ,2009-09-29,82.3,83.95,86.45,82.3,85.0,84.95,84.36,"23,06,710","19,45,85,934.65",-,"7,83,044",33.95
JINDCOT,EQ,2009-09-30,84.95,85.7,87.5,83.3,85.0,86.7,86.35,"14,62,174","12,62,62,089.25",-,"4,39,064",30.03
JINDCOT,EQ,2009-10-01,86.7,86.7,86.7,82.4,82.8,83.4,84.69,"7,19,962","6,09,75,225.25",-,"3,10,727",43.16
JINDCOT,EQ,2009-10-05,83.4,82.9,84.5,81.25,83.45,83.3,83.24,"9,16,415","7,62,78,688.30",-,"3,42,513",37.38
JINDCOT,EQ,2009-10-06,83.3,84.3,86.2,83.25,84.4,84.55,84.61,"8,78,151","7,43,03,886.85",-,"3,09,989",35.3
JINDCOT,EQ,2009-10-07,84.55,85.35,87.2,85.0,86.3,86.0,86.16,"9,07,036","7,81,53,758.10",-,"4,02,365",44.36
JINDCOT,EQ,2009-10-08,86.0,87.4,87.5,85.5,86.0,86.0,86.13,"3,40,946","2,93,65,643.35",-,"1,71,167",50.2
JINDCOT,EQ,2009-10-09,86.0,86.25,86.8,84.65,85.0,85.75,85.87,"4,02,756","3,45,86,435.30",-,"1,94,592",48.32
JINDCOT,EQ,2009-10-12,85.75,85.9,89.75,85.5,87.0,87.1,87.69,"7,37,509","6,46,71,699.85",-,"2,17,476",29.49
JINDCOT,EQ,2009-10-14,87.1,87.6,88.85,87.0,88.0,88.1,88.07,"4,92,704","4,33,91,711.25",-,"2,34,915",47.68
JINDCOT,EQ,2009-10-15,88.1,89.0,89.2,87.75,88.25,88.1,88.29,"2,41,159","2,12,92,526.40",-,"1,10,339",45.75
JINDCOT,EQ,2009-10-16,88.1,86.5,89.0,86.5,88.15,88.05,88.41,"2,28,925","2,02,38,599.55",-,"89,588",39.13
JINDCOT,EQ,2009-10-17,88.05,89.6,90.0,88.05,88.35,88.45,88.76,"85,694","76,05,790.25",-,"45,966",53.64
JINDCOT,EQ,2009-10-20,88.45,89.5,89.5,85.55,86.9,86.8,87.32,"1,05,228","91,88,824.95",-,"52,255",49.66
JINDCOT,EQ,2009-10-21,86.8,85.05,87.45,85.05,85.8,85.3,85.94,"57,510","49,42,207.30",-,"37,713",65.58
JINDCOT,EQ,2009-10-22,85.3,84.0,88.3,84.0,85.0,84.9,86.12,"2,37,902","2,04,88,292.30",-,"91,632",38.52
JINDCOT,EQ,2009-10-23,84.9,85.6,92.5,85.5,89.9,89.8,90.18,"16,49,865","14,87,80,911.60",-,"3,33,841",20.23
JINDCOT,EQ,2009-10-26,89.8,90.5,90.65,85.0,85.5,85.8,87.63,"4,67,235","4,09,42,595.45",-,"1,78,045",38.11
JINDCOT,EQ,2009-10-27,85.8,85.5,89.5,85.2,85.5,85.95,87.24,"4,77,763","4,16,78,885.10",-,"1,16,338",24.35
