SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
JMTAUTOLTD,EQ,02-04-2007,90.5,94.0,97.5,90.0,91.0,90.35,93.18,"2,245","2,09,191.00",-,571,25.43
JMTAUTOLTD,EQ,03-04-2007,90.35,91.95,94.8,91.95,94.75,94.75,93.17,70,"6,522.00",-,40,57.14
JMTAUTOLTD,EQ,04-04-2007,94.75,94.8,96.4,94.8,96.0,95.65,95.68,800,"76,542.20",-,782,97.75
JMTAUTOLTD,EQ,05-04-2007,95.65,96.25,96.25,96.25,96.25,96.25,96.25,100,"9,625.00",-,100,100.0
JMTAUTOLTD,EQ,09-04-2007,96.25,101.0,102.0,97.0,101.0,100.4,99.78,861,"85,909.75",-,861,100.0
JMTAUTOLTD,EQ,10-04-2007,100.4,94.2,101.0,94.2,97.0,97.05,100.82,104,"10,485.40",-,101,97.12
JMTAUTOLTD,EQ,11-04-2007,97.05,90.2,102.95,90.0,99.2,99.2,97.13,"2,221","2,15,727.00",-,"1,920",86.45
JMTAUTOLTD,EQ,12-04-2007,99.2,99.95,100.0,92.6,100.0,100.0,98.94,180,"17,809.25",-,145,80.56
JMTAUTOLTD,EQ,13-04-2007,100.0,96.15,99.5,96.15,99.5,99.5,98.94,600,"59,365.00",-,600,100.0
JMTAUTOLTD,EQ,16-04-2007,99.5,100.0,101.9,96.2,98.5,97.6,98.63,320,"31,562.00",-,270,84.38
JMTAUTOLTD,EQ,17-04-2007,97.6,100.5,105.0,100.5,100.5,102.35,103.34,"2,258","2,33,342.50",-,"2,208",97.79
JMTAUTOLTD,EQ,18-04-2007,102.35,103.0,104.0,103.0,103.0,103.35,103.17,565,"58,290.00",-,540,95.58
JMTAUTOLTD,EQ,19-04-2007,103.35,95.2,105.0,95.2,105.0,104.9,102.42,835,"85,524.15",-,584,69.94
JMTAUTOLTD,EQ,20-04-2007,104.9,96.3,104.8,96.3,101.5,101.0,100.09,166,"16,615.50",-,36,21.69
JMTAUTOLTD,EQ,23-04-2007,101.0,100.0,101.0,100.0,101.0,101.0,100.84,358,"36,100.00",-,335,93.58
JMTAUTOLTD,EQ,24-04-2007,101.0,97.6,100.0,97.6,98.1,98.8,98.67,385,"37,987.50",-,280,72.73
JMTAUTOLTD,EQ,25-04-2007,98.8,98.0,98.05,98.0,98.0,98.0,98.01,150,"14,700.75",-,150,100.0
JMTAUTOLTD,EQ,26-04-2007,98.0,99.0,101.0,98.0,100.0,100.0,100.09,"4,360","4,36,400.00",-,"4,360",100.0
JMTAUTOLTD,EQ,27-04-2007,100.0,96.0,96.0,96.0,96.0,96.0,96.0,100,"9,600.00",-,100,100.0
JMTAUTOLTD,EQ,30-04-2007,96.0,101.0,103.0,101.0,101.0,101.0,101.23,130,"13,160.00",-,130,100.0
JMTAUTOLTD,EQ,03-05-2007,101.0,100.0,103.0,100.0,103.0,103.0,102.26,"1,102","1,12,693.00",-,"1,082",98.19
JMTAUTOLTD,EQ,04-05-2007,103.0,102.9,102.9,86.2,99.0,99.4,94.95,"5,156","4,89,548.75",-,"2,735",53.04
JMTAUTOLTD,EQ,08-05-2007,99.4,97.0,98.0,95.5,95.5,95.5,96.65,350,"33,827.50",-,200,57.14
JMTAUTOLTD,EQ,09-05-2007,95.5,95.0,95.0,91.15,91.4,92.5,92.52,30,"2,775.50",-,20,66.67
JMTAUTOLTD,EQ,10-05-2007,92.5,102.0,102.0,92.8,92.9,92.9,95.2,437,"41,601.85",-,320,73.23
JMTAUTOLTD,EQ,11-05-2007,92.9,100.9,100.9,97.9,98.0,98.0,99.34,495,"49,172.50",-,420,84.85
JMTAUTOLTD,EQ,14-05-2007,98.0,103.9,103.9,95.0,99.8,96.55,99.21,66,"6,547.95",-,7,10.61
JMTAUTOLTD,EQ,15-05-2007,96.55,96.5,96.5,96.0,96.0,96.0,96.16,160,"15,385.00",-,160,100.0
