SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
KARNIKA,ST,2023-10-12,76.0,81.0,85.05,81.0,82.85,82.6,82.23,"16,65,600","13,69,64,880.00",740,"16,56,000",99.42
KARNIKA,ST,2023-10-13,82.6,81.0,86.0,80.0,81.0,81.1,81.29,"3,47,200","2,82,22,480.00",128,"3,42,400",98.62
KARNIKA,ST,2023-10-16,81.1,82.1,82.1,77.05,81.0,80.1,78.64,"2,70,400","2,12,63,440.00",136,"2,60,800",96.45
KARNIKA,ST,2023-10-17,80.1,81.65,81.65,77.5,79.45,77.95,78.98,"1,23,200","97,30,880.00",70,"1,16,800",94.81
KARNIKA,ST,2023-10-18,77.95,77.9,80.9,75.35,80.4,80.0,78.75,"96,000","75,60,080.00",59,"83,200",86.67
KARNIKA,ST,2023-10-19,80.0,77.15,79.85,77.15,79.0,79.0,78.61,"43,200","33,95,840.00",20,"38,400",88.89
KARNIKA,ST,2023-10-20,79.0,78.6,80.0,77.15,80.0,79.5,79.02,"72,000","56,89,440.00",41,"68,800",95.56
KARNIKA,ST,2023-10-23,79.5,78.0,82.95,75.55,75.55,75.65,76.84,"2,30,400","1,77,04,720.00",61,"2,20,800",95.83
KARNIKA,ST,2023-10-25,75.65,76.0,79.4,76.0,79.4,79.4,78.43,"1,32,800","1,04,14,960.00",46,"1,20,000",90.36
KARNIKA,ST,2023-10-26,79.4,80.0,80.0,76.0,76.05,76.05,77.94,"32,000","24,93,920.00",20,"28,800",90.0
KARNIKA,SM,2023-10-27,76.05,77.05,79.5,75.0,78.55,79.0,77.45,"68,800","53,28,480.00",42,"44,800",65.12
KARNIKA,SM,2023-10-30,79.0,77.5,79.3,76.9,78.0,78.45,78.23,"28,800","22,53,040.00",17,"27,200",94.44
KARNIKA,SM,2023-10-31,78.45,76.75,79.0,76.75,78.5,78.25,77.84,"30,400","23,66,240.00",18,"25,600",84.21
KARNIKA,SM,2023-11-01,78.25,77.8,80.8,76.75,80.8,79.0,79.16,"65,600","51,92,640.00",40,"49,600",75.61
KARNIKA,SM,2023-11-02,79.0,79.95,81.85,79.95,81.45,81.3,81.05,"83,200","67,42,960.00",48,"57,600",69.23
KARNIKA,SM,2023-11-03,81.3,81.75,87.5,81.75,85.75,84.75,85.21,"1,63,200","1,39,06,240.00",98,"1,10,400",67.65
KARNIKA,SM,2023-11-06,84.75,88.9,101.7,88.9,101.7,101.7,97.6,"1,96,800","1,92,06,720.00",119,"1,44,000",73.17
KARNIKA,SM,2023-11-07,101.7,108.35,122.0,106.0,122.0,122.0,116.05,"4,00,000","4,64,21,600.00",230,"2,14,400",53.6
KARNIKA,SM,2023-11-08,122.0,131.4,134.2,117.0,130.0,130.0,131.07,"4,00,000","5,24,26,960.00",222,"1,92,000",48.0
KARNIKA,SM,2023-11-09,130.0,125.1,132.95,122.0,129.9,129.05,126.27,"1,23,200","1,55,56,800.00",73,"72,000",58.44
KARNIKA,SM,2023-11-10,129.05,129.05,137.0,126.0,135.0,135.85,132.67,"59,200","78,54,080.00",37,"36,800",62.16
KARNIKA,SM,2023-11-12,135.85,137.0,149.4,137.0,148.9,144.3,144.13,"1,23,200","1,77,56,400.00",75,"97,600",79.22
KARNIKA,SM,2023-11-13,144.3,146.0,158.7,145.1,158.7,156.55,153.16,"1,26,400","1,93,59,600.00",79,"75,200",59.49
KARNIKA,SM,2023-11-15,156.55,161.0,164.35,157.0,163.05,164.1,162.19,"1,96,800","3,19,19,280.00",111,"1,24,800",63.41
KARNIKA,SM,2023-11-16,164.1,164.5,172.3,163.5,172.3,172.3,169.46,"54,400","92,18,560.00",32,"36,800",67.65
KARNIKA,SM,2023-11-17,172.3,175.2,180.9,175.1,180.9,180.9,179.94,"57,600","1,03,64,640.00",34,"44,800",77.78
KARNIKA,SM,2023-11-20,180.9,189.9,189.9,189.9,189.9,189.9,189.9,"32,000","60,76,800.00",16,"30,400",95.0
KARNIKA,SM,2023-11-21,189.9,199.35,199.35,199.35,199.35,199.35,199.35,"41,600","82,92,960.00",20,"41,600",100.0
KARNIKA,SM,2023-11-22,199.35,207.0,209.3,200.35,209.2,209.2,206.57,"1,88,800","3,90,00,080.00",98,"1,08,800",57.63
KARNIKA,SM,2023-11-23,209.2,218.6,219.65,216.0,219.65,219.65,218.95,"54,400","1,19,10,640.00",29,"33,600",61.76
KARNIKA,SM,2023-11-24,219.65,229.9,230.6,222.0,230.6,229.85,229.81,"1,08,800","2,50,03,040.00",54,"88,000",80.88
KARNIKA,SM,2023-11-28,229.85,238.0,238.0,218.35,218.35,218.35,228.51,"1,02,400","2,33,99,840.00",62,"76,800",75.0
KARNIKA,SM,2023-11-29,218.35,207.45,207.45,207.45,207.45,207.45,207.45,"3,200","6,63,840.00",2,"3,200",100.0
KARNIKA,SM,2023-11-30,207.45,198.0,198.0,197.1,197.1,197.1,197.55,"3,200","6,32,160.00",2,"3,200",100.0
KARNIKA,SM,2023-12-01,197.1,187.25,187.25,187.25,187.25,187.25,187.25,"1,600","2,99,600.00",1,"1,600",100.0
KARNIKA,SM,2023-12-04,187.25,177.9,177.9,177.9,177.9,177.9,177.9,"6,400","11,38,560.00",3,"6,400",100.0
KARNIKA,SM,2023-12-05,177.9,169.0,169.0,169.0,169.0,169.0,169.0,"3,200","5,40,800.00",2,"3,200",100.0
KARNIKA,SM,2023-12-06,169.0,160.55,160.55,160.55,160.55,160.55,160.55,"6,400","10,27,520.00",3,"6,400",100.0
KARNIKA,SM,2023-12-07,160.55,152.55,168.55,152.55,152.55,157.1,156.83,"3,40,800","5,34,49,040.00",167,"2,19,200",64.32
KARNIKA,SM,2023-12-08,157.1,149.25,156.4,149.25,149.25,149.25,150.08,"1,63,200","2,44,92,240.00",84,"1,21,600",74.51
KARNIKA,SM,2023-12-11,149.25,145.2,146.85,141.8,141.8,141.8,142.77,"1,63,200","2,33,00,480.00",88,"1,07,200",65.69
KARNIKA,SM,2023-12-12,141.8,137.25,143.5,134.75,134.75,134.75,136.0,"1,28,000","1,74,08,400.00",76,"96,000",75.0
KARNIKA,SM,2023-12-13,134.75,138.0,141.45,137.0,139.7,138.3,140.5,"1,55,200","2,18,06,000.00",84,"1,12,000",72.16
KARNIKA,SM,2023-12-14,138.3,143.35,145.2,138.0,139.0,139.5,142.08,"57,600","81,84,080.00",32,"44,800",77.78
