SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
KDDL-RE,BE,09-04-2021,42.3,40.0,59.2,40.0,59.2,59.2,59.14,"4,888","2,89,090.20",187,-,-
KDDL-RE,BE,12-04-2021,59.2,82.85,82.85,82.85,82.85,82.85,82.85,"10,122","8,38,607.70",253,-,-
KDDL-RE,BE,13-04-2021,82.85,115.95,115.95,83.85,114.8,111.75,113.3,"56,285","63,76,941.30","1,930",-,-
KDDL-RE,BE,15-04-2021,111.75,135.5,156.45,125.0,156.45,156.45,153.52,"20,016","30,72,866.90",528,-,-
KDDL-RE,BE,16-04-2021,156.45,219.0,219.0,185.0,219.0,219.0,213.78,"27,081","57,89,348.35","1,100",-,-
KDDL-RE,BE,19-04-2021,219.0,305.0,306.6,219.0,306.6,306.6,289.4,"47,759","1,38,21,515.50","1,724",-,-
KDDL-RE,BE,20-04-2021,306.6,429.2,429.2,240.0,300.0,267.65,353.58,"72,526","2,56,44,016.60","3,324",-,-
KDDL-RE,BE,22-04-2021,267.65,182.0,255.0,160.6,170.0,166.9,177.75,"62,210","1,10,57,611.65","2,466",-,-
KDDL-RE,BE,23-04-2021,166.9,160.0,160.0,120.0,127.0,130.75,128.96,"29,917","38,58,168.90","1,295",-,-
KDDL-RE,BE,26-04-2021,130.75,78.45,119.7,78.45,89.7,88.35,89.37,"38,872","34,74,010.15","1,616",-,-
KDDL-RE,BE,27-04-2021,88.35,100.0,123.65,100.0,123.65,123.65,119.28,"48,148","57,42,854.80","1,255",-,-
KDDL-RE,BE,28-04-2021,123.65,172.75,173.1,152.0,173.1,173.1,171.45,"29,331","50,28,915.30","1,026",-,-
KDDL-RE,BE,29-04-2021,173.1,240.0,240.0,195.3,234.95,230.1,221.61,"66,876","1,48,20,101.05","2,384",-,-
KDDL-RE,BE,30-04-2021,230.1,220.0,220.0,139.0,191.0,189.65,190.97,"49,676","94,86,540.40","1,809",-,-
KDDL-RE,BE,03-05-2021,189.65,143.0,189.0,140.0,170.0,168.35,163.72,"27,629","45,23,499.45",950,-,-
