SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
AIRDECCAN,EQ,12-06-2006,148.0,129.9,129.9,97.25,99.0,99.1,103.94,"66,83,370","69,46,58,271.00",-,"6,63,084",9.92
AIRDECCAN,EQ,13-06-2006,99.1,99.0,99.0,84.0,84.0,85.2,88.65,"25,70,850","22,79,01,519.70",-,"2,96,623",11.54
AIRDECCAN,EQ,14-06-2006,85.2,91.0,92.0,81.2,83.9,82.5,85.8,"20,06,706","17,21,71,870.65",-,"1,42,114",7.08
AIRDECCAN,EQ,15-06-2006,82.5,84.0,94.8,82.65,88.65,89.95,89.07,"31,80,909","28,33,34,382.00",-,"2,20,525",6.93
AIRDECCAN,EQ,16-06-2006,89.95,92.1,97.45,87.65,90.0,89.65,93.26,"35,37,520","32,98,96,865.30",-,"2,60,108",7.35
AIRDECCAN,EQ,19-06-2006,89.65,89.0,91.2,86.0,89.0,89.1,88.46,"13,47,480","11,92,04,582.10",-,"1,09,679",8.14
AIRDECCAN,EQ,20-06-2006,89.1,87.8,89.4,85.35,86.0,86.3,87.27,"6,36,033","5,55,04,994.80",-,"1,16,567",18.33
AIRDECCAN,EQ,21-06-2006,86.3,86.8,91.45,86.1,88.6,90.0,89.39,"7,96,280","7,11,78,358.45",-,"1,02,568",12.88
AIRDECCAN,EQ,22-06-2006,90.0,90.5,93.35,88.1,88.85,89.75,91.4,"7,47,252","6,82,96,750.00",-,"1,33,576",17.88
AIRDECCAN,EQ,23-06-2006,89.75,89.75,89.75,87.1,87.75,88.15,88.44,"3,99,523","3,53,34,375.55",-,"64,588",16.17
AIRDECCAN,EQ,25-06-2006,88.15,89.8,89.8,88.05,88.15,88.25,88.41,"43,552","38,50,477.60",-,"15,269",35.06
AIRDECCAN,EQ,26-06-2006,88.25,88.65,88.7,84.0,84.25,84.5,86.34,"1,79,475","1,54,95,558.75",-,"61,295",34.15
AIRDECCAN,EQ,27-06-2006,84.5,85.0,85.9,82.8,83.55,83.4,83.79,"1,55,321","1,30,13,777.10",-,"31,237",20.11
AIRDECCAN,EQ,28-06-2006,83.4,82.5,88.65,81.1,85.05,85.45,86.38,"7,27,508","6,28,39,870.75",-,"64,749",8.9
AIRDECCAN,EQ,29-06-2006,85.45,86.0,90.6,85.8,86.3,86.3,88.78,"12,24,360","10,86,94,691.40",-,"72,196",5.9
AIRDECCAN,EQ,30-06-2006,86.3,87.95,88.9,85.4,85.8,85.8,87.05,"2,14,344","1,86,59,043.60",-,"58,170",27.14
AIRDECCAN,EQ,03-07-2006,85.8,87.0,88.2,84.8,85.0,85.45,86.35,"1,94,074","1,67,58,746.20",-,"30,611",15.77
AIRDECCAN,EQ,04-07-2006,85.45,87.9,87.9,84.75,84.75,85.0,85.54,"1,21,687","1,04,09,247.90",-,"28,295",23.25
AIRDECCAN,EQ,05-07-2006,85.0,85.15,85.95,83.0,84.75,84.8,85.19,"83,086","70,78,214.15",-,"29,356",35.33
AIRDECCAN,EQ,06-07-2006,84.8,84.05,85.2,83.5,83.6,83.75,84.12,"93,994","79,06,462.30",-,"38,798",41.28
AIRDECCAN,EQ,07-07-2006,83.75,84.3,85.5,81.55,81.55,81.95,83.17,"1,08,675","90,38,836.25",-,"41,236",37.94
AIRDECCAN,EQ,10-07-2006,81.95,84.0,84.0,80.6,81.1,81.3,81.3,"1,08,315","88,05,832.90",-,"35,444",32.72
AIRDECCAN,EQ,11-07-2006,81.3,81.25,82.5,80.55,80.7,80.8,81.31,"79,902","64,97,149.15",-,"25,374",31.76
AIRDECCAN,EQ,12-07-2006,80.8,79.15,80.4,78.1,79.0,78.8,79.26,"1,06,406","84,33,626.45",-,"39,938",37.53
AIRDECCAN,EQ,13-07-2006,78.8,82.0,82.0,78.6,78.8,79.05,79.28,"66,806","52,96,477.00",-,"24,502",36.68
AIRDECCAN,EQ,14-07-2006,79.05,78.0,78.5,77.25,77.5,77.5,77.71,"54,117","42,05,204.20",-,"26,072",48.18
AIRDECCAN,EQ,17-07-2006,77.5,80.9,80.9,73.85,74.2,74.15,75.71,"86,473","65,47,198.05",-,"42,788",49.48
AIRDECCAN,EQ,18-07-2006,74.15,74.5,75.4,70.6,70.6,71.15,72.07,"1,15,664","83,35,981.40",-,"44,235",38.24
AIRDECCAN,EQ,19-07-2006,71.15,71.0,73.0,67.1,68.0,67.6,69.19,"1,12,405","77,77,703.05",-,"39,942",35.53
AIRDECCAN,EQ,20-07-2006,67.6,72.4,72.4,68.1,69.5,69.0,68.93,"98,407","67,83,105.35",-,"31,075",31.58
AIRDECCAN,EQ,21-07-2006,69.0,69.0,69.0,66.1,66.6,66.95,66.86,"57,076","38,16,225.45",-,"23,321",40.86
AIRDECCAN,EQ,24-07-2006,66.95,64.2,65.5,64.1,64.5,64.7,64.69,"58,970","38,14,784.20",-,"29,218",49.55
AIRDECCAN,EQ,25-07-2006,64.7,65.5,77.1,65.5,73.5,73.65,74.11,"12,83,009","9,50,87,604.40",-,"1,39,586",10.88
AIRDECCAN,EQ,26-07-2006,73.65,74.8,80.35,73.85,77.65,77.75,78.25,"14,55,709","11,39,12,320.05",-,"1,95,480",13.43
AIRDECCAN,EQ,27-07-2006,77.75,78.0,78.9,74.1,74.5,74.55,76.14,"4,66,896","3,55,50,366.95",-,"73,737",15.79
AIRDECCAN,EQ,28-07-2006,74.55,75.2,75.65,70.9,72.1,72.05,72.65,"3,32,247","2,41,37,121.25",-,"1,56,823",47.2
AIRDECCAN,EQ,31-07-2006,72.05,73.45,76.75,71.2,74.85,74.85,74.67,"4,84,978","3,62,11,982.25",-,"72,494",14.95
AIRDECCAN,EQ,01-08-2006,74.85,74.9,76.5,74.15,75.25,75.25,75.44,"2,96,867","2,23,94,478.80",-,"41,079",13.84
AIRDECCAN,EQ,02-08-2006,75.25,74.9,78.2,74.1,75.65,76.15,76.64,"3,40,307","2,60,80,014.40",-,"55,127",16.2
AIRDECCAN,EQ,03-08-2006,76.15,76.1,79.0,75.15,75.15,75.75,77.14,"2,02,251","1,56,01,565.10",-,"39,600",19.58
