SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
KSK,EQ,14-07-2008,240.0,210.05,234.8,176.65,199.05,191.75,193.44,"1,20,94,707","2,33,95,90,565.45",-,"8,44,121",6.98
KSK,EQ,15-07-2008,191.75,188.7,199.4,182.15,195.8,192.55,192.4,"75,92,684","1,46,08,50,454.30",-,"78,567",1.03
KSK,EQ,16-07-2008,192.55,195.0,202.5,182.25,193.0,193.3,190.74,"30,40,895","58,00,34,347.20",-,"52,670",1.73
KSK,EQ,17-07-2008,193.3,196.5,198.75,188.1,194.0,194.15,192.27,"15,60,304","30,00,00,876.70",-,"54,242",3.48
KSK,EQ,18-07-2008,194.15,194.0,196.6,189.05,191.3,194.1,192.56,"6,01,076","11,57,43,703.65",-,"30,267",5.04
KSK,EQ,21-07-2008,194.1,193.8,194.0,187.15,188.0,190.7,190.68,"2,60,813","4,97,31,019.30",-,"21,277",8.16
KSK,EQ,22-07-2008,190.7,188.7,193.0,184.0,185.0,187.95,190.41,"1,77,067","3,37,14,948.10",-,"33,448",18.89
KSK,EQ,23-07-2008,187.95,189.8,216.9,189.8,197.0,197.7,206.08,"18,08,804","37,27,52,658.30",-,"2,24,807",12.43
KSK,EQ,24-07-2008,197.7,197.5,206.9,190.5,192.0,192.9,199.14,"5,92,285","11,79,44,729.90",-,"76,386",12.9
KSK,EQ,25-07-2008,192.9,192.0,192.0,184.5,185.0,185.9,188.42,"1,65,964","3,12,70,298.70",-,"26,096",15.72
KSK,EQ,28-07-2008,185.9,186.0,192.8,185.0,187.0,186.95,189.04,"1,65,040","3,11,99,538.10",-,"23,654",14.33
KSK,EQ,29-07-2008,186.95,185.0,186.0,172.0,175.35,175.4,179.27,"1,62,503","2,91,31,504.80",-,"32,880",20.23
KSK,EQ,30-07-2008,175.4,177.5,183.0,172.1,174.1,174.5,177.07,"1,42,931","2,53,08,213.55",-,"34,506",24.14
KSK,EQ,31-07-2008,174.5,175.0,178.7,169.05,169.75,170.45,172.32,"1,28,636","2,21,66,589.25",-,"34,923",27.15
KSK,EQ,01-08-2008,170.45,173.0,176.0,166.5,171.35,170.65,170.79,"1,22,156","2,08,63,054.80",-,"28,822",23.59
KSK,EQ,04-08-2008,170.65,173.0,174.9,168.0,171.25,171.65,172.86,"85,065","1,47,04,710.45",-,"18,088",21.26
KSK,EQ,05-08-2008,171.65,171.0,179.7,169.95,174.75,175.45,174.55,"1,21,855","2,12,69,774.60",-,"33,289",27.32
KSK,EQ,06-08-2008,175.45,180.0,180.0,171.15,171.9,172.4,176.16,"82,084","1,44,60,099.25",-,"25,269",30.78
KSK,EQ,07-08-2008,172.4,170.25,176.9,170.25,172.5,172.7,174.08,"80,104","1,39,44,567.20",-,"14,835",18.52
KSK,EQ,08-08-2008,172.7,172.0,174.15,170.0,170.4,170.7,171.69,"41,549","71,33,711.15",-,"13,284",31.97
KSK,EQ,11-08-2008,170.7,169.0,174.7,169.0,171.0,170.95,172.16,"30,739","52,92,157.05",-,"12,552",40.83
KSK,EQ,12-08-2008,170.95,169.5,172.5,168.55,169.7,169.35,170.5,"30,562","52,10,907.70",-,"11,072",36.23
KSK,EQ,13-08-2008,169.35,172.0,172.0,166.1,166.2,166.75,168.37,"26,487","44,59,599.80",-,"11,558",43.64
KSK,EQ,14-08-2008,166.75,165.0,169.0,160.25,160.7,161.8,164.26,"31,577","51,86,727.20",-,"13,485",42.71
KSK,EQ,18-08-2008,161.8,158.3,165.7,158.3,158.4,159.95,162.5,"58,769","95,49,737.00",-,"15,760",26.82
KSK,EQ,19-08-2008,159.95,158.0,159.0,156.0,156.95,156.4,156.86,"17,650","27,68,578.50",-,"6,912",39.16
KSK,EQ,20-08-2008,156.4,160.0,160.0,156.15,156.15,157.85,158.24,"27,679","43,80,025.40",-,"6,880",24.86
KSK,EQ,21-08-2008,157.85,156.85,157.5,150.6,150.6,151.4,154.48,"17,792","27,48,419.25",-,"9,396",52.81
KSK,EQ,22-08-2008,151.4,155.0,155.0,146.0,148.45,147.3,148.06,"26,042","38,55,706.25",-,"13,095",50.28
KSK,EQ,25-08-2008,147.3,150.0,151.95,147.5,148.35,148.4,149.98,"28,742","43,10,699.20",-,"8,692",30.24
KSK,EQ,26-08-2008,148.4,145.1,158.95,145.0,156.0,153.15,151.02,"35,786","54,04,262.25",-,"21,058",58.84
KSK,EQ,27-08-2008,153.15,156.9,175.5,155.0,169.8,170.05,169.98,"11,80,464","20,06,51,024.00",-,"84,305",7.14
KSK,EQ,28-08-2008,170.05,171.0,174.9,166.55,168.5,173.05,171.9,"8,73,225","15,01,07,742.60",-,"1,20,849",13.84
KSK,EQ,29-08-2008,173.05,179.9,180.0,167.5,180.0,175.95,173.92,"8,92,907","15,52,93,869.70",-,"2,01,659",22.58
KSK,EQ,01-09-2008,175.95,173.0,194.0,172.0,192.85,189.4,183.74,"4,86,707","8,94,29,944.65",-,"98,200",20.18
KSK,EQ,02-09-2008,189.4,189.0,204.9,189.0,204.9,196.9,195.26,"6,96,666","13,60,32,880.10",-,"1,40,462",20.16
KSK,EQ,04-09-2008,196.9,197.2,217.8,193.0,210.25,211.25,210.77,"11,49,452","24,22,71,896.35",-,"90,148",7.84
KSK,EQ,05-09-2008,211.25,218.0,219.0,205.05,209.0,209.65,212.99,"10,16,545","21,65,16,408.95",-,"84,707",8.33
KSK,EQ,08-09-2008,209.65,225.0,225.0,212.0,215.0,213.85,215.66,"3,10,445","6,69,51,999.40",-,"45,648",14.7
KSK,EQ,09-09-2008,213.85,218.5,218.5,208.0,215.0,211.4,211.34,"1,62,307","3,43,01,831.85",-,"14,703",9.06
KSK,EQ,10-09-2008,211.4,208.0,209.75,202.55,205.7,205.55,205.21,"1,74,873","3,58,85,624.95",-,"15,161",8.67
KSK,EQ,11-09-2008,205.55,205.0,205.0,188.0,193.9,195.65,194.58,"1,26,957","2,47,03,391.10",-,"13,647",10.75
KSK,EQ,12-09-2008,195.65,198.8,198.8,183.25,185.25,188.45,191.35,"1,61,019","3,08,11,009.35",-,"11,933",7.41
KSK,EQ,15-09-2008,188.45,188.9,194.9,160.0,194.9,176.9,170.39,"1,21,865","2,07,64,849.10",-,"28,356",23.27
KSK,EQ,16-09-2008,176.9,185.0,210.0,151.4,208.9,202.9,183.32,"6,65,012","12,19,08,554.40",-,"48,620",7.31
KSK,EQ,17-09-2008,202.9,208.0,217.7,191.25,216.1,211.95,205.16,"16,93,069","34,73,52,419.00",-,"55,439",3.27
KSK,EQ,18-09-2008,211.95,207.0,229.0,195.3,229.0,217.95,209.44,"7,65,076","16,02,38,448.40",-,"48,259",6.31
KSK,BL,19-09-2008,240.0,220.0,220.0,220.0,220.0,220.0,220.0,"7,00,096","15,40,21,120.00",-,"7,00,096",100.0
KSK,EQ,19-09-2008,217.95,221.0,237.0,219.0,226.0,232.8,228.47,"12,17,229","27,81,01,005.45",-,"2,80,593",23.05
KSK,EQ,22-09-2008,232.8,227.4,241.8,218.2,232.0,231.85,232.42,"7,87,078","18,29,32,476.75",-,"30,776",3.91
KSK,EQ,23-09-2008,231.85,232.1,239.95,226.0,228.25,231.15,234.2,"8,08,860","18,94,37,024.95",-,"30,331",3.75
KSK,EQ,24-09-2008,231.15,233.8,237.95,224.5,226.6,228.65,232.32,"5,07,043","11,77,96,455.05",-,"30,481",6.01
KSK,EQ,25-09-2008,228.65,230.0,230.0,207.7,217.3,218.35,218.1,"5,49,718","11,98,90,815.55",-,"28,940",5.26
KSK,EQ,26-09-2008,218.35,220.0,221.8,207.0,207.1,211.7,216.33,"2,31,128","4,99,98,918.05",-,"18,882",8.17
KSK,EQ,29-09-2008,211.7,211.0,214.9,193.5,195.15,199.2,203.29,"2,09,615","4,26,12,197.20",-,"18,741",8.94
KSK,EQ,30-09-2008,199.2,195.0,245.0,181.2,238.0,237.4,221.05,"5,62,574","12,43,54,579.00",-,"93,352",16.59
KSK,EQ,01-10-2008,237.4,227.05,242.2,220.05,222.0,223.85,232.63,"5,55,354","12,91,92,922.75",-,"44,890",8.08
KSK,EQ,03-10-2008,223.85,205.6,231.0,205.6,223.15,219.35,222.99,"3,27,357","7,29,96,519.20",-,"18,317",5.6
KSK,EQ,06-10-2008,219.35,214.15,218.55,205.0,206.0,208.05,210.69,"1,44,016","3,03,43,177.70",-,"12,931",8.98
KSK,EQ,07-10-2008,208.05,203.25,224.0,193.3,195.0,196.65,204.38,"2,28,420","4,66,83,644.40",-,"31,322",13.71
KSK,EQ,08-10-2008,196.65,190.0,192.0,172.0,186.0,184.2,182.06,"1,23,729","2,25,26,493.90",-,"15,332",12.39
KSK,EQ,10-10-2008,184.2,160.0,198.9,160.0,184.5,187.1,186.6,"1,30,932","2,44,31,421.25",-,"12,631",9.65
KSK,EQ,13-10-2008,187.1,195.0,205.0,188.0,190.0,193.25,197.46,"1,12,505","2,22,14,863.70",-,"14,484",12.87
KSK,EQ,14-10-2008,193.25,195.0,205.95,181.0,184.8,188.6,198.92,"1,49,963","2,98,30,861.50",-,"25,841",17.23
KSK,EQ,15-10-2008,188.6,185.1,190.5,175.05,176.6,176.9,181.86,"44,255","80,48,232.00",-,"9,203",20.8
KSK,EQ,16-10-2008,176.9,168.0,179.85,162.05,172.95,172.2,172.77,"55,104","95,20,426.95",-,"8,223",14.92
KSK,EQ,17-10-2008,172.2,173.0,191.0,160.0,162.1,170.95,180.77,"1,13,697","2,05,53,127.95",-,"9,863",8.67
KSK,EQ,20-10-2008,170.95,172.0,175.9,160.7,167.0,164.85,169.32,"78,323","1,32,61,518.80",-,"7,975",10.18
KSK,EQ,21-10-2008,164.85,167.0,172.5,164.0,168.0,167.05,168.69,"65,747","1,10,90,638.80",-,"9,464",14.39
KSK,EQ,22-10-2008,167.05,162.1,165.8,159.0,159.25,160.05,161.82,"31,306","50,66,025.60",-,"6,939",22.17
KSK,EQ,23-10-2008,160.05,151.3,157.0,145.0,146.1,148.1,151.86,"27,182","41,27,730.25",-,"6,108",22.47
KSK,EQ,24-10-2008,148.1,140.1,144.7,122.55,127.0,126.85,135.71,"21,645","29,37,471.30",-,"8,496",39.25
KSK,EQ,27-10-2008,126.85,132.0,132.0,106.15,116.45,118.9,114.69,"14,316","16,41,919.00",-,"5,308",37.08
KSK,EQ,28-10-2008,118.9,127.0,135.0,121.55,134.75,128.0,126.41,"10,526","13,30,618.00",-,"4,044",38.42
KSK,EQ,29-10-2008,128.0,130.6,145.95,127.0,132.0,138.3,139.3,"1,23,030","1,71,37,783.15",-,"22,733",18.48
KSK,EQ,31-10-2008,138.3,140.0,140.15,130.1,130.2,133.4,136.79,"62,021","84,83,746.60",-,"16,129",26.01
KSK,EQ,03-11-2008,133.4,141.0,150.0,135.0,143.0,145.65,144.11,"51,786","74,62,631.85",-,"16,198",31.28
KSK,EQ,04-11-2008,145.65,150.0,150.0,140.2,145.9,145.1,145.75,"34,308","50,00,336.15",-,"7,592",22.13
KSK,EQ,05-11-2008,145.1,155.0,155.0,130.8,139.9,137.65,145.98,"35,883","52,38,276.75",-,"10,538",29.37
KSK,EQ,06-11-2008,137.65,133.0,140.5,131.0,138.0,137.05,136.32,"24,717","33,69,472.20",-,"4,995",20.21
KSK,EQ,07-11-2008,137.05,142.8,144.4,133.1,142.5,141.45,141.39,"23,524","33,26,066.50",-,"7,766",33.01
KSK,EQ,10-11-2008,141.45,147.0,147.5,142.0,145.0,143.8,144.54,"15,793","22,82,755.40",-,"5,292",33.51
KSK,EQ,11-11-2008,143.8,149.0,165.0,142.2,144.0,144.3,148.36,"65,252","96,80,474.60",-,"10,508",16.1
KSK,EQ,12-11-2008,144.3,143.5,147.0,138.75,139.25,139.85,143.29,"19,820","28,39,974.20",-,"3,698",18.66
KSK,EQ,14-11-2008,139.85,145.0,150.0,138.8,140.25,140.8,144.07,"18,576","26,76,316.95",-,"5,926",31.9
KSK,EQ,17-11-2008,140.8,138.1,140.1,135.35,138.5,138.25,137.46,"13,792","18,95,781.00",-,"4,182",30.32
KSK,EQ,18-11-2008,138.25,131.6,135.95,131.6,132.75,133.7,134.29,"5,712","7,67,046.95",-,"2,438",42.68
KSK,EQ,19-11-2008,133.7,136.0,138.0,125.65,126.05,129.95,132.88,"7,118","9,45,849.10",-,"2,361",33.17
KSK,EQ,20-11-2008,129.95,129.95,129.95,115.3,120.0,119.65,120.55,"8,603","10,37,113.65",-,"2,337",27.16
KSK,EQ,21-11-2008,119.65,110.0,125.1,110.0,120.35,120.3,120.75,"12,887","15,56,137.15",-,"3,316",25.73
KSK,EQ,24-11-2008,120.3,119.0,126.0,119.0,122.9,121.85,123.19,"7,430","9,15,322.50",-,"1,476",19.87
KSK,EQ,25-11-2008,121.85,123.2,138.7,120.6,135.0,134.6,130.39,"54,245","70,73,027.20",-,"23,993",44.23
KSK,EQ,26-11-2008,134.6,125.7,143.0,125.7,130.1,132.55,136.89,"28,632","39,19,467.00",-,"3,392",11.85
KSK,EQ,28-11-2008,132.55,138.0,160.0,127.0,160.0,153.65,148.55,"56,811","84,39,089.70",-,"23,690",41.7
KSK,EQ,01-12-2008,153.65,145.0,161.0,145.0,153.25,154.45,155.36,"68,818","1,06,91,284.20",-,"8,524",12.39
KSK,EQ,02-12-2008,154.45,140.0,155.0,140.0,152.05,152.75,148.69,"22,337","33,21,345.75",-,"2,690",12.04
KSK,EQ,03-12-2008,152.75,150.0,159.75,150.0,155.1,157.75,156.34,"31,065","48,56,581.25",-,"4,306",13.86
KSK,EQ,04-12-2008,157.75,155.0,163.0,155.0,157.6,158.7,160.02,"25,850","41,36,544.65",-,"5,587",21.61
KSK,EQ,05-12-2008,158.7,157.0,165.0,155.4,157.4,157.2,159.89,"15,995","25,57,469.85",-,"2,996",18.73
KSK,EQ,08-12-2008,157.2,155.0,162.0,155.0,155.2,156.25,159.37,"11,179","17,81,576.65",-,"3,408",30.49
KSK,EQ,10-12-2008,156.25,153.0,158.0,153.0,156.0,156.3,156.58,"9,985","15,63,426.55",-,"2,982",29.86
KSK,EQ,11-12-2008,156.3,152.0,164.7,152.0,158.0,158.45,159.75,"16,387","26,17,785.30",-,"3,313",20.22
KSK,EQ,12-12-2008,158.45,150.0,160.0,148.2,156.0,156.25,156.32,"8,500","13,28,725.50",-,"1,901",22.36
KSK,EQ,15-12-2008,156.25,160.0,165.8,157.2,159.0,159.65,161.5,"16,493","26,63,611.65",-,"3,601",21.83
KSK,EQ,16-12-2008,159.65,158.25,164.0,158.25,160.3,160.5,161.24,"11,234","18,11,383.95",-,"4,935",43.93
KSK,EQ,17-12-2008,160.5,162.0,168.0,154.0,156.0,155.25,163.4,"30,472","49,79,040.70",-,"8,947",29.36
KSK,EQ,18-12-2008,155.25,150.0,158.0,150.0,154.5,154.7,155.31,"15,988","24,83,129.95",-,"6,959",43.53
