SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
LAKSHMIMIL,EQ,13-11-2009,"1,324.65","1,450.00","1,450.00","1,450.00","1,450.00","1,450.00","1,450.00",1,"1,450.00",-,1,100.0
LAKSHMIMIL,EQ,17-11-2009,"1,450.00","1,301.00","1,696.00","1,301.00","1,451.50","1,684.20","1,684.21",375,"6,31,580.00",-,363,96.8
LAKSHMIMIL,EQ,18-11-2009,"1,684.20","1,620.00","1,724.00","1,525.00","1,600.00","1,573.10","1,589.01","1,220","19,38,587.05",-,339,27.79
LAKSHMIMIL,EQ,19-11-2009,"1,573.10","1,638.00","1,638.00","1,497.10","1,525.00","1,501.55","1,568.08",119,"1,86,601.10",-,69,57.98
LAKSHMIMIL,EQ,20-11-2009,"1,501.55","1,511.00","1,525.00","1,452.50","1,500.00","1,480.20","1,501.68",65,"97,608.95",-,49,75.38
LAKSHMIMIL,EQ,23-11-2009,"1,480.20","1,500.00","1,500.00","1,453.60","1,495.00","1,495.00","1,467.23",39,"57,221.80",-,27,69.23
LAKSHMIMIL,EQ,24-11-2009,"1,495.00","1,549.90","1,549.90","1,431.00","1,479.00","1,453.95","1,454.46",91,"1,32,355.90",-,61,67.03
LAKSHMIMIL,EQ,25-11-2009,"1,453.95","1,550.00","1,638.80","1,470.00","1,475.00","1,478.50","1,517.61",306,"4,64,388.75",-,107,34.97
LAKSHMIMIL,EQ,26-11-2009,"1,478.50","1,524.90","1,524.90","1,420.15","1,440.00","1,442.10","1,458.35",59,"86,042.50",-,47,79.66
LAKSHMIMIL,EQ,27-11-2009,"1,442.10","1,496.90","1,496.90","1,377.00","1,410.00","1,406.85","1,421.94",112,"1,59,257.60",-,36,32.14
LAKSHMIMIL,EQ,30-11-2009,"1,406.85","1,496.90","1,496.90","1,355.10","1,432.55","1,433.55","1,441.18",195,"2,81,030.50",-,26,13.33
LAKSHMIMIL,EQ,01-12-2009,"1,433.55","1,430.00","1,493.00","1,430.00","1,467.00","1,470.80","1,461.98",64,"93,567.00",-,48,75.0
LAKSHMIMIL,EQ,02-12-2009,"1,470.80","1,457.00","1,520.00","1,457.00","1,520.00","1,513.00","1,501.46",100,"1,50,146.15",-,43,43.0
