SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
LGBROS,EQ,02-01-1996,310.00,308.0,314.0,308.0,-,314.0,312.0,150,"46,800.00",-,-,-
LGBROS,EQ,03-01-1996,314.00,300.0,310.0,300.0,-,310.0,309.0,500,"1,54,500.00",-,-,-
LGBROS,EQ,04-01-1996,310.00,310.0,311.0,310.0,-,310.25,310.29,450,"1,39,630.00",-,-,-
LGBROS,EQ,05-01-1996,310.25,310.0,310.55,310.0,-,310.55,310.17,"2,200","6,82,380.00",-,-,-
LGBROS,EQ,08-01-1996,310.55,310.15,310.4,310.15,-,310.4,310.3,250,"77,575.00",-,-,-
LGBROS,EQ,09-01-1996,310.40,310.05,310.75,310.05,-,310.75,310.3,"1,500","4,65,447.50",-,-,-
LGBROS,EQ,10-01-1996,310.75,310.0,310.4,310.0,-,310.4,310.13,350,"1,08,545.00",-,-,-
LGBROS,EQ,11-01-1996,310.40,310.4,312.0,310.0,-,312.0,310.66,900,"2,79,590.00",-,-,-
LGBROS,EQ,12-01-1996,312.00,310.1,314.1,310.0,-,314.1,311.48,550,"1,71,312.50",-,-,-
LGBROS,EQ,15-01-1996,314.10,306.0,317.5,306.0,-,317.5,314.01,200,"62,802.50",-,-,-
LGBROS,EQ,16-01-1996,317.50,310.65,317.0,310.65,-,317.0,311.18,"1,200","3,73,420.00",-,-,-
LGBROS,EQ,18-01-1996,317.00,306.0,315.0,306.0,-,315.0,309.75,650,"2,01,340.00",-,-,-
LGBROS,EQ,19-01-1996,315.00,315.0,324.0,315.0,-,321.0,319.88,850,"2,71,900.00",-,-,-
LGBROS,EQ,22-01-1996,321.00,320.0,320.0,317.0,-,320.0,318.5,300,"95,550.00",-,-,-
LGBROS,EQ,23-01-1996,320.00,310.15,315.05,310.15,-,315.05,311.78,"1,050","3,27,372.50",-,-,-
LGBROS,EQ,24-01-1996,315.05,310.3,310.5,310.3,-,310.5,310.39,350,"1,08,635.00",-,-,-
LGBROS,EQ,25-01-1996,310.50,309.95,320.0,309.95,-,320.0,311.59,650,"2,02,532.50",-,-,-
LGBROS,EQ,29-01-1996,320.00,319.0,325.0,319.0,-,320.0,321.86,700,"2,25,300.00",-,-,-
LGBROS,EQ,30-01-1996,320.00,325.0,325.0,318.0,-,318.0,321.71,"3,000","9,65,125.00",-,-,-
LGBROS,EQ,31-01-1996,318.00,320.0,325.0,320.0,-,324.1,321.82,"1,300","4,18,360.00",-,-,-
LGBROS,EQ,01-02-1996,324.10,325.0,325.0,325.0,-,325.0,325.0,150,"48,750.00",-,-,-
