SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MALWACOTT,EQ,1996-01-01,185.00,190.0,190.0,190.0,-,190.0,190.0,50,"9,500.00",-,-,-
MALWACOTT,EQ,1996-01-02,190.00,190.0,190.0,185.0,-,185.0,186.67,150,"28,000.00",-,-,-
MALWACOTT,EQ,1996-01-03,185.00,175.0,175.0,175.0,-,175.0,175.0,50,"8,750.00",-,-,-
MALWACOTT,EQ,1996-01-04,175.00,175.0,190.0,175.0,-,190.0,181.67,300,"54,500.00",-,-,-
MALWACOTT,EQ,1996-01-05,190.00,195.0,195.0,190.0,-,190.0,192.5,100,"19,250.00",-,-,-
MALWACOTT,EQ,1996-01-08,190.00,180.0,180.0,180.0,-,180.0,180.0,150,"27,000.00",-,-,-
MALWACOTT,EQ,1996-01-10,180.00,170.05,170.05,170.05,-,170.05,170.05,50,"8,502.50",-,-,-
MALWACOTT,EQ,1996-01-12,170.05,170.0,170.0,154.0,-,154.0,164.67,150,"24,700.00",-,-,-
MALWACOTT,EQ,1996-01-17,154.00,157.0,157.0,157.0,-,157.0,157.0,50,"7,850.00",-,-,-
MALWACOTT,EQ,1996-01-18,157.00,160.0,160.0,160.0,-,160.0,160.0,100,"16,000.00",-,-,-
MALWACOTT,EQ,1996-01-23,160.00,152.0,152.0,152.0,-,152.0,152.0,50,"7,600.00",-,-,-
MALWACOTT,EQ,1996-01-24,152.00,146.0,146.0,145.0,-,145.5,145.5,100,"14,550.00",-,-,-
MALWACOTT,EQ,1996-01-25,145.50,146.0,146.0,140.0,-,144.95,145.06,450,"65,275.00",-,-,-
MALWACOTT,EQ,1996-01-29,144.95,140.0,140.0,140.0,-,140.0,140.0,100,"14,000.00",-,-,-
MALWACOTT,EQ,1996-01-30,140.00,140.0,140.0,135.1,-,140.0,139.3,350,"48,755.00",-,-,-
MALWACOTT,EQ,1996-01-31,140.00,145.0,145.5,143.05,-,143.05,144.79,350,"50,677.50",-,-,-
MALWACOTT,EQ,1996-02-01,143.05,137.0,137.5,135.0,-,135.0,135.78,800,"1,08,625.00",-,-,-
MALWACOTT,EQ,1996-02-02,135.00,140.0,140.0,140.0,-,140.0,140.0,50,"7,000.00",-,-,-
MALWACOTT,EQ,1996-02-05,140.00,142.1,150.0,141.0,-,150.0,144.85,"1,550","2,24,520.00",-,-,-
MALWACOTT,EQ,1996-02-06,150.00,150.0,157.5,150.0,-,156.0,155.78,600,"93,465.00",-,-,-
MALWACOTT,EQ,1996-02-07,156.00,156.0,156.0,156.0,-,156.0,156.0,200,"31,200.00",-,-,-
MALWACOTT,EQ,1996-02-09,156.00,161.0,161.0,161.0,-,161.0,161.0,200,"32,200.00",-,-,-
MALWACOTT,EQ,1996-02-12,161.00,169.5,169.5,161.0,-,164.5,165.59,800,"1,32,475.00",-,-,-
MALWACOTT,EQ,1996-02-13,164.50,165.0,165.0,160.0,-,160.0,162.79,950,"1,54,650.00",-,-,-
MALWACOTT,EQ,1996-02-14,160.00,175.0,175.0,170.0,-,170.0,171.13,450,"77,010.00",-,-,-
MALWACOTT,EQ,1996-02-15,170.00,175.0,185.0,175.0,-,185.0,177.0,250,"44,250.00",-,-,-
MALWACOTT,EQ,1996-02-16,185.00,175.0,175.0,168.0,-,171.95,171.66,650,"1,11,577.50",-,-,-
MALWACOTT,EQ,1996-02-19,171.95,170.0,180.0,167.0,-,180.0,173.05,"1,000","1,73,050.00",-,-,-
MALWACOTT,EQ,1996-02-20,180.00,174.0,175.0,174.0,-,175.0,174.33,150,"26,150.00",-,-,-
MALWACOTT,EQ,1996-02-22,175.00,180.0,192.0,180.0,-,189.35,188.0,550,"1,03,400.00",-,-,-
MALWACOTT,EQ,1996-02-23,189.35,191.0,200.0,191.0,-,200.0,198.07,600,"1,18,842.50",-,-,-
MALWACOTT,EQ,1996-02-26,200.00,208.0,219.9,208.0,-,219.9,213.04,700,"1,49,125.00",-,-,-
MALWACOTT,EQ,1996-02-27,219.90,218.0,219.9,210.0,-,215.0,215.63,"1,050","2,26,410.00",-,-,-
MALWACOTT,EQ,1996-02-28,215.00,215.0,210.0,200.0,-,200.0,206.4,250,"51,600.00",-,-,-
MALWACOTT,EQ,1996-02-29,200.00,200.0,195.0,195.0,-,195.0,195.0,50,"9,750.00",-,-,-
MALWACOTT,EQ,1996-03-04,195.00,195.0,195.0,179.0,-,179.9,182.67,550,"1,00,470.00",-,-,-
MALWACOTT,EQ,1996-03-06,179.90,171.0,171.0,171.0,-,171.0,171.0,50,"8,550.00",-,-,-
MALWACOTT,EQ,1996-03-07,171.00,185.0,185.0,180.0,-,180.0,181.44,350,"63,505.00",-,-,-
MALWACOTT,EQ,1996-03-12,180.00,172.0,172.0,168.0,-,172.0,170.41,350,"59,645.00",-,-,-
MALWACOTT,EQ,1996-03-13,172.00,172.0,172.0,168.0,-,168.0,169.0,300,"50,700.00",-,-,-
MALWACOTT,EQ,1996-03-14,168.00,175.0,175.0,175.0,-,175.0,175.0,50,"8,750.00",-,-,-
MALWACOTT,EQ,1996-03-15,175.00,170.0,170.0,170.0,-,170.0,170.0,50,"8,500.00",-,-,-
MALWACOTT,EQ,1996-03-18,170.00,175.0,176.0,175.0,-,176.0,175.33,150,"26,300.00",-,-,-
MALWACOTT,EQ,1996-03-19,176.00,176.0,170.0,165.0,-,169.45,169.44,450,"76,250.00",-,-,-
MALWACOTT,EQ,1996-03-21,169.45,166.0,166.0,166.0,-,166.0,166.0,50,"8,300.00",-,-,-
MALWACOTT,EQ,1996-03-22,166.00,166.0,170.0,170.0,-,170.0,170.0,100,"17,000.00",-,-,-
MALWACOTT,EQ,1996-03-25,170.00,170.0,170.0,170.0,-,170.0,170.0,150,"25,500.00",-,-,-
MALWACOTT,EQ,1996-03-26,170.00,170.0,170.0,166.0,-,166.0,168.01,200,"33,602.50",-,-,-
MALWACOTT,EQ,1996-03-28,166.00,166.0,168.0,168.0,-,168.0,168.0,50,"8,400.00",-,-,-
MALWACOTT,EQ,1996-03-29,168.00,170.0,170.0,165.0,-,165.0,167.5,200,"33,500.00",-,-,-
MALWACOTT,EQ,1996-04-03,165.00,172.0,172.0,170.0,-,170.0,171.0,100,"17,100.00",-,-,-
MALWACOTT,EQ,1996-04-04,170.00,169.0,169.0,169.0,-,169.0,169.0,50,"8,450.00",-,-,-
MALWACOTT,EQ,1996-04-08,169.00,165.0,165.0,153.55,-,162.05,162.4,700,"1,13,680.00",-,-,-
MALWACOTT,EQ,1996-04-09,162.05,160.0,166.05,160.0,-,165.8,164.61,250,"41,152.50",-,-,-
MALWACOTT,EQ,1996-04-10,165.80,167.5,167.5,165.0,-,166.25,166.25,200,"33,250.00",-,-,-
MALWACOTT,EQ,1996-04-12,166.25,165.0,165.0,165.0,-,165.0,165.0,100,"16,500.00",-,-,-
MALWACOTT,EQ,1996-04-16,165.00,160.0,162.0,160.0,-,162.0,161.33,150,"24,200.00",-,-,-
MALWACOTT,EQ,1996-04-17,162.00,162.5,167.0,162.5,-,166.95,165.71,350,"57,997.50",-,-,-
