SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MILTONPLAS,EQ,1996-01-02,54.00,54.5,54.5,52.1,-,52.1,53.09,900,"47,780.00",-,-,-
MILTONPLAS,EQ,1996-01-03,52.10,52.1,54.5,53.0,-,54.5,54.0,300,"16,200.00",-,-,-
MILTONPLAS,EQ,1996-01-04,54.50,53.0,54.0,51.0,-,51.25,52.25,600,"31,350.00",-,-,-
MILTONPLAS,EQ,1996-01-05,51.25,50.0,50.05,50.0,-,50.05,50.03,200,"10,005.00",-,-,-
MILTONPLAS,EQ,1996-01-08,50.05,50.75,50.75,50.0,-,50.0,50.33,300,"15,100.00",-,-,-
MILTONPLAS,EQ,1996-01-09,50.00,45.0,49.25,45.0,-,49.0,48.38,600,"29,030.00",-,-,-
MILTONPLAS,EQ,1996-01-10,49.00,49.0,49.0,49.0,-,49.0,49.0,100,"4,900.00",-,-,-
MILTONPLAS,EQ,1996-01-11,49.00,49.0,50.0,49.0,-,50.0,49.33,300,"14,800.00",-,-,-
MILTONPLAS,EQ,1996-01-12,50.00,50.0,50.0,50.0,-,50.0,50.0,300,"15,000.00",-,-,-
MILTONPLAS,EQ,1996-01-15,50.00,46.0,46.0,46.0,-,46.0,46.0,100,"4,600.00",-,-,-
MILTONPLAS,EQ,1996-01-16,46.00,46.0,46.25,46.0,-,46.25,46.06,400,"18,425.00",-,-,-
MILTONPLAS,EQ,1996-01-18,46.25,46.0,46.0,46.0,-,46.0,46.0,200,"9,200.00",-,-,-
MILTONPLAS,EQ,1996-01-23,46.00,44.3,46.95,44.25,-,46.95,45.45,600,"27,270.00",-,-,-
MILTONPLAS,EQ,1996-01-31,46.95,46.0,46.0,46.0,-,46.0,46.0,200,"9,200.00",-,-,-
MILTONPLAS,EQ,1996-02-01,46.00,46.5,47.5,46.5,-,47.5,46.98,300,"14,095.00",-,-,-
MILTONPLAS,EQ,1996-02-02,47.50,46.5,52.0,46.5,-,52.0,49.25,700,"34,475.00",-,-,-
MILTONPLAS,EQ,1996-02-05,52.00,53.0,54.0,53.0,-,54.0,53.5,200,"10,700.00",-,-,-
MILTONPLAS,EQ,1996-02-06,54.00,54.0,54.75,53.0,-,54.75,53.81,"1,200","64,575.00",-,-,-
MILTONPLAS,EQ,1996-02-07,54.75,52.75,52.75,52.5,-,52.5,52.67,300,"15,800.00",-,-,-
