SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MINDPOOL,ST,28-02-2019,30.0,30.0,30.0,28.5,28.5,28.5,29.63,"2,84,000","84,16,000.00",71,-,-
MINDPOOL,ST,01-03-2019,28.5,27.1,27.1,27.1,27.1,27.1,27.1,"4,000","1,08,400.00",1,-,-
MINDPOOL,ST,05-03-2019,27.1,25.75,25.75,25.75,25.75,25.75,25.75,"8,000","2,06,000.00",2,-,-
MINDPOOL,ST,11-03-2019,25.75,24.5,24.5,24.5,24.5,24.5,24.5,"4,000","98,000.00",1,-,-
MINDPOOL,ST,12-03-2019,24.5,23.3,23.3,23.3,23.3,23.3,23.3,"4,000","93,200.00",1,-,-
MINDPOOL,ST,14-03-2019,23.3,22.15,22.15,22.15,22.15,22.15,22.15,"4,000","88,600.00",1,-,-
MINDPOOL,SM,15-03-2019,22.15,20.15,20.15,17.75,17.75,17.85,18.36,"20,000","3,67,200.00",5,"20,000",100.00
MINDPOOL,SM,18-03-2019,17.85,16.6,16.75,16.25,16.5,16.5,16.51,"28,000","4,62,400.00",7,"28,000",100.00
MINDPOOL,SM,19-03-2019,16.5,17.0,17.0,17.0,17.0,17.0,17.0,"4,000","68,000.00",1,"4,000",100.00
MINDPOOL,SM,22-03-2019,17.0,18.0,18.0,18.0,18.0,18.0,18.0,"4,000","72,000.00",1,"4,000",100.00
MINDPOOL,SM,25-03-2019,18.0,18.25,21.5,18.25,21.5,21.5,19.88,"8,000","1,59,000.00",2,"8,000",100.00
MINDPOOL,SM,26-03-2019,21.5,18.2,18.2,18.0,18.0,18.0,18.13,"12,000","2,17,600.00",3,"12,000",100.00
MINDPOOL,SM,27-03-2019,18.0,21.6,21.6,21.6,21.6,21.6,21.6,"4,000","86,400.00",1,"4,000",100.00
MINDPOOL,SM,02-04-2019,21.6,19.0,19.0,19.0,19.0,19.0,19.0,"4,000","76,000.00",1,"4,000",100.00
MINDPOOL,SM,03-04-2019,19.0,18.25,18.25,18.25,18.25,18.25,18.25,"4,000","73,000.00",1,"4,000",100.00
MINDPOOL,SM,11-04-2019,18.25,18.2,18.2,18.2,18.2,18.2,18.2,"4,000","72,800.00",1,"4,000",100.00
MINDPOOL,SM,16-04-2019,18.2,17.75,17.75,17.75,17.75,17.75,17.75,"4,000","71,000.00",1,"4,000",100.00
MINDPOOL,SM,24-04-2019,17.75,16.75,21.2,16.75,20.9,19.3,18.81,"24,000","4,51,400.00",6,"12,000",50.00
MINDPOOL,SM,25-04-2019,19.3,19.0,19.0,19.0,19.0,19.0,19.0,"4,000","76,000.00",1,"4,000",100.00
MINDPOOL,SM,26-04-2019,19.0,21.2,21.2,19.5,19.5,19.5,20.23,"12,000","2,42,800.00",3,"12,000",100.00
MINDPOOL,SM,13-05-2019,19.5,20.0,20.0,20.0,20.0,20.0,20.0,"8,000","1,60,000.00",2,"8,000",100.00
MINDPOOL,SM,14-05-2019,20.0,21.25,21.25,21.25,21.25,21.25,21.25,"4,000","85,000.00",1,"4,000",100.00
MINDPOOL,SM,17-05-2019,21.25,20.5,20.5,20.5,20.5,20.5,20.5,"4,000","82,000.00",1,"4,000",100.00
MINDPOOL,SM,22-05-2019,20.5,20.25,20.25,20.25,20.25,20.25,20.25,"4,000","81,000.00",1,"4,000",100.00
MINDPOOL,SM,24-05-2019,20.25,18.55,18.55,18.55,18.55,18.55,18.55,"4,000","74,200.00",1,"4,000",100.00
MINDPOOL,SM,04-06-2019,18.55,19.0,19.0,19.0,19.0,19.0,19.0,"4,000","76,000.00",1,"4,000",100.00
MINDPOOL,SM,16-07-2019,19.0,18.75,18.75,18.75,18.75,18.75,18.75,"4,000","75,000.00",1,"4,000",100.00
MINDPOOL,SM,19-07-2019,18.75,18.75,18.75,18.75,18.75,18.75,18.75,"1,00,000","18,75,000.00",13,"1,00,000",100.00
MINDPOOL,SM,24-07-2019,18.75,18.75,18.75,18.75,18.75,18.75,18.75,"20,000","3,75,000.00",3,"20,000",100.00
MINDPOOL,SM,01-08-2019,18.75,17.25,17.25,17.25,17.25,17.25,17.25,"4,000","69,000.00",1,"4,000",100.00
MINDPOOL,SM,20-08-2019,17.25,19.9,19.9,19.9,19.9,19.9,19.9,"4,000","79,600.00",1,"4,000",100.00
MINDPOOL,SM,17-09-2019,19.9,16.0,20.0,16.0,20.0,20.0,17.54,"28,000","4,91,200.00",4,"4,000",14.29
MINDPOOL,SM,04-10-2019,20.0,18.1,18.1,17.95,17.95,17.95,17.97,"36,000","6,46,800.00",2,"32,000",88.89
MINDPOOL,SM,09-10-2019,17.95,19.0,19.0,19.0,19.0,19.0,19.0,"28,000","5,32,000.00",1,"28,000",100.00
MINDPOOL,SM,17-10-2019,19.0,19.9,19.9,19.9,19.9,19.9,19.9,"4,000","79,600.00",1,"4,000",100.00
MINDPOOL,SM,22-10-2019,19.9,18.5,20.25,18.5,20.25,20.25,19.38,"8,000","1,55,000.00",2,"4,000",50.00
MINDPOOL,SM,23-10-2019,20.25,23.0,23.0,18.3,20.2,20.2,19.97,"76,000","15,18,000.00",5,-,-
MINDPOOL,SM,29-10-2019,20.2,18.25,18.5,18.25,18.5,18.5,18.38,"8,000","1,47,000.00",2,"4,000",50.00
MINDPOOL,SM,31-10-2019,18.5,19.25,19.25,19.25,19.25,19.25,19.25,"4,000","77,000.00",1,"4,000",100.00
MINDPOOL,SM,14-11-2019,19.25,18.25,18.25,18.25,18.25,18.25,18.25,"4,000","73,000.00",1,"4,000",100.00
MINDPOOL,SM,28-11-2019,18.25,16.5,16.5,16.5,16.5,16.5,16.5,"4,000","66,000.00",1,"4,000",100.00
MINDPOOL,SM,29-11-2019,16.5,15.25,15.25,15.25,15.25,15.25,15.25,"4,000","61,000.00",1,"4,000",100.00
MINDPOOL,SM,02-12-2019,15.25,15.5,15.5,15.5,15.5,15.5,15.5,"4,000","62,000.00",1,"4,000",100.00
MINDPOOL,SM,03-12-2019,15.5,16.0,16.0,16.0,16.0,16.0,16.0,"8,000","1,28,000.00",1,"8,000",100.00
MINDPOOL,SM,05-12-2019,16.0,15.0,15.0,15.0,15.0,15.0,15.0,"4,000","60,000.00",1,"4,000",100.00
MINDPOOL,SM,19-12-2019,15.0,15.0,15.0,15.0,15.0,15.0,15.0,"32,000","4,80,000.00",1,"32,000",100.00
MINDPOOL,SM,27-12-2019,15.0,15.0,15.0,15.0,15.0,15.0,15.0,"20,000","3,00,000.00",2,"20,000",100.00
MINDPOOL,SM,30-12-2019,15.0,15.4,15.4,15.0,15.0,15.0,15.1,"16,000","2,41,600.00",2,"16,000",100.00
MINDPOOL,SM,02-01-2020,15.0,15.0,15.0,15.0,15.0,15.0,15.0,"16,000","2,40,000.00",1,"16,000",100.0
MINDPOOL,SM,06-01-2020,15.0,15.0,15.0,15.0,15.0,15.0,15.0,"16,000","2,40,000.00",1,"16,000",100.0
MINDPOOL,SM,28-01-2020,15.0,15.0,15.0,15.0,15.0,15.0,15.0,"8,000","1,20,000.00",1,"8,000",100.0
MINDPOOL,SM,29-01-2020,15.0,15.0,15.0,15.0,15.0,15.0,15.0,"16,000","2,40,000.00",1,"16,000",100.0
MINDPOOL,SM,01-02-2020,15.0,15.0,15.0,14.1,14.1,14.1,14.7,"12,000","1,76,400.00",3,"8,000",66.67
MINDPOOL,SM,04-02-2020,14.1,15.25,15.25,15.0,15.0,15.0,15.04,"28,000","4,21,000.00",3,"28,000",100.0
MINDPOOL,SM,05-02-2020,15.0,15.0,15.0,15.0,15.0,15.0,15.0,"8,000","1,20,000.00",1,"8,000",100.0
MINDPOOL,SM,06-02-2020,15.0,14.5,14.5,14.5,14.5,14.5,14.5,"4,000","58,000.00",1,"4,000",100.0
MINDPOOL,SM,25-02-2020,14.5,15.0,15.0,15.0,15.0,15.0,15.0,"8,000","1,20,000.00",1,"8,000",100.0
MINDPOOL,SM,26-02-2020,15.0,15.0,15.0,15.0,15.0,15.0,15.0,"12,000","1,80,000.00",2,"12,000",100.0
MINDPOOL,SM,05-03-2020,15.0,15.0,15.0,15.0,15.0,15.0,15.0,"28,000","4,20,000.00",2,"28,000",100.0
MINDPOOL,SM,09-03-2020,15.0,14.0,14.0,14.0,14.0,14.0,14.0,"4,000","56,000.00",1,"4,000",100.0
MINDPOOL,SM,13-03-2020,14.0,13.0,13.0,13.0,13.0,13.0,13.0,"4,000","52,000.00",1,"4,000",100.0
MINDPOOL,SM,18-03-2020,13.0,12.0,12.0,12.0,12.0,12.0,12.0,"4,000","48,000.00",1,"4,000",100.0
MINDPOOL,SM,24-09-2020,12.0,12.0,12.0,12.0,12.0,12.0,12.0,"40,000","4,80,000.00",2,"40,000",100.0
MINDPOOL,SM,25-09-2020,12.0,14.4,14.4,14.4,14.4,14.4,14.4,"4,000","57,600.00",1,"4,000",100.0
MINDPOOL,SM,28-09-2020,14.4,17.25,17.25,17.25,17.25,17.25,17.25,"4,000","69,000.00",1,"4,000",100.0
MINDPOOL,SM,05-10-2020,17.25,15.55,15.55,15.55,15.55,15.55,15.55,"4,000","62,200.00",1,"4,000",100.0
MINDPOOL,SM,07-10-2020,15.55,14.0,14.0,14.0,14.0,14.0,14.0,"8,000","1,12,000.00",2,"4,000",50.0
MINDPOOL,SM,15-10-2020,14.0,14.0,14.0,14.0,14.0,14.0,14.0,"4,000","56,000.00",1,"4,000",100.0
MINDPOOL,SM,29-10-2020,14.0,15.4,15.4,15.4,15.4,15.4,15.4,"4,000","61,600.00",1,"4,000",100.0
MINDPOOL,SM,20-11-2020,15.4,15.4,15.4,15.4,15.4,15.4,15.4,"4,000","61,600.00",1,"4,000",100.0
MINDPOOL,SM,07-12-2020,15.4,14.65,16.15,14.65,16.15,16.15,15.43,"12,000","1,85,200.00",3,"8,000",66.67
