SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MOMAI,SM,16-10-2014,78.0,78.0,82.0,78.0,79.25,79.7,80.7,"9,90,400","7,99,26,960.00",533,"8,09,600",81.74
MOMAI,SM,17-10-2014,79.7,80.0,85.7,80.0,84.85,85.05,83.9,"9,95,200","8,35,00,960.00",390,"4,62,400",46.46
MOMAI,SM,20-10-2014,85.05,87.0,94.0,85.0,93.0,92.65,89.65,"4,86,400","4,36,06,800.00",155,"2,92,800",60.20
MOMAI,SM,21-10-2014,92.65,95.0,101.5,95.0,100.0,99.5,98.19,"3,34,400","3,28,33,280.00",91,"1,88,800",56.46
MOMAI,SM,22-10-2014,99.5,101.0,103.0,87.0,92.0,91.75,95.12,"4,83,200","4,59,61,280.00",108,"2,73,600",56.62
MOMAI,SM,23-10-2014,91.75,86.15,89.95,86.1,88.0,88.55,88.14,"28,800","25,38,320.00",18,"20,800",72.22
MOMAI,SM,27-10-2014,88.55,87.0,90.25,86.0,86.0,86.15,87.8,"2,12,800","1,86,84,560.00",86,"1,13,600",53.38
MOMAI,SM,28-10-2014,86.15,86.0,90.0,85.75,89.0,89.0,88.31,"2,72,000","2,40,21,440.00",41,"1,37,600",50.59
MOMAI,SM,29-10-2014,89.0,90.35,91.0,88.25,88.25,89.3,89.97,"22,400","20,15,280.00",14,"14,400",64.29
MOMAI,SM,30-10-2014,89.3,87.1,88.95,86.85,88.0,87.5,87.62,"24,000","21,02,880.00",13,"16,000",66.67
MOMAI,SM,31-10-2014,87.5,90.95,90.95,88.5,88.5,89.55,89.75,"40,000","35,90,160.00",13,"35,200",88.00
MOMAI,SM,03-11-2014,89.55,90.5,92.75,87.5,88.0,88.0,89.76,"52,800","47,39,520.00",33,"36,800",69.70
MOMAI,SM,05-11-2014,88.0,88.05,88.45,86.15,86.15,86.15,87.31,"16,000","13,96,960.00",10,"9,600",60.00
MOMAI,SM,07-11-2014,86.15,86.1,86.1,82.5,83.3,83.8,83.87,"27,200","22,81,280.00",16,"16,000",58.82
MOMAI,SM,10-11-2014,83.8,83.5,83.5,80.5,80.5,81.05,82.33,"70,400","57,95,680.00",21,"64,000",90.91
MOMAI,SM,11-11-2014,81.05,81.1,83.8,81.0,81.0,81.0,81.82,"27,200","22,25,600.00",14,"22,400",82.35
MOMAI,SM,12-11-2014,81.0,82.95,82.95,81.25,81.25,81.25,81.75,"6,400","5,23,200.00",4,"4,800",75.00
MOMAI,SM,13-11-2014,81.25,81.25,85.0,81.25,82.0,82.0,84.15,"32,000","26,92,880.00",15,"20,800",65.00
MOMAI,SM,14-11-2014,82.0,81.2,82.9,81.15,81.55,81.55,81.72,"11,200","9,15,280.00",7,"3,200",28.57
MOMAI,SM,17-11-2014,81.55,81.0,81.0,81.0,81.0,81.0,81.0,"3,200","2,59,200.00",2,"3,200",100.00
