SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
NEOCORP,EQ,02-03-2012,30.6,31.5,32.1,29.1,29.1,29.2,31.23,"51,358","16,04,110.10",424,"21,262",41.40
NEOCORP,EQ,03-03-2012,29.2,28.5,30.65,28.5,30.65,30.15,30.26,"2,886","87,333.75",36,"2,123",73.56
NEOCORP,EQ,05-03-2012,30.15,30.9,30.9,28.65,30.45,30.0,29.08,"22,043","6,40,902.80",84,"14,976",67.94
NEOCORP,EQ,06-03-2012,30.0,30.05,31.0,30.0,31.0,30.85,30.7,"2,933","90,040.00",21,"2,626",89.53
NEOCORP,EQ,07-03-2012,30.85,30.3,32.35,29.7,32.35,31.1,30.38,"11,101","3,37,281.00",60,"8,949",80.61
NEOCORP,EQ,09-03-2012,31.1,30.7,32.65,30.7,32.25,32.25,32.12,"1,05,439","33,86,650.05",66,"1,04,944",99.53
NEOCORP,EQ,12-03-2012,32.25,32.0,33.6,32.0,32.95,33.0,33.22,"10,914","3,62,595.50",98,"9,089",83.28
NEOCORP,EQ,13-03-2012,33.0,34.65,34.65,33.85,34.0,34.0,33.99,"4,400","1,49,560.60",51,"3,798",86.32
NEOCORP,EQ,14-03-2012,34.0,32.8,35.15,32.8,34.0,34.0,33.87,"1,220","41,316.50",11,950,77.87
NEOCORP,EQ,15-03-2012,34.0,33.45,33.45,32.65,33.45,33.35,33.13,"1,190","39,425.00",12,930,78.15
NEOCORP,EQ,16-03-2012,33.35,33.0,33.8,32.5,33.75,33.75,33.0,"1,040","34,320.00",12,920,88.46
NEOCORP,EQ,19-03-2012,33.75,33.75,33.75,32.2,33.65,32.65,32.69,"3,920","1,28,145.00",10,"3,920",100.00
NEOCORP,EQ,20-03-2012,32.65,33.0,33.6,32.05,33.2,33.2,32.82,"2,500","82,055.00",17,"1,600",64.00
NEOCORP,EQ,21-03-2012,33.2,33.0,33.25,32.0,32.5,32.25,32.33,"1,180","38,150.25",22,870,73.73
NEOCORP,EQ,22-03-2012,32.25,32.0,32.35,30.75,32.15,32.15,31.65,477,"15,098.25",8,327,68.55
NEOCORP,EQ,23-03-2012,32.15,30.55,31.85,30.55,31.05,31.45,31.03,"1,215","37,706.50",14,900,74.07
NEOCORP,EQ,26-03-2012,31.45,31.0,31.15,29.9,31.15,31.1,30.5,"7,137","2,17,698.05",13,"6,803",95.32
