SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
NEPTUNE,ST,04-06-2025,122.0,132.75,139.35,132.5,139.35,139.35,133.83,"18,32,000","24,51,78,650.00",910,"18,26,000",99.67
NEPTUNE,ST,05-06-2025,139.35,140.0,140.0,132.4,135.5,136.1,135.33,"7,12,000","9,63,53,400.00",207,"7,04,000",98.88
NEPTUNE,ST,06-06-2025,136.1,135.95,135.95,131.0,131.0,131.6,132.42,"2,49,000","3,29,71,750.00",134,"2,46,000",98.8
NEPTUNE,ST,09-06-2025,131.6,131.6,136.0,126.3,135.5,134.2,130.75,"1,61,000","2,10,51,300.00",117,"1,54,000",95.65
NEPTUNE,ST,10-06-2025,134.2,135.0,137.0,132.3,133.0,132.95,134.11,"86,000","1,15,33,300.00",51,"81,000",94.19
NEPTUNE,ST,11-06-2025,132.95,135.0,139.55,135.0,139.55,139.5,138.59,"1,55,000","2,14,81,500.00",126,"1,50,000",96.77
NEPTUNE,ST,12-06-2025,139.5,142.45,146.45,142.45,146.45,146.45,145.7,"1,37,000","1,99,60,400.00",116,"1,34,000",97.81
NEPTUNE,ST,13-06-2025,146.45,146.45,152.75,140.3,148.0,147.85,146.83,"83,000","1,21,87,000.00",72,"75,000",90.36
NEPTUNE,ST,16-06-2025,147.85,147.5,152.7,145.5,150.0,150.1,149.08,"48,000","71,55,600.00",45,"46,000",95.83
NEPTUNE,ST,17-06-2025,150.1,149.9,151.0,148.3,148.3,148.3,149.43,"32,000","47,81,600.00",30,"28,000",87.5
NEPTUNE,SM,18-06-2025,148.3,150.0,151.6,145.25,148.0,148.0,147.47,"1,24,000","1,82,85,800.00",70,"96,000",77.42
NEPTUNE,SM,19-06-2025,148.0,149.8,151.0,141.0,141.0,141.35,146.34,"64,000","93,65,450.00",62,"39,000",60.94
NEPTUNE,SM,20-06-2025,141.35,141.0,144.0,140.3,144.0,143.35,142.29,"24,000","34,15,050.00",24,"15,000",62.5
NEPTUNE,SM,23-06-2025,143.35,142.0,146.6,140.75,145.1,143.8,143.81,"29,000","41,70,550.00",23,"24,000",82.76
NEPTUNE,SM,24-06-2025,143.8,146.0,146.0,141.4,145.7,142.8,143.38,"42,000","60,21,750.00",39,"31,000",73.81
NEPTUNE,SM,25-06-2025,142.8,142.55,147.0,142.5,143.25,143.2,144.42,"21,000","30,32,900.00",21,"17,000",80.95
NEPTUNE,SM,26-06-2025,143.2,143.25,143.25,142.1,142.3,142.35,142.71,"22,000","31,39,600.00",9,"20,000",90.91
NEPTUNE,SM,27-06-2025,142.35,141.35,144.5,141.25,143.9,143.5,143.08,"11,000","15,73,850.00",11,"9,000",81.82
NEPTUNE,SM,30-06-2025,143.5,148.0,148.0,141.5,143.9,143.9,143.87,"26,000","37,40,500.00",21,"18,000",69.23
NEPTUNE,SM,01-07-2025,143.9,147.0,147.0,142.15,142.4,142.4,143.41,"18,000","25,81,350.00",18,"14,000",77.78
NEPTUNE,SM,02-07-2025,142.4,141.7,144.5,141.7,143.7,143.7,143.23,"31,000","44,40,250.00",23,"26,000",83.87
NEPTUNE,SM,03-07-2025,143.7,142.05,144.0,142.0,144.0,143.4,142.95,"15,000","21,44,300.00",15,"11,000",73.33
NEPTUNE,SM,04-07-2025,143.4,144.4,144.4,142.15,142.2,142.3,142.6,"12,000","17,11,250.00",10,"9,000",75.0
NEPTUNE,SM,07-07-2025,142.3,142.25,143.25,140.25,141.0,141.0,141.95,"39,000","55,35,900.00",35,"21,000",53.85
NEPTUNE,SM,08-07-2025,141.0,141.5,141.5,139.5,140.0,139.85,140.56,"32,000","44,98,000.00",24,"30,000",93.75
NEPTUNE,SM,09-07-2025,139.85,141.0,141.5,140.0,140.7,140.7,140.93,"15,000","21,13,950.00",15,"14,000",93.33
NEPTUNE,SM,10-07-2025,140.7,142.7,142.75,142.7,142.75,142.75,142.72,"3,000","4,28,150.00",3,"3,000",100.0
NEPTUNE,SM,11-07-2025,142.75,143.9,143.9,139.1,141.8,141.4,141.19,"18,000","25,41,350.00",18,"13,000",72.22
NEPTUNE,SM,14-07-2025,141.4,140.0,142.0,138.7,142.0,142.0,139.69,"30,000","41,90,750.00",29,"26,000",86.67
NEPTUNE,SM,15-07-2025,142.0,141.1,141.8,140.1,140.1,140.1,141.05,"6,000","8,46,300.00",6,"6,000",100.0
NEPTUNE,SM,16-07-2025,140.1,140.0,140.8,140.0,140.0,140.35,140.32,"7,000","9,82,250.00",7,"7,000",100.0
NEPTUNE,SM,17-07-2025,140.35,140.0,142.1,140.0,142.1,142.1,141.65,"16,000","22,66,400.00",14,"13,000",81.25
NEPTUNE,SM,18-07-2025,142.1,142.0,143.0,142.0,142.9,142.9,142.49,"6,000","8,54,950.00",6,"6,000",100.0
NEPTUNE,SM,21-07-2025,142.9,142.9,142.9,141.45,141.5,141.5,141.83,"4,000","5,67,300.00",3,"4,000",100.0
NEPTUNE,SM,22-07-2025,141.5,141.9,142.0,141.9,142.0,142.0,141.93,"3,000","4,25,800.00",2,"3,000",100.0
NEPTUNE,SM,23-07-2025,142.0,141.0,143.0,140.1,143.0,142.35,142.01,"25,000","35,50,300.00",24,"20,000",80.0
NEPTUNE,SM,24-07-2025,142.35,140.25,142.5,139.05,139.95,140.6,141.0,"11,000","15,51,050.00",11,"8,000",72.73
NEPTUNE,SM,25-07-2025,140.6,140.6,141.5,139.3,139.3,139.3,140.64,7000,9.85,5, 5000,71.43
NEPTUNE,SM,28-07-2025,139.3,140.0,141.0,138.0,139.9,139.9,139.28,29000,40.39,21, 27000,93.1
NEPTUNE,SM,29-07-2025,139.9,141.5,141.5,138.25,138.25,138.25,139.2,5000,6.96,5, 5000,100.0
NEPTUNE,SM,30-07-2025,138.25,138.35,140.0,138.35,139.0,139.0,139.28,6000,8.36,6, 6000,100.0
NEPTUNE,SM,31-07-2025,139.0,139.0,140.0,137.0,137.05,137.05,137.62,18000,24.77,16, 15000, 83.33
