SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
NICCOCORP,EQ,02-01-1996,27.75,28.1,29.0,28.1,-,28.1,28.29,700,"19,800.00",-,-,-
NICCOCORP,EQ,03-01-1996,28.10,28.75,28.75,28.25,-,28.25,28.48,"1,100","31,325.00",-,-,-
NICCOCORP,EQ,04-01-1996,28.25,28.25,28.0,27.5,-,27.5,27.7,"1,400","38,775.00",-,-,-
NICCOCORP,EQ,05-01-1996,27.50,27.5,28.0,27.55,-,27.55,27.78,"1,000","27,775.00",-,-,-
NICCOCORP,EQ,08-01-1996,27.55,27.55,27.5,26.75,-,26.75,27.14,"1,800","48,850.00",-,-,-
NICCOCORP,EQ,09-01-1996,26.75,26.75,27.5,26.9,-,27.0,27.06,"2,900","78,485.00",-,-,-
NICCOCORP,EQ,11-01-1996,27.00,27.0,26.5,26.5,-,26.5,26.5,100,"2,650.00",-,-,-
NICCOCORP,EQ,12-01-1996,26.50,26.5,27.0,26.5,-,27.0,26.72,"1,800","48,090.00",-,-,-
NICCOCORP,EQ,15-01-1996,27.00,26.5,27.5,26.5,-,27.5,27.11,600,"16,265.00",-,-,-
NICCOCORP,EQ,16-01-1996,27.50,26.75,26.75,26.75,-,26.75,26.75,200,"5,350.00",-,-,-
NICCOCORP,EQ,17-01-1996,26.75,26.75,26.75,26.5,-,26.5,26.6,"1,200","31,925.00",-,-,-
NICCOCORP,EQ,18-01-1996,26.50,26.5,27.0,25.5,-,25.5,26.0,300,"7,800.00",-,-,-
NICCOCORP,EQ,19-01-1996,25.50,25.5,25.5,25.0,-,25.0,25.23,"1,100","27,750.00",-,-,-
NICCOCORP,EQ,22-01-1996,25.00,25.0,25.5,25.0,-,25.2,25.1,500,"12,550.00",-,-,-
NICCOCORP,EQ,23-01-1996,25.20,25.2,25.25,24.5,-,24.5,24.95,"2,100","52,405.00",-,-,-
NICCOCORP,EQ,25-01-1996,24.50,24.0,24.0,24.0,-,24.0,24.0,100,"2,400.00",-,-,-
NICCOCORP,EQ,29-01-1996,24.00,24.0,24.5,24.0,-,24.5,24.45,"1,100","26,900.00",-,-,-
NICCOCORP,EQ,30-01-1996,24.50,24.5,24.5,24.5,-,24.5,24.5,200,"4,900.00",-,-,-
NICCOCORP,EQ,31-01-1996,24.50,24.5,25.0,24.5,-,25.0,24.88,"1,200","29,860.00",-,-,-
NICCOCORP,EQ,01-02-1996,25.00,25.0,25.75,25.75,-,25.75,25.75,500,"12,875.00",-,-,-
NICCOCORP,EQ,02-02-1996,25.75,25.75,27.0,26.05,-,27.0,26.7,400,"10,680.00",-,-,-
NICCOCORP,EQ,05-02-1996,27.00,26.5,26.5,26.5,-,26.5,26.5,500,"13,250.00",-,-,-
NICCOCORP,EQ,06-02-1996,26.50,26.5,27.0,27.0,-,27.0,27.0,700,"18,900.00",-,-,-
NICCOCORP,EQ,07-02-1996,27.00,26.25,26.25,26.25,-,26.25,26.25,500,"13,125.00",-,-,-
NICCOCORP,EQ,08-02-1996,26.25,26.0,26.25,26.0,-,26.25,26.19,400,"10,475.00",-,-,-
NICCOCORP,EQ,12-02-1996,26.25,26.75,26.75,26.75,-,26.75,26.75,100,"2,675.00",-,-,-
NICCOCORP,EQ,13-02-1996,26.75,26.7,26.7,26.7,-,26.7,26.7,100,"2,670.00",-,-,-
NICCOCORP,EQ,14-02-1996,26.70,27.0,27.25,27.0,-,27.25,27.06,400,"10,825.00",-,-,-
NICCOCORP,EQ,15-02-1996,27.25,26.5,26.5,26.0,-,26.25,26.25,"1,100","28,875.00",-,-,-
NICCOCORP,EQ,16-02-1996,26.25,26.25,26.5,26.25,-,26.5,26.33,"2,300","60,550.00",-,-,-
NICCOCORP,EQ,19-02-1996,26.50,26.5,26.5,26.25,-,26.5,26.36,900,"23,725.00",-,-,-
NICCOCORP,EQ,20-02-1996,26.50,26.5,26.5,26.5,-,26.5,26.5,500,"13,250.00",-,-,-
NICCOCORP,EQ,22-02-1996,26.50,26.5,26.55,26.5,-,26.55,26.54,600,"15,925.00",-,-,-
NICCOCORP,EQ,23-02-1996,26.55,26.5,26.5,26.5,-,26.5,26.5,200,"5,300.00",-,-,-
NICCOCORP,EQ,26-02-1996,26.50,26.5,26.5,26.5,-,26.5,26.5,500,"13,250.00",-,-,-
NICCOCORP,EQ,27-02-1996,26.50,26.5,26.5,26.5,-,26.5,26.5,300,"7,950.00",-,-,-
NICCOCORP,EQ,28-02-1996,26.50,26.0,26.05,26.0,-,26.0,26.02,300,"7,805.00",-,-,-
NICCOCORP,EQ,29-02-1996,26.00,26.0,26.0,26.0,-,26.0,26.0,200,"5,200.00",-,-,-
NICCOCORP,EQ,04-03-1996,26.00,25.5,25.5,25.5,-,25.5,25.5,100,"2,550.00",-,-,-
NICCOCORP,EQ,06-03-1996,25.50,24.55,24.55,24.55,-,24.55,24.55,400,"9,820.00",-,-,-
NICCOCORP,EQ,08-03-1996,24.55,24.55,22.75,22.75,-,22.75,22.75,700,"15,925.00",-,-,-
NICCOCORP,EQ,11-03-1996,22.75,22.7,22.7,22.7,-,22.7,22.7,"1,200","27,240.00",-,-,-
NICCOCORP,EQ,15-03-1996,22.70,23.5,23.5,23.5,-,23.5,23.5,500,"11,750.00",-,-,-
NICCOCORP,EQ,18-03-1996,23.50,23.25,23.25,23.25,-,23.25,23.25,200,"4,650.00",-,-,-
NICCOCORP,EQ,22-03-1996,23.25,24.75,25.0,24.75,-,25.0,24.88,200,"4,975.00",-,-,-
NICCOCORP,EQ,25-03-1996,25.00,24.9,25.0,24.9,-,25.0,24.95,200,"4,990.00",-,-,-
NICCOCORP,EQ,26-03-1996,25.00,25.5,25.5,25.5,-,25.5,25.5,100,"2,550.00",-,-,-
NICCOCORP,EQ,27-03-1996,25.50,25.5,28.0,28.0,-,28.0,28.0,200,"5,600.00",-,-,-
NICCOCORP,EQ,28-03-1996,28.00,28.0,29.4,26.0,-,26.0,26.49,700,"18,540.00",-,-,-
NICCOCORP,EQ,29-03-1996,26.00,26.0,28.6,25.25,-,26.0,27.03,"1,500","40,545.00",-,-,-
NICCOCORP,EQ,01-04-1996,26.00,26.0,25.0,23.4,-,23.55,24.08,"1,200","28,900.00",-,-,-
NICCOCORP,EQ,02-04-1996,23.55,24.5,24.5,24.5,-,24.5,24.5,100,"2,450.00",-,-,-
NICCOCORP,EQ,09-04-1996,24.50,22.5,22.5,22.5,-,22.5,22.5,100,"2,250.00",-,-,-
NICCOCORP,EQ,10-04-1996,22.50,22.5,22.5,22.5,-,22.5,22.5,500,"11,250.00",-,-,-
NICCOCORP,EQ,11-04-1996,22.50,22.5,21.0,20.75,-,21.0,20.94,400,"8,375.00",-,-,-
NICCOCORP,EQ,15-04-1996,21.00,21.0,20.0,19.0,-,20.0,19.71,700,"13,800.00",-,-,-
NICCOCORP,EQ,16-04-1996,20.00,20.0,19.3,19.3,-,19.3,19.3,400,"7,720.00",-,-,-
NICCOCORP,EQ,22-04-1996,19.30,19.3,20.5,20.5,-,20.5,20.5,100,"2,050.00",-,-,-
NICCOCORP,EQ,23-04-1996,20.50,18.5,19.5,18.5,-,18.5,18.79,700,"13,150.00",-,-,-
NICCOCORP,EQ,24-04-1996,18.50,20.0,20.0,20.0,-,20.0,20.0,100,"2,000.00",-,-,-
NICCOCORP,EQ,25-04-1996,20.00,18.0,18.0,18.0,-,18.0,18.0,500,"9,000.00",-,-,-
NICCOCORP,EQ,29-04-1996,18.00,16.25,18.75,16.25,-,18.45,17.63,800,"14,100.00",-,-,-
NICCOCORP,EQ,30-04-1996,18.45,19.0,19.0,19.0,-,19.0,19.0,300,"5,700.00",-,-,-
NICCOCORP,EQ,03-05-1996,19.00,19.0,17.5,17.5,-,17.5,17.5,100,"1,750.00",-,-,-
NICCOCORP,EQ,06-05-1996,17.50,17.5,19.25,19.25,-,19.25,19.25,100,"1,925.00",-,-,-
NICCOCORP,EQ,07-05-1996,19.25,21.15,21.15,21.15,-,21.15,21.15,200,"4,230.00",-,-,-
NICCOCORP,EQ,09-05-1996,21.15,19.0,19.9,19.0,-,19.0,19.23,400,"7,690.00",-,-,-
NICCOCORP,EQ,13-05-1996,19.00,18.5,18.5,18.5,-,18.5,18.5,300,"5,550.00",-,-,-
NICCOCORP,EQ,15-05-1996,18.50,18.5,18.5,18.5,-,18.5,18.5,300,"5,550.00",-,-,-
NICCOCORP,EQ,17-05-1996,18.50,18.5,18.5,18.5,-,18.5,18.5,200,"3,700.00",-,-,-
NICCOCORP,EQ,21-05-1996,18.50,18.0,18.0,18.0,-,18.0,18.0,100,"1,800.00",-,-,-
NICCOCORP,EQ,22-05-1996,18.00,19.0,19.0,19.0,-,19.0,19.0,200,"3,800.00",-,-,-
NICCOCORP,EQ,23-05-1996,19.00,18.15,18.15,18.1,-,18.1,18.13,200,"3,625.00",-,-,-
NICCOCORP,EQ,24-05-1996,18.10,18.5,18.5,18.5,-,18.5,18.5,400,"7,400.00",-,-,-
NICCOCORP,EQ,27-05-1996,18.50,19.0,19.0,19.0,-,19.0,19.0,100,"1,900.00",-,-,-
NICCOCORP,EQ,28-05-1996,19.00,18.0,18.25,18.0,-,18.25,18.19,400,"7,275.00",-,-,-
NICCOCORP,EQ,30-05-1996,18.25,18.5,18.5,18.5,-,18.5,18.5,500,"9,250.00",-,-,-
NICCOCORP,EQ,05-06-1996,18.50,18.5,18.5,18.5,-,18.5,18.5,100,"1,850.00",-,-,-
NICCOCORP,EQ,06-06-1996,18.50,18.5,18.5,18.4,-,18.4,18.45,400,"7,380.00",-,-,-
NICCOCORP,EQ,07-06-1996,18.40,18.95,20.25,18.95,-,20.25,19.53,800,"15,620.00",-,-,-
NICCOCORP,EQ,10-06-1996,20.25,21.5,21.5,21.5,-,21.5,21.5,200,"4,300.00",-,-,-
NICCOCORP,EQ,11-06-1996,21.50,20.05,21.0,19.35,-,20.7,20.18,"1,000","20,180.00",-,-,-
