SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
NIVINFRA,EQ,20-06-2013,1.5,1.5,1.55,1.5,1.5,1.5,1.54,"6,940","10,660.00",3,"6,940",100.00
NIVINFRA,EQ,21-06-2013,1.5,1.55,1.55,1.5,1.5,1.5,1.53,"2,000","3,050.00",3,"2,000",100.00
NIVINFRA,EQ,25-06-2013,1.5,1.55,1.55,1.55,1.55,1.55,1.55,500,775.00,1,500,100.00
NIVINFRA,EQ,27-06-2013,1.55,1.6,1.6,1.6,1.6,1.6,1.6,500,800.00,2,500,100.00
NIVINFRA,EQ,28-06-2013,1.6,1.65,1.65,1.65,1.65,1.65,1.65,50,82.50,1,50,100.00
NIVINFRA,EQ,01-07-2013,1.65,1.7,1.7,1.7,1.7,1.7,1.7,150,255.00,1,150,100.00
NIVINFRA,EQ,02-07-2013,1.7,1.75,1.75,1.75,1.75,1.75,1.75,"5,000","8,750.00",18,"5,000",100.00
NIVINFRA,EQ,03-07-2013,1.75,1.75,1.8,1.75,1.8,1.75,1.77,"3,000","5,303.00",4,"3,000",100.00
NIVINFRA,EQ,04-07-2013,1.75,1.75,1.8,1.75,1.75,1.75,1.78,"35,000","62,250.00",17,"35,000",100.00
NIVINFRA,EQ,05-07-2013,1.75,1.75,1.75,1.75,1.75,1.75,1.75,100,175.00,1,100,100.00
NIVINFRA,EQ,08-07-2013,1.75,1.8,1.8,1.8,1.8,1.8,1.8,"20,350","36,630.00",6,"20,350",100.00
NIVINFRA,EQ,09-07-2013,1.8,1.85,1.85,1.85,1.85,1.85,1.85,"40,915","75,692.75",40,"40,915",100.00
NIVINFRA,EQ,10-07-2013,1.85,1.9,1.9,1.8,1.9,1.9,1.9,"1,37,680","2,61,567.00",28,"1,37,680",100.00
NIVINFRA,EQ,11-07-2013,1.9,1.95,1.95,1.95,1.95,1.95,1.95,"9,570","18,661.50",14,"9,570",100.00
NIVINFRA,EQ,12-07-2013,1.95,2.0,2.0,1.9,2.0,2.0,2.0,"1,13,202","2,26,389.00",60,"1,13,052",99.87
NIVINFRA,EQ,15-07-2013,2.0,2.0,2.0,1.9,1.9,1.9,1.92,"4,777","9,176.30",10,"4,777",100.00
NIVINFRA,EQ,16-07-2013,1.9,1.85,1.95,1.85,1.95,1.95,1.91,"3,303","6,295.65",4,"3,303",100.00
NIVINFRA,EQ,17-07-2013,1.95,1.9,2.0,1.9,2.0,2.0,1.91,"10,352","19,813.30",7,"10,352",100.00
NIVINFRA,BE,22-07-2013,2.0,1.9,1.9,1.9,1.9,1.9,1.9,150,285.00,1,-,-
NIVINFRA,BE,23-07-2013,1.9,1.9,1.9,1.9,1.9,1.9,1.9,500,950.00,1,-,-
NIVINFRA,BE,25-07-2013,1.9,1.85,1.85,1.85,1.85,1.85,1.85,"2,000","3,700.00",4,-,-
NIVINFRA,BE,31-07-2013,1.85,1.85,1.85,1.85,1.85,1.85,1.85,200,370.00,1,-,-
NIVINFRA,BE,20-08-2013,1.85,1.8,1.8,1.8,1.8,1.8,1.8,10,18.00,1,-,-
NIVINFRA,BE,02-09-2013,1.8,1.85,1.85,1.75,1.85,1.8,1.82,700,"1,273.80",5,-,-
NIVINFRA,BE,03-09-2013,1.8,1.85,1.85,1.85,1.85,1.85,1.85,60,111.00,1,-,-
NIVINFRA,BE,20-09-2013,1.85,1.85,1.85,1.85,1.85,1.85,1.85,"1,500","2,775.00",1,-,-
NIVINFRA,BE,27-09-2013,1.85,1.9,1.9,1.9,1.9,1.9,1.9,1,1.90,1,-,-
NIVINFRA,BE,30-09-2013,1.9,1.85,1.85,1.85,1.85,1.85,1.85,300,555.00,1,-,-
NIVINFRA,BE,03-11-2013,1.85,1.9,1.9,1.9,1.9,1.9,1.9,500,950.00,1,-,-
NIVINFRA,BE,14-11-2013,1.9,1.85,1.95,1.85,1.95,1.95,1.91,"5,000","9,540.40",5,-,-
NIVINFRA,BE,23-12-2013,1.95,1.9,1.9,1.9,1.9,1.9,1.9,11,20.90,2,-,-
NIVINFRA,BE,31-12-2013,1.9,1.85,1.85,1.85,1.85,1.85,1.85,"2,000","3,700.00",3,-,-
NIVINFRA,BE,02-01-2014,1.85,1.8,1.8,1.8,1.8,1.8,1.8,10,18.00,1,-,-
NIVINFRA,BE,03-01-2014,1.8,1.75,1.75,1.75,1.75,1.75,1.75,"22,450","39,287.50",13,-,-
NIVINFRA,BE,06-01-2014,1.75,1.7,1.7,1.7,1.7,1.7,1.7,150,255.00,4,-,-
