SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
OMFREIGHT,BE,08-10-2025,135.0,81.5,85.57,81.1,85.57,85.57,81.96,"18,81,994","15,42,49,084.97","8,862",-,-
OMFREIGHT,BE,09-10-2025,85.57,89.84,89.84,89.84,89.84,89.84,89.84,30070,27.01,232, -, -
OMFREIGHT,BE,10-10-2025,89.84,94.33,94.33,94.33,94.33,94.33,94.33,19062,17.98,154, -, -
OMFREIGHT,BE,13-10-2025,94.33,99.04,99.04,96.22,99.04,99.03,99.03,856454,848.15,3707, -, -
OMFREIGHT,BE,14-10-2025,99.03,94.07,98.05,94.07,94.9,95.62,95.16,491515,467.72,2943, -, -
OMFREIGHT,BE,15-10-2025,95.62,94.0,94.8,90.83,91.5,90.87,91.65,286238,262.33,2299, -, -
OMFREIGHT,BE,16-10-2025,90.87,90.81,91.0,87.05,90.5,89.83,89.42,166140,148.57,1424, -, -
OMFREIGHT,BE,17-10-2025,89.83,88.75,91.99,87.05,91.4,90.97,89.76,84438,75.79,958, -, -
OMFREIGHT,BE,20-10-2025,90.97,90.5,93.5,88.14,90.9,90.16,89.95,84778,76.26,926, -, -
OMFREIGHT,BE,21-10-2025,90.16,90.0,93.0,90.0,91.78,91.44,91.83,36365,33.39,356, -, -
OMFREIGHT,BE,23-10-2025,91.44,91.0,93.45,90.27,91.8,92.09,91.8,45806,42.05,760, -, -
OMFREIGHT,EQ,24-10-2025,92.09,93.0,98.39,91.99,92.8,93.36,95.39,386650,368.83,4066, 187805, 48.57
OMFREIGHT,EQ,27-10-2025,93.36,94.89,100.0,93.56,94.95,94.46,95.8,359187,344.09,3355, 214468, 59.71
OMFREIGHT,EQ,28-10-2025,94.46,95.98,96.5,92.5,93.0,93.75,93.94,119634,112.38,1747, 65683, 54.90
