SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ORTINLABSS,BE,21-08-2015,12.45,13.0,13.05,11.95,13.05,13.05,12.99,"28,352","3,68,401.60",54,-,-
ORTINLABSS,BE,24-08-2015,13.05,13.7,13.7,12.4,13.7,13.7,13.56,"24,820","3,36,528.00",68,-,-
ORTINLABSS,BE,25-08-2015,13.7,14.3,14.35,13.05,13.25,13.1,13.69,"48,603","6,65,527.45",168,-,-
ORTINLABSS,BE,26-08-2015,13.1,13.0,13.6,12.45,12.45,12.45,12.79,"8,748","1,11,900.80",36,-,-
ORTINLABSS,BE,27-08-2015,12.45,12.1,12.1,11.85,11.9,11.95,11.95,"16,405","1,96,051.15",84,-,-
ORTINLABSS,BE,28-08-2015,11.95,12.5,12.5,11.4,12.3,11.95,11.77,"9,649","1,13,590.00",63,-,-
ORTINLABSS,BE,31-08-2015,11.95,12.5,12.5,11.4,11.4,11.4,11.77,"13,225","1,55,596.25",31,-,-
ORTINLABSS,BE,01-09-2015,11.4,10.85,10.9,10.85,10.85,10.85,10.86,"13,028","1,41,546.45",30,-,-
ORTINLABSS,EQ,02-09-2015,10.85,11.5,12.45,9.2,9.6,9.65,10.07,"48,389","4,87,050.75",126,"16,755",34.63
ORTINLABSS,EQ,03-09-2015,9.65,9.7,9.9,9.05,9.7,9.4,9.64,"8,103","78,095.45",25,"7,602",93.82
ORTINLABSS,EQ,04-09-2015,9.4,9.9,9.9,9.05,9.5,9.5,9.67,"13,016","1,25,879.55",43,"8,870",68.15
ORTINLABSS,EQ,07-09-2015,9.5,9.15,11.4,9.1,9.2,9.35,9.9,"27,069","2,67,880.75",58,"16,564",61.19
ORTINLABSS,EQ,08-09-2015,9.35,9.05,9.7,9.05,9.2,9.1,9.18,"3,080","28,261.45",16,"2,300",74.68
ORTINLABSS,EQ,09-09-2015,9.1,9.0,9.9,9.0,9.2,9.25,9.16,"1,342","12,290.60",10,840,62.59
ORTINLABSS,EQ,10-09-2015,9.25,9.8,9.8,8.95,9.05,9.15,9.24,"3,191","29,473.15",16,"2,357",73.86
ORTINLABSS,EQ,11-09-2015,9.15,9.05,10.7,9.05,9.1,9.15,9.37,"2,291","21,474.60",27,"2,038",88.96
ORTINLABSS,EQ,14-09-2015,9.15,9.05,9.4,8.55,9.4,9.4,8.96,"10,875","97,419.85",24,"9,624",88.50
ORTINLABSS,EQ,15-09-2015,9.4,9.4,9.4,9.15,9.15,9.15,9.36,"3,768","35,252.00",23,"3,768",100.00
ORTINLABSS,EQ,16-09-2015,9.15,9.45,9.45,9.0,9.0,9.0,9.26,"8,178","75,768.15",20,"6,539",79.96
ORTINLABSS,EQ,18-09-2015,9.0,8.65,10.65,8.65,9.45,9.4,9.41,"30,826","2,90,128.70",50,"28,647",92.93
ORTINLABSS,EQ,21-09-2015,9.4,9.9,9.9,9.2,9.8,9.5,9.66,"1,951","18,839.25",14,"1,751",89.75
ORTINLABSS,EQ,22-09-2015,9.5,9.2,9.75,9.15,9.5,9.4,9.4,"10,005","94,035.25",29,"7,815",78.11
ORTINLABSS,EQ,23-09-2015,9.4,9.05,10.7,9.0,9.75,9.75,9.22,"2,178","20,085.50",23,"1,923",88.29
ORTINLABSS,EQ,24-09-2015,9.75,9.35,11.0,9.35,9.8,9.8,9.94,"6,397","63,617.80",44,"6,088",95.17
ORTINLABSS,EQ,28-09-2015,9.8,9.8,10.6,9.3,10.0,10.2,10.17,"16,779","1,70,681.60",49,"14,845",88.47
ORTINLABSS,EQ,29-09-2015,10.2,9.55,10.1,9.55,9.95,9.95,9.94,"3,171","31,514.70",16,"2,771",87.39
ORTINLABSS,EQ,30-09-2015,9.95,10.0,10.7,9.6,10.7,10.35,10.04,"13,345","1,34,025.10",43,"9,300",69.69
ORTINLABSS,EQ,01-10-2015,10.35,11.9,12.4,10.5,12.4,12.4,11.86,"32,121","3,80,860.75",138,"28,014",87.21
ORTINLABSS,EQ,05-10-2015,12.4,14.0,14.85,14.0,14.85,14.85,14.75,"44,200","6,52,030.15",111,"40,010",90.52
ORTINLABSS,EQ,06-10-2015,14.85,16.3,16.3,15.7,16.3,16.3,16.2,"1,74,715","28,29,760.50",526,"1,26,320",72.30
ORTINLABSS,EQ,07-10-2015,16.3,17.0,17.9,16.85,17.8,17.65,17.62,"2,17,799","38,38,164.50",870,"1,55,303",71.31
ORTINLABSS,EQ,08-10-2015,17.65,17.55,17.65,15.9,15.9,15.9,16.2,"64,264","10,40,908.70",339,"49,100",76.40
ORTINLABSS,EQ,09-10-2015,15.9,14.4,16.5,14.4,15.0,15.0,15.27,"31,786","4,85,397.90",178,"25,508",80.25
ORTINLABSS,EQ,12-10-2015,15.0,14.1,15.6,13.55,15.35,15.1,14.3,"52,178","7,46,310.90",248,"33,647",64.49
ORTINLABSS,EQ,13-10-2015,15.1,15.45,16.6,15.35,16.6,16.6,16.46,"52,817","8,69,149.40",228,"42,747",80.93
ORTINLABSS,EQ,14-10-2015,16.6,17.0,18.2,17.0,18.05,17.85,17.92,"98,716","17,68,921.05",353,"80,060",81.10
ORTINLABSS,EQ,15-10-2015,17.85,18.6,19.0,16.1,17.0,16.95,17.96,"1,74,999","31,43,067.90",545,"1,02,287",58.45
ORTINLABSS,EQ,16-10-2015,16.95,17.7,17.7,16.3,17.4,17.25,17.0,"44,624","7,58,394.20",237,"28,373",63.58
ORTINLABSS,EQ,19-10-2015,17.25,17.75,18.95,17.1,18.95,18.9,18.85,"1,62,870","30,69,797.85",407,"1,24,932",76.71
ORTINLABSS,EQ,20-10-2015,18.9,19.5,19.5,18.4,19.0,18.9,19.02,"90,968","17,30,184.40",315,"68,072",74.83
ORTINLABSS,EQ,21-10-2015,18.9,19.0,19.5,18.6,19.0,18.95,19.12,"1,12,597","21,52,919.35",322,"86,339",76.68
ORTINLABSS,EQ,23-10-2015,18.95,18.3,19.5,18.2,18.6,18.7,19.06,"53,199","10,14,038.15",295,"35,813",67.32
ORTINLABSS,EQ,26-10-2015,18.7,18.95,19.95,18.65,18.65,18.95,19.06,"66,660","12,70,365.75",279,"48,323",72.49
ORTINLABSS,EQ,27-10-2015,18.95,19.4,19.5,18.25,19.0,18.75,18.74,"37,120","6,95,569.75",218,"21,986",59.23
ORTINLABSS,EQ,28-10-2015,18.75,19.0,19.3,18.55,19.25,19.15,19.05,"43,635","8,31,437.40",174,"36,025",82.56
ORTINLABSS,EQ,29-10-2015,19.15,19.4,19.5,18.6,18.6,18.7,18.97,"25,336","4,80,724.50",175,"18,069",71.32
ORTINLABSS,EQ,30-10-2015,18.7,19.7,19.7,17.3,17.75,17.7,18.52,"1,08,919","20,17,559.10",384,"65,869",60.48
ORTINLABSS,EQ,02-11-2015,17.7,17.5,18.45,17.2,17.5,17.45,17.65,"30,899","5,45,437.35",175,"23,293",75.38
ORTINLABSS,EQ,03-11-2015,17.45,17.45,17.95,17.2,17.85,17.45,17.54,"26,659","4,67,687.45",101,"20,984",78.71
ORTINLABSS,EQ,04-11-2015,17.45,17.05,17.9,17.0,17.75,17.65,17.61,"12,642","2,22,592.80",70,"9,320",73.72
ORTINLABSS,EQ,05-11-2015,17.65,17.75,17.75,16.6,16.95,16.9,17.25,"20,882","3,60,202.20",99,"16,149",77.33
ORTINLABSS,EQ,06-11-2015,16.9,17.35,17.4,16.1,17.15,16.95,16.73,"21,043","3,52,128.40",101,"14,735",70.02
ORTINLABSS,EQ,09-11-2015,16.95,16.85,18.0,15.2,17.25,17.5,17.5,"44,798","7,83,743.15",243,"32,224",71.93
ORTINLABSS,EQ,10-11-2015,17.5,17.5,21.0,17.25,20.8,20.3,19.97,"1,74,433","34,82,732.20",729,"1,04,784",60.07
ORTINLABSS,EQ,11-11-2015,20.3,21.9,24.35,21.3,24.35,24.15,23.74,"2,21,705","52,62,558.85","1,192","1,28,024",57.75
ORTINLABSS,EQ,13-11-2015,24.15,24.15,26.1,23.35,25.25,25.35,24.93,"4,35,396","1,08,52,508.75","2,176","2,11,336",48.54
ORTINLABSS,EQ,16-11-2015,25.35,25.4,25.4,22.85,23.6,23.6,23.54,"2,00,903","47,29,458.70",763,"1,09,208",54.36
ORTINLABSS,EQ,17-11-2015,23.6,24.1,24.65,23.15,24.0,24.05,23.89,"1,35,665","32,41,514.50",544,"78,025",57.51
ORTINLABSS,EQ,18-11-2015,24.05,24.0,24.0,22.5,22.7,22.85,23.22,"61,023","14,16,798.75",448,"39,817",65.25
ORTINLABSS,EQ,19-11-2015,22.85,23.75,23.75,21.4,22.45,22.3,22.53,"86,075","19,39,085.90",490,"56,416",65.54
ORTINLABSS,EQ,20-11-2015,22.3,22.4,23.3,22.15,22.8,22.7,22.82,"55,519","12,67,024.80",306,"38,442",69.24
