SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
PARAMATRIX,ST,2024-09-04,110.0,115.05,120.8,115.05,120.8,120.8,119.37,"8,54,400","10,19,87,700.00",662,"8,54,400",100.0
PARAMATRIX,ST,2024-09-05,120.8,126.8,126.8,126.8,126.8,126.8,126.8,"1,04,400","1,32,37,920.00",78,"1,04,400",100.0
PARAMATRIX,ST,2024-09-06,126.8,133.1,133.1,120.5,120.75,120.9,126.21,"9,58,800","12,10,14,900.00",471,"8,06,400",84.11
PARAMATRIX,ST,2024-09-09,120.9,114.85,117.0,114.85,114.85,114.85,114.89,"4,20,000","4,82,53,860.00",127,"4,09,200",97.43
PARAMATRIX,ST,2024-09-10,114.85,111.6,114.8,109.1,109.1,109.15,110.26,"1,98,000","2,18,32,140.00",115,"1,96,800",99.39
PARAMATRIX,ST,2024-09-11,109.15,109.0,114.6,104.1,114.6,114.1,111.24,"1,06,800","1,18,80,960.00",87,"99,600",93.26
PARAMATRIX,ST,2024-09-12,114.1,115.0,116.0,110.0,111.0,111.0,112.72,"94,800","1,06,86,060.00",36,"94,800",100.0
PARAMATRIX,ST,2024-09-13,111.0,110.65,110.65,105.45,109.0,109.0,108.17,"30,000","32,45,220.00",21,"30,000",100.0
PARAMATRIX,ST,2024-09-16,109.0,109.0,109.0,103.6,108.0,107.05,105.51,"56,400","59,50,620.00",47,"54,000",95.74
PARAMATRIX,ST,2024-09-17,107.05,108.0,108.0,105.25,108.0,107.0,106.46,"19,200","20,43,960.00",16,"18,000",93.75
PARAMATRIX,SM,2024-09-18,107.0,110.0,114.0,106.0,106.05,107.3,108.98,"32,400","35,30,940.00",27,"16,800",51.85
PARAMATRIX,SM,2024-09-19,107.3,108.55,108.55,104.0,104.1,104.1,104.91,"21,600","22,66,080.00",18,"21,600",100.0
PARAMATRIX,SM,2024-09-20,104.1,105.0,106.2,103.05,106.2,106.2,104.48,"19,200","20,05,920.00",16,"16,800",87.5
PARAMATRIX,SM,2024-09-23,106.2,106.0,106.2,105.5,105.5,105.5,106.1,"10,800","11,45,880.00",9,"10,800",100.0
PARAMATRIX,SM,2024-09-24,105.5,106.0,107.5,106.0,106.9,106.9,106.97,"8,400","8,98,560.00",7,"8,400",100.0
PARAMATRIX,SM,2024-09-25,106.9,105.5,107.9,104.0,104.8,104.7,105.51,"22,800","24,05,700.00",19,"16,800",73.68
PARAMATRIX,SM,2024-09-26,104.7,105.0,105.0,104.95,105.0,105.0,104.99,"4,800","5,03,940.00",4,"4,800",100.0
PARAMATRIX,SM,2024-09-27,105.0,103.25,104.0,103.0,103.5,103.5,103.51,"9,600","9,93,660.00",8,"8,400",87.5
PARAMATRIX,SM,2024-09-30,103.5,105.0,110.1,105.0,106.0,106.65,107.63,"32,400","34,87,080.00",27,"28,800",88.89
PARAMATRIX,SM,2024-10-01,106.65,104.0,112.4,103.65,108.5,108.5,108.77,"26,400","28,71,600.00",20,"21,600",81.82
