SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GUJGLASS,EQ,2008-02-28,543.0,434.4,434.4,434.4,434.4,434.4,434.4,"1,665","7,23,276.00",-,"1,665",100.00
GUJGLASS,EQ,2008-02-29,434.4,347.55,347.55,347.55,347.55,347.55,347.55,851,"2,95,765.05",-,850,99.88
GUJGLASS,EQ,2008-03-03,347.55,278.05,278.05,278.05,278.05,278.05,278.05,"1,524","4,23,748.20",-,"1,523",99.93
GUJGLASS,EQ,2008-03-04,278.05,222.45,234.0,222.45,222.45,222.45,223.66,"80,889","1,80,91,904.40",-,"58,663",72.52
GUJGLASS,EQ,2008-03-05,222.45,191.65,240.95,191.65,204.0,201.25,216.79,"4,80,842","10,42,42,575.80",-,"44,731",9.30
GUJGLASS,EQ,2008-03-07,201.25,191.95,199.9,162.65,166.0,165.0,173.86,"1,58,980","2,76,40,291.60",-,"28,322",17.81
GUJGLASS,EQ,2008-03-10,165.0,161.0,181.5,153.25,181.5,181.5,174.66,"66,523","1,16,18,758.15",-,"16,920",25.43
GUJGLASS,EQ,2008-03-11,181.5,182.0,199.65,182.0,199.65,199.65,198.17,"10,617","21,04,017.85",-,"7,376",69.47
GUJGLASS,EQ,2008-03-12,199.65,219.65,219.65,219.65,219.65,219.65,219.65,"3,513","7,71,630.45",-,"3,505",99.77
GUJGLASS,EQ,2008-03-13,219.65,233.7,237.0,215.0,226.0,227.25,229.42,"72,681","1,66,74,159.45",-,"20,435",28.12
GUJGLASS,EQ,2008-03-14,227.25,231.9,248.0,226.0,232.1,233.0,236.98,"36,713","87,00,347.95",-,"11,076",30.17
GUJGLASS,EQ,2008-03-17,233.0,225.0,238.0,221.35,233.5,234.5,230.09,"13,031","29,98,352.50",-,"6,553",50.29
GUJGLASS,EQ,2008-03-18,234.5,223.5,245.0,223.25,233.05,238.65,240.26,"13,689","32,88,852.50",-,"7,356",53.74
GUJGLASS,EQ,2008-03-19,238.65,245.75,250.0,240.05,250.0,248.65,245.95,"4,746","11,67,257.35",-,"1,983",41.78
GUJGLASS,EQ,2008-03-24,248.65,240.0,261.0,240.0,261.0,258.0,255.93,"4,668","11,94,704.30",-,"2,676",57.33
GUJGLASS,EQ,2008-03-25,258.0,262.9,269.7,252.25,267.5,266.3,262.35,"4,250","11,14,989.40",-,"2,110",49.65
GUJGLASS,EQ,2008-03-26,266.3,265.25,279.65,265.25,279.65,279.6,275.5,"1,931","5,31,995.30",-,"1,092",56.55
GUJGLASS,EQ,2008-03-27,279.6,283.65,293.6,283.55,293.0,292.9,291.83,"2,420","7,06,227.85",-,"1,905",78.72
GUJGLASS,EQ,2008-03-28,292.9,300.0,307.55,300.0,307.55,307.55,305.55,942,"2,87,825.40",-,893,94.80
GUJGLASS,EQ,2008-03-31,307.55,322.95,322.95,296.05,296.05,300.05,317.53,"1,620","5,14,400.30",-,"1,141",70.43
GUJGLASS,EQ,2008-04-01,300.05,301.5,302.0,290.1,296.25,296.25,295.28,675,"1,99,314.45",-,590,87.41
GUJGLASS,EQ,2008-04-02,296.25,295.0,305.95,290.1,295.05,298.0,297.48,"1,619","4,81,624.45",-,737,45.52
GUJGLASS,EQ,2008-04-03,298.0,299.0,299.0,291.45,293.55,293.55,297.19,536,"1,59,295.90",-,501,93.47
GUJGLASS,EQ,2008-04-04,293.55,287.8,289.5,284.25,285.0,288.1,287.39,520,"1,49,445.10",-,252,48.46
GUJGLASS,EQ,2008-04-07,288.1,280.0,300.0,280.0,299.85,298.35,294.65,"1,790","5,27,415.00",-,"1,146",64.02
GUJGLASS,EQ,2008-04-08,298.35,298.0,308.95,295.9,301.15,306.85,302.71,"1,962","5,93,923.05",-,"1,301",66.31
GUJGLASS,EQ,2008-04-09,306.85,300.05,315.0,300.05,312.05,312.85,311.66,"2,426","7,56,083.70",-,"1,594",65.70
GUJGLASS,EQ,2008-04-10,312.85,317.0,327.0,316.0,321.75,323.9,321.53,"1,381","4,44,031.70",-,"1,033",74.80
GUJGLASS,EQ,2008-04-11,323.9,322.4,338.95,322.4,338.95,336.65,330.65,678,"2,24,182.35",-,572,84.37
GUJGLASS,EQ,2008-04-15,336.65,329.2,346.0,329.2,338.0,336.6,338.37,"2,237","7,56,928.95",-,"1,557",69.60
GUJGLASS,EQ,2008-04-16,336.6,349.95,352.0,335.05,342.3,344.05,346.13,"2,244","7,76,708.00",-,829,36.94
GUJGLASS,EQ,2008-04-17,344.05,359.0,359.0,340.35,352.0,351.6,348.21,610,"2,12,406.85",-,301,49.34
GUJGLASS,EQ,2008-04-21,351.6,365.0,365.0,339.25,339.25,342.65,343.65,495,"1,70,106.55",-,235,47.47
GUJGLASS,EQ,2008-04-22,342.65,328.05,345.5,328.05,345.5,345.5,342.78,148,"50,732.00",-,124,83.78
GUJGLASS,EQ,2008-04-23,345.5,357.0,357.0,329.05,345.0,345.0,342.12,685,"2,34,349.90",-,649,94.74
GUJGLASS,EQ,2008-04-24,345.0,337.0,340.95,335.05,340.7,336.0,336.51,512,"1,72,290.65",-,395,77.15
GUJGLASS,EQ,2008-04-25,336.0,329.0,338.0,325.0,329.1,332.6,331.27,988,"3,27,299.25",-,829,83.91
GUJGLASS,EQ,2008-04-28,332.6,348.0,349.25,335.5,339.05,340.5,344.24,"1,324","4,55,778.15",-,"1,082",81.72
GUJGLASS,EQ,2008-04-29,340.5,340.0,342.95,335.1,335.15,341.55,338.97,"1,049","3,55,581.85",-,911,86.84
GUJGLASS,EQ,2008-04-30,341.55,332.6,350.0,332.6,339.3,339.3,347.11,930,"3,22,808.90",-,910,97.85
GUJGLASS,EQ,2008-05-02,339.3,340.6,346.9,338.05,345.45,345.05,343.27,532,"1,82,620.30",-,515,96.80
GUJGLASS,EQ,2008-05-05,345.05,341.0,341.1,335.45,341.1,340.65,338.75,818,"2,77,097.40",-,683,83.50
GUJGLASS,EQ,2008-05-06,340.65,338.1,342.6,332.25,335.05,335.05,339.35,505,"1,71,370.85",-,370,73.27
GUJGLASS,EQ,2008-05-07,335.05,335.0,340.0,332.0,340.0,340.0,334.13,804,"2,68,638.25",-,719,89.43
GUJGLASS,EQ,2008-05-08,340.0,322.15,337.95,322.15,337.95,337.95,329.83,161,"53,103.25",-,157,97.52
GUJGLASS,EQ,2008-05-09,337.95,327.15,340.0,327.15,333.5,333.5,336.56,313,"1,05,342.05",-,289,92.33
PIRGLASS,EQ,2008-05-12,333.5,330.0,331.95,328.0,331.95,331.95,329.06,"1,259","4,14,286.50",-,"1,249",99.21
PIRGLASS,EQ,2008-05-13,331.95,354.0,354.0,312.35,312.75,312.8,325.02,211,"68,579.00",-,159,75.36
PIRGLASS,EQ,2008-05-14,312.8,320.95,330.0,305.35,330.0,321.7,315.98,904,"2,85,644.20",-,472,52.21
PIRGLASS,EQ,2008-05-15,321.7,318.0,318.0,316.2,316.2,316.2,316.89,117,"37,076.00",-,117,100.00
PIRGLASS,EQ,2008-05-16,316.2,316.2,316.2,302.55,302.55,302.65,307.54,146,"44,901.20",-,123,84.25
PIRGLASS,EQ,2008-05-20,302.65,291.7,299.0,282.0,299.0,299.0,291.56,70,"20,409.00",-,60,85.71
PIRGLASS,EQ,2008-05-21,299.0,283.15,305.0,283.1,292.0,294.25,295.05,205,"60,484.55",-,133,64.88
PIRGLASS,EQ,2008-05-22,294.25,312.9,312.9,270.0,278.0,278.0,278.92,66,"18,408.70",-,55,83.33
PIRGLASS,EQ,2008-05-23,278.0,251.15,295.55,251.15,280.0,280.0,275.7,"1,188","3,27,527.60",-,794,66.84
PIRGLASS,EQ,2008-05-26,280.0,275.0,286.5,275.0,277.85,277.85,278.58,845,"2,35,402.80",-,640,75.74
PIRGLASS,EQ,2008-05-27,277.85,265.5,268.0,265.5,268.0,268.0,267.64,146,"39,075.50",-,125,85.62
PIRGLASS,EQ,2008-05-28,268.0,265.0,277.0,264.0,277.0,277.0,268.7,45,"12,091.50",-,40,88.89
PIRGLASS,EQ,2008-05-29,277.0,281.0,288.5,274.15,274.15,274.15,280.8,250,"70,199.50",-,160,64.00
PIRGLASS,EQ,2008-05-30,274.15,268.0,275.0,260.25,264.05,264.05,267.69,110,"29,445.60",-,109,99.09
PIRGLASS,EQ,2008-06-02,264.05,252.3,256.9,252.3,254.0,254.0,254.43,18,"4,579.70",-,9,50.00
PIRGLASS,EQ,2008-06-03,254.0,253.15,265.95,253.15,265.0,260.15,257.21,55,"14,146.65",-,25,45.45
PIRGLASS,EQ,2008-06-04,260.15,265.0,270.0,264.0,264.0,264.0,269.7,124,"33,442.95",-,122,98.39
PIRGLASS,EQ,2008-06-05,264.0,243.0,248.0,243.0,248.0,248.0,246.18,107,"26,341.05",-,103,96.26
PIRGLASS,EQ,2008-06-06,248.0,254.95,254.95,254.95,254.95,254.95,254.95,10,"2,549.50",-,10,100.00
PIRGLASS,EQ,2008-06-09,254.95,231.1,245.0,229.45,229.45,229.45,231.15,485,"1,12,107.30",-,352,72.58
PIRGLASS,EQ,2008-06-10,229.45,224.0,229.0,219.0,229.0,228.95,224.74,291,"65,400.65",-,276,94.85
PIRGLASS,EQ,2008-06-11,228.95,227.0,227.0,215.0,220.05,220.05,219.53,4,878.10,-,2,50.00
PIRGLASS,EQ,2008-06-12,220.05,210.0,214.25,210.0,211.0,211.0,212.41,293,"62,236.90",-,263,89.76
PIRGLASS,EQ,2008-06-13,211.0,210.05,232.0,210.05,212.65,214.75,213.34,418,"89,174.50",-,316,75.60
PIRGLASS,EQ,2008-06-16,214.75,215.0,222.0,215.0,215.75,216.7,216.5,85,"18,402.10",-,85,100.00
PIRGLASS,EQ,2008-06-18,216.7,220.0,220.0,208.2,215.0,210.8,212.59,283,"60,161.95",-,206,72.79
PIRGLASS,EQ,2008-06-19,210.8,206.65,206.65,206.65,206.65,206.65,206.65,12,"2,479.80",-,12,100.00
PIRGLASS,EQ,2008-06-20,206.65,206.65,206.65,201.6,201.6,201.6,201.76,31,"6,254.65",-,31,100.00
